Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1940,,,,,,,,,,0,0,0.7,,,
1941,0,0.7,0.7,1.4,0,2.7,0,0.7,2,1.9,0.6,0.6,,,
1942,1.3,0.6,1.9,1.2,0,0,0,-0.6,0.6,1.2,0.6,0.6,,,
1943,0,0.6,1.7,0.6,1.7,0,-0.6,-1.7,0,0.6,-0.6,1.1,,,
1944,-0.6,-0.6,0,1.1,0,0.6,1.1,0,0,-0.6,0,0.6,,,
1945,0,0,0,0,1.1,1.1,0,0.5,-0.5,0,0.5,0,,,
1946,0.5,0,0,1.1,1.1,1.1,6.3,0.5,1,1.4,1.9,0.9,,,
1947,0,0,2.3,0,0,1.4,0.9,1.8,0.9,1.7,-0.4,1.7,,,
1948,0.8,-0.8,-0.4,2.1,0.8,0.8,0.8,0,-0.4,-0.4,-0.8,0,,,
1949,-0.8,-0.4,0,0,0.4,0,-0.8,0,0,-0.8,0.8,-0.4,,,
1950,-0.4,-0.4,0.8,0,0.8,0.8,0.8,0.4,1.2,0.8,0.4,0.8,,,
1951,1.6,1.2,0.4,0,0,0.8,0,0,0.4,0.4,0.7,0.4,,,
1952,0,-0.7,0,0.7,0,0,0.7,0.4,-0.4,0.7,0,0.7,,,
1953,-0.4,-0.7,0.4,0,0.4,0.7,0.4,0,0,0.4,-0.7,0,,,
1954,0.4,-0.4,0,0,0.4,0,0.4,-0.7,-0.4,0,0.7,-0.7,,,
1955,0,0,0,0,0.4,0,0,0,0.4,-0.4,0,0,,,
1956,-0.4,0.4,0.4,0.4,0.4,0.7,1.4,-0.7,0,0.4,0.4,0,,,
1957,0,0.3,0,0.3,0.7,0.3,0.3,0,0,-0.3,0.7,0,,,
1958,0.3,0,0.3,0,0,0,0,-0.3,0,-0.3,0,0,,,
1959,0,0,-0.3,0.3,0,0,0.7,-0.3,0.7,0.3,-0.7,0,,,
1960,-0.7,0.3,0,0.3,0,0.7,0.7,-0.3,0,0,0,0.3,,,
1961,0.3,0,-0.3,-0.3,0,0.3,-0.3,0.3,-0.7,0.3,-0.3,-0.7,,,
1962,0.3,1,0,0,0,-0.3,0,0.3,0.7,0,-0.3,0,,,
1963,0,0,0,-0.3,0.3,1,0.3,0.7,-1.3,0.3,0.3,-0.3,,,
1964,0.3,-0.7,0.3,0.3,-0.7,0.3,0.7,0,0.3,0.3,-0.3,0.3,,,
1965,0,-0.3,0.3,0.7,0.6,0.6,0,0,0,0.6,0,0.3,,,
1966,0.3,0.6,0.6,0.6,0.3,0.6,0,0.6,0,0.6,0,0.6,,,
1967,0,0,0.9,0,0,0.3,0.3,0,0,0.3,0.6,0.3,,,
1968,0,0.6,0.9,0.3,0.3,0.9,0.3,0.3,0.6,0.3,0.6,0.3,,,
1969,0.3,0.3,1.4,0.5,0.5,0.8,0.3,0.5,0,0.5,0.5,0.8,,,
1970,0.3,0.8,0.8,0.5,0.8,0.3,0.3,-0.3,0.5,0.8,0.5,-0.2,,,
1971,0.7,-0.2,0,0,0.7,0.7,0,0.7,0,0,0.5,0.2,,,
1972,0.5,0.5,0.2,0,0.2,0.5,0.5,0.2,0.2,0,0.2,0.7,,,
1973,0,0.9,1.1,0.9,0.9,0.2,0,2.2,0.4,0.4,0.9,0.6,,,
1974,1.1,1.7,0.6,0.4,0.8,1.2,0.8,1,1,0.8,1,0.6,,,
1975,-0.4,0.8,0.2,0.6,0.2,0.9,0.7,0.4,0.9,0.2,0.4,0.5,,,
1976,0.5,0.2,-0.2,0.5,0.5,0.4,0.7,0.4,0.9,0.2,0.5,0.3,,,
1977,0.5,0.7,1,1.2,0.2,1,0.8,0,0.2,0.2,0.8,-0.2,,,
1978,0.3,0.3,1.6,0.9,1.1,1.1,0.2,0.6,0.9,1.7,0.6,0,,,
1979,1.5,1.7,1.4,0.7,0.4,0.7,1.8,1.4,0.7,1.5,1.8,0.9,,,
1980,1.7,1.4,1,2.2,0.1,3.3,-1.2,0.5,1.7,1.8,0.8,1.2,,,
1981,-0.4,0.7,-0.8,1.6,1.1,1.9,0.8,0.2,0.2,-0.9,-0.6,-0.5,,,
1982,1,-1.1,0.1,1.9,0.8,1.1,1.1,0.1,0.7,0.1,0.3,-1.2,,,
1983,0,-0.1,0.1,0.8,0,0.6,0.6,0.1,0.2,-0.4,0.6,0.1,,,
1984,0.4,0.6,0.3,0.5,0,0.2,0.5,0.1,1.2,0.1,-1,0.1,,,
1985,0.6,0.9,0.6,0.1,0.1,0.3,0.4,0,0.7,-0.2,1,0,,,
1986,0,-0.1,-0.8,-0.4,0.8,-0.2,-0.8,1.5,-0.6,1,0.3,-0.2,,,
