Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1940,,,,,,,,,,0.8,0,0,,,
1941,0,0,0,1.5,0,0.7,0.7,0.7,2.2,2.1,0.7,0.7,,,
1942,0.7,1.4,1.3,0,0.7,-0.7,1.3,0.7,0.6,0,0,0.6,,,
1943,0.6,0.6,2.5,0,0.6,-1.2,-0.6,-0.6,1.3,0,0,0,,,
1944,0,0,-0.6,0.6,0.6,0,0.6,0,0,0,-0.6,0.6,,,
1945,0.6,-0.6,0,0.6,0.6,0.6,0.6,0,0,-0.6,0,0.6,,,
1946,-0.6,0,0.6,0.6,0,1.8,4.7,2.8,1.6,1.1,4.2,1.5,,,
1947,1,0,2,1,-0.5,0,0.5,1,1.4,0.9,1.4,1.8,,,
1948,0.9,0,0,0.4,0,0.9,0.9,0.9,0,-0.4,-0.4,0,,,
1949,-0.4,-1.3,0,0.4,-0.4,0,0,0.4,0.4,0.4,0.9,0,,,
1950,-0.4,0,0.4,-0.4,0,0.4,0.9,1.7,0.8,0,0.4,1.7,,,
1951,2.1,0.8,0.4,0.4,0,-0.4,0.4,0,0.4,0.4,0.4,0.4,,,
1952,-0.4,-0.4,0,0,0,0,0.4,0.4,-0.4,0.8,0,0.4,,,
