Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1940,,,,,,,,,,-0.7,0.7,0,,,
1941,0,0.7,0,0.7,0.7,1.3,0.7,0.7,1.3,0.6,0.6,0,,,
1942,1.9,0.6,0.6,0.6,0.6,1.2,0.6,0.6,0,1.2,1.2,0.6,,,
1943,0.6,0,1.7,0.6,1.1,0,0,-1.1,1.1,0.6,0,0,,,
1944,0,-0.5,0.6,0.5,0.5,0,0.5,0,0,0,0.5,0,,,
1945,0,0,-0.5,0.5,0.5,1.1,1.1,-0.5,-0.5,0,0.5,0.5,,,
1946,0.5,0,0.5,1,0.5,1,6.1,1.4,2.3,2.3,0.9,0.9,,,
1947,-0.4,-0.4,2.2,-0.4,-0.9,0.9,0.4,0.9,1.7,0,1.3,0.8,,,
1948,1.2,-0.4,-1.2,1.7,0.4,0.8,2,0.4,0,-0.8,-0.4,-1.2,,,
1949,0,-1.2,0.4,0.4,-0.4,0,0,0,0.4,-1.2,0,-0.4,,,
1950,-0.8,0.4,0,0.4,0,0.4,1.6,0,1.2,0.4,0.8,1.2,,,
1951,1.2,1.5,0,0,0.8,-0.8,0.4,0,0.8,0.4,0.4,0,,,
1952,0,-0.4,-0.4,0.4,0,0,1.5,0,0,0,0.4,-0.7,,,
1953,-0.4,-0.4,0,0,0,0.7,0.4,0.4,0.4,0,-0.4,0.4,,,
1954,0,-0.4,-0.4,0.4,0,0,0.4,0,-0.4,0,0,-0.4,,,
1955,0,0.4,-0.4,0,-0.4,0,0,0,0.7,-0.4,0.4,-0.7,,,
1956,0.4,0,0,0,0.7,0.4,0.7,0,0.7,0.4,0,0,,,
1957,0,0.4,0,0.7,0.4,0.4,0.7,0,-0.3,0.4,0,0,,,
1958,1.4,0,0.7,0,0,0,0,0,0.3,0,0.3,-0.3,,,
1959,0.3,0,0,0,0,0.7,0.7,-0.3,0.3,0.3,0.3,0,,,
1960,0,0,0,0.3,0,0,0,0.3,0.3,0.3,0.3,0,,,
1961,-0.3,0,0,-0.3,0,0,0.7,0,0.3,0,0,0,,,
1962,0.3,0.3,0,0,-0.3,0.3,0.3,0.3,0.6,0,-0.3,0,,,
1963,0.3,0.3,0,0.3,-0.3,1,0.6,0,0,0,0.3,0.3,,,
1964,-0.3,0.3,0,0,0,0,0.3,0,0.3,0,0.3,0,,,
1965,-0.3,0.3,0,0.3,0.3,0.3,0.3,0,0.3,0.3,0,0.3,,,
1966,0,0.6,0.6,0.3,0,0,0.9,0.3,0.6,0.3,0,0,,,
1967,-0.3,0.6,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,
1968,0,0.6,0.6,0.3,0.3,0.6,0.6,0.8,0.5,0.5,0.3,0.3,,,
1969,0.5,0.3,1.1,0.5,0.3,0.8,0.3,0.3,0.8,0.5,0.3,1,,,
1970,0.8,1,0.5,0.7,0.5,0.7,0.2,0.2,0.7,0.5,0.2,0.7,,,
1971,0.2,0.7,0.7,0.2,0.5,0.7,0.7,0,0.2,0.2,0,0.5,,,
1972,0.5,0.7,0.4,0.2,0.2,0.2,0.4,0.2,0.9,0.2,0,0.2,,,
1973,0.2,0.9,1.1,0.8,0.4,0.6,0.2,1.7,0.4,0.6,1,1,,,
1974,0.6,1.6,1.2,0,1.1,0.8,0.4,1.7,1.1,0.9,0.5,0.5,,,
1975,0,0.9,0,0.2,0.4,0.5,0.9,0.5,1.2,0.3,0.9,0.5,,,
1976,0.2,0.5,0.3,0.2,0.3,0.7,0.3,0.5,0.7,0.2,0,0.5,,,
1977,0.3,1,0.5,0.3,0.6,0.8,0.2,0.5,0,0.2,0.5,0.2,,,
1978,0.6,0.5,0.8,0.6,0.6,1,0.1,0.4,0.6,0.7,0.3,0.3,,,
1979,0.7,1.1,0.6,1,1,1,0.7,0.7,1.2,0.9,0.7,0.7,,,
1980,1.4,0.9,1.4,0.8,0.6,1.2,0.6,0.8,0.4,0.6,0.6,1.1,,,
1981,0.9,1.3,0.5,0.6,0.6,0.8,1.5,0.9,1.5,-0.3,-0.1,0.1,,,
1982,0.2,0.2,-0.6,0.3,1,2.1,0.2,0.4,0.8,1.3,-0.3,-0.6,,,
1983,0.3,0.2,0.1,1,0.3,0.3,0.3,0.1,0.9,0.3,0.4,0.1,,,
1984,1,0.6,0.3,0.4,0,0.2,0.5,0.7,0.7,-0.1,0.4,0,,,
1985,0.2,0.6,0.2,0.4,0.2,0.2,0.1,0.7,0.4,0.2,0.8,0.3,,,
1986,0.7,-0.3,0,-0.3,-0.3,0.7,0.7,0.2,0.3,0.4,-0.1,0.4,,,
1987,0.8,0.5,0.4,0.7,0.6,0.4,0.1,0.8,0.8,0.3,0.2,0.1,,,
1988,0.6,-0.2,0.3,0.9,0.1,0.3,0.4,0.5,1.4,0.2,-0.2,0.1,,,
1989,0.8,0.5,1,0.5,0.5,0.2,0.1,0.2,1,0.5,0.3,0.1,,,
1990,1.4,0.1,1,0.5,-0.1,-0.1,0.9,1.2,0.6,0.6,-0.1,0.1,,,
1991,1,0.4,-0.1,0.2,0.2,0.4,0.4,0.1,0.3,-0.1,0.6,0,,,
