Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1961,,,,,0.6,,,,,1.2,,,,,
1962,,,,,0.6,,,,,-0.3,,,0.6,,
1963,,,,,,,,,,0.6,,,0.3,,
1964,,,,0,,,,,,0.9,,,0.6,,
1965,,,,1.4,,,,,,0.3,,,0.9,,
1966,,,,,,,,,,4,,,2.8,,
1967,,,,,,,,,,2.2,,,2.5,,
1968,,,,,,,,,,2.4,,,2.4,,
1969,,,,,,,,,,4.7,,,3.9,,
1970,3.9,,,2.5,,,3.8,,,4,,,3.8,,
1971,3.5,,,3.2,,,2.9,,,2.4,,,2.9,,
1972,2.4,,,3.8,,,2.6,,,2.3,,,2.6,,
1973,1.9,,,3,,,3.9,,,5.9,,,4.4,,
1974,8,,,8.9,,,11.5,,,13.1,,,10.8,,
1975,13.6,,,15.4,,,14.5,,,12.4,,,13.7,,
1976,11.2,,,7.8,,,7.3,,,6.4,,,7.7,,
1977,6.7,,,6.8,,,7.6,,,5.7,,,6.7,,
1978,5.7,,,,,,6.2,,,,,,7,,
1979,10.6,,11.2,,10.4,,10.1,,10.4,,9.9,,10.5,,
1980,10.1,,11.2,,11.4,,10.2,,8.3,,10.6,,10.2,,
1981,10.2,,7.9,,7.9,,7.7,,8.6,,7.2,,8.1,,
1982,5.3,,7.9,,7.9,,7.2,,5.1,,1.5,,5.4,,
1983,1.8,,0.4,,-0.5,,0.8,,1.7,,5.1,,1.8,,
1984,5.4,,5.1,,4.9,,3.6,,3.7,,2.7,,4.1,,
1985,2.6,,2,,1.4,,2.8,,2.4,,3.4,,2.4,1.9,2.9
1986,3.2,,4,,3.5,,1.1,,0.6,,0.3,,1.9,3.4,0.5
1987,,,,,,,,,,,,,0.4,0,0.7
1988,,,,,,,,,,,,,0.4,0.1,0.7
1989,,,,,,,,,,,,,2.9,2.3,3.3
1990,,,,,,,,,,,,,6.2,5.4,7
1991,,,,,,,,,,,,,4.6,5.5,3.6
1992,,,,,,,,,,,,,3.4,3.2,3.5
1993,,,,,,,,,,,,,3.1,3.3,2.9
1994,,,,,,,,,,,,,2.1,2.1,2.3
1995,,,,,,,,,,,,,2.9,2.9,2.7
1996,,,,,,,,,,,,,2.7,2.6,3
1997,,,,,,,,,,,,,1.5,1.6,1.2
1998,,,,,,,,,,,,,1.5,1.8,1.1
1999,,,,,,,,,,,,,1,1.3,0.9
2000,,,,,,,,,,,,,1.7,0.9,2.4
2001,,,,,,,,,,,,,2.8,2.9,2.7
2002,,,,,,,,,,,,,1.9,2,1.9
2003,,,,,,,,,,,,,2.7,2.3,3.1
2004,,,,,,,,,,,,,2.6,2.8,2.4
2005,,,,,,,,,,,,,3.1,2.4,3.8
2006,,,,,,,,,,,,,3.2,4.2,2.2
2007,,,,,,,,,,,,,2.2,1.5,2.9
2008,,,,,,,,,,,,,4.6,4.6,4.5
2009,,,,,,,,,,,,,1.2,1.3,1.1
2010,,,,,,,,,,,,,1.8,2.5,1
2011,,,,,,,,,,,,,3.2,2.8,3.6
2012,,,,,,,,,,,,,2.2,2.5,2
2013,,,,,,,,,,,,,3.1,2.7,3.5
2014,,,,,,,,,,,,,1.6,1.9,1.4
2015,,,,,,,,,,,,,0.5,1.1,-0.1
2016,,,,,,,,,,,,,0.4,-0.1,0.9
2017,,,,,,,,,,,,,0.5,0.7,0.2
2018,,,,,,,,,,,,2.8,3,2.1,4
2019,,2.5,,2.7,,2.5,,0.7,,-0.3,,0,1.4,2.6,0.2
2020,,-0.3,,-2.5,,-3.8,,-1.5,,0.3,,0.3,-1.1,-1.7,-0.5
2021,,1.3,,4.8,,6.2,,5.7,,6.3,,7.2,4.9,3.4,6.4
2022,,7.4,,7.5,,12.4,,7.6,,7.6,,5.4,8.1,8.4,7.8
2023,,4.3,,3.1,,-3.3,,2,,1.1,,1.8,1.5,2.2,0.9
2024,,1.7,,3.2,,2.9,,1.5,,2.1,,2.3,2.2,2.5,2
2025,,2.9,,1.6,,,,,,,,,,,
