Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1915,,,,,,,,,,,,0,,,
1916,,,,,,,,,,,,15.6,9,,
1917,,,,,,,,,,,,24,22.7,,
1918,,,,,,,,,,,,21.7,20.2,,
1919,,,,,,,,,,,,10.2,14,,
1920,,,,,,20.8,,,,,,1.2,12.3,,
1921,,,,,,,,,,,,-10.3,-11.5,,
1922,,,,,,,,,-5.6,,,-1.3,-4.9,,
1923,,,0.6,,,2.6,,,5.3,,,2.6,1.9,,
1924,,,1.3,,,0,,,-1.9,,,-0.6,0,,
1925,,,,,,2.5,,,,,,5.1,3.2,,
1926,,,,,,1.2,,,,,,-1.8,1.2,,
1927,,,,,,-1.2,,,,,,-2.5,-2.4,,
1928,,,,,,-1.9,,,,,,-1.3,-0.6,,
1929,,,,,,-0.6,,,,,,1.3,0,,
1930,,,,,,0,,,,,,-4.4,-1.9,,
1931,,,,,,-9.5,,,,,,-8.6,-7.7,,
1932,,,,,,-9.1,,,,,,-9.4,-9,,
1933,,,,,,-6.2,,,,,,1.6,-4.6,,
1934,,,,,,5.7,,,,,,,4,,
1935,,,,,,,,,,,,,2.3,,
1936,,,,,,,0.8,,,,,,0.8,,
1937,,,,,,,,,2.2,,,3,3,,
1938,,,-1.5,,,-1.5,,,-2.9,,,-2.2,-2.2,,
1939,,,-0.7,,,-0.7,,,0.7,,,-1.5,-0.7,,
1940,,,0,,,1.5,,,-0.7,,,2.3,0.7,,
1941,,,2.2,,,5.1,,,9.6,10.4,11.1,11.8,5.9,,
1942,13.2,14,14.6,14.5,13.6,12.6,11.1,11,9.5,9.4,8.7,8.6,11.9,,
1943,7.8,7.1,7.6,8.2,9.4,8.1,6.9,5.6,5.6,5.5,4.3,3.6,6.3,,
1944,3,2.4,1.2,0,-1.1,-0.6,1.8,2.4,1.2,1.2,2.9,2.3,1.8,,
1945,2.9,3.5,2.9,2.9,3.5,4,3.4,3.4,4,2.9,2.3,2.9,2.9,,
1946,2.3,1.1,1.7,2.8,1.7,2.2,7.8,10.6,11.7,14.5,17.3,17.2,7.9,,
1947,17.8,18.5,21.2,19.9,19.3,18.5,,,13.4,,,10.4,15.1,,
1948,,,6.9,,,9.6,,,7,,,1.7,7.7,,
1949,,,2.2,,,-0.4,,,-2.5,,,-1.3,-0.4,,
1950,,,-1.3,,,-0.8,,,2.5,,,5.6,0.8,,
1951,,,8.5,,,8.5,,,5.3,,,5.7,7.1,,
1952,,,2.8,,,2.3,,,3.9,,,1.5,2.7,,
