Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1915,,,,,,,,,,,,1,,,
1916,,,,,,,,,,,,12.6,6.9,,
1917,,,,,,,,,,,,21.6,21.3,,
1918,,,,,,,,,,,,20.6,18.3,,
1919,,,,,,,,,,,,12.9,15.5,,
1920,,,,,,21.7,,,,,,3.6,14.5,,
1921,,,,,,,,,,,,-11.1,-11.2,,
1922,,,,,,,,,-5.6,,,-2.3,-5.5,,
1923,,,0,,,1.7,,,5.3,,,2.9,2.3,,
1924,,,1.7,,,0.6,,,-1.1,,,1.1,0.6,,
1925,,,,,,4,,,,,,5,4,,
1926,,,,,,2.2,,,,,,-1.1,1.6,,
1927,,,,,,-1.6,,,,,,-2.1,-2.1,,
1928,,,,,,-2.2,,,,,,-2.7,-1.6,,
1929,,,,,,-1.7,,,,,,0.6,-1.1,,
1930,,,,,,-1.7,,,,,,-6.1,-2.2,,
1931,,,,,,-9.1,,,,,,-8.9,-8.6,,
1932,,,,,,-10.7,,,,,,-11.8,-10.7,,
1933,,,,,,-7,,,,,,2.2,-4.9,,
1934,,,,,,7.6,,,,,,,5.2,,
1935,,,,,,,,,,,,,0.7,,
1936,,,,,,,2.1,,,,,,1.4,,
1937,,,,,,,,,3.4,,,0.7,2.8,,
1938,,,-2,,,-2,,,-4,,,-2,-2.7,,
1939,,,-2.1,,,-2.7,,,0,,,-0.7,-1.4,,
1940,,,0.7,,,1.4,,,-1.4,,,0.7,0,,
1941,,,1.4,,,4.2,,,8.4,9.8,9.8,9.7,4.9,,
1942,11.8,11.8,12.4,13,12.9,11.3,12.7,11.2,9.7,8.9,9.6,10.1,11.3,,
1943,8.1,8.1,8,9.1,9,7.8,5.3,5.3,4.7,4.7,4.1,2.9,6.6,,
1944,2.9,2.9,1.1,-0.6,-0.6,0.6,1.7,2.2,2.2,1.1,1.1,1.7,1.1,,
1945,2.2,2.8,2.8,2.2,2.8,2.8,3.3,2.7,2.2,2.8,2.8,2.7,2.8,,
1946,2.2,1.6,2.7,3.3,2.7,3.2,8.6,11.8,14,15.6,17.7,18.7,8.6,,
1947,18.2,17.6,20.7,19,18.4,18.8,13.3,11,11.8,9.8,8.7,9,14.4,,
1948,10.4,10,5.7,9.3,10.2,9.6,9.1,9.5,7.2,7.2,5,2.5,7.8,,
1949,0.8,1.2,2.5,0,-0.4,-1.6,-2.8,-3.5,-3.1,-2.8,-2,-2,-1.2,,
1950,-2,-1.6,-1.6,-1.6,-1.6,-0.4,1.2,1.6,2,2.4,2.9,6.2,0.8,,
1951,9.1,11.6,11.2,11.6,11.1,9.8,8.9,8,7.6,7.5,8.7,6.2,9.3,,
1952,4.2,0.7,1.1,1.1,1.1,1.9,3,3,2.6,2.2,1.1,1.1,1.9,,
1953,0.7,1.1,1.1,0.4,0.7,1.1,0,0,0.4,0.4,0,0,0.4,,
1954,0.7,1.5,0.7,1.5,1.1,1.1,1.4,1.1,0.7,0.7,1.1,0.7,1.1,,
1955,0.4,0.4,0.7,0.4,0.4,-0.4,-0.7,-0.4,-0.7,-0.7,-1.1,-0.7,0,,
1956,-0.7,-0.7,0,0.4,0.4,1.1,2.2,2.2,2.9,2.9,2.9,3.2,1.1,,
1957,3.6,4.3,3.6,3.2,3.2,2.8,2.5,3.2,2.8,2.8,3.5,3.1,3.2,,
1958,2.8,2.1,2.8,2.8,2.8,2.4,2.1,1.4,1.4,1.4,1,1,2.1,,
1959,1,1,0.3,0.3,0,0.7,0.7,0.7,2,2,2.3,2.3,1,,
1960,1.7,1.7,2,2.3,2.7,2,2,2,1,1.3,1.3,1.3,2,,
1961,1.7,2,1.3,1.3,1.3,1,1.3,1,1,0.6,0.6,0.3,1,,
1962,0.6,0.6,1,1,0.3,1,0.6,1,1.3,1.3,1,1,1,,
1963,1.3,1.3,1.3,1,1.6,2.3,1.9,1.9,1.6,2.2,2.2,2.9,1.9,,
1964,2.5,2.2,1.9,1.9,1.9,1.3,1.6,1.3,1.3,0.9,1.2,0.9,1.6,,
1965,0.9,1.2,1.6,1.2,1.6,1.9,1.9,1.9,1.5,1.5,1.5,1.8,1.5,,
1966,1.8,2.1,2.5,3.1,2.8,2.4,2.4,3.4,3.7,3.6,3.3,3.3,2.7,,
1967,3,2.7,2.4,2.4,2.7,2.7,2.7,2.7,2.6,2.9,2.9,2.9,2.7,,
1968,3.8,4.1,4.7,4.7,4.7,4.9,4.9,4.6,5.2,5.1,5.4,5.4,4.9,,
1969,4.8,4.8,5,5.3,5,5,5.5,6,5.7,5.4,5.4,5.7,5.2,,
1970,6.2,6.7,6.6,6.3,7.1,6.8,6.3,6,6.7,7.2,7.4,7.1,6.8,,
1971,6.6,6,5.5,5.5,5.4,5.9,5.2,4.6,4.1,3.8,3.1,3.1,4.7,,
1972,2.9,2.6,2.8,2.8,2.1,1.9,2.8,3,3,2.8,3.5,3,3,,
1973,3.5,4.4,5.5,6,6.4,6.4,6.1,7.7,7.7,8.5,8.7,9.6,6.6,,
1974,10.5,11.1,10.9,11,11.4,12,12.4,11.8,12.8,12.6,13,12.7,11.9,,
1975,11.7,10.6,9.6,8.8,8.5,8.4,8.8,7.9,7.2,7,6.2,5.8,8.2,,
1976,6,5.8,5.2,5.6,5.5,5.1,4.7,4.5,4.5,4.1,4.3,4.1,5.1,,
1977,4.6,5.5,6.3,7,7.1,6.9,7,6.8,7,6.8,6.7,6.6,6.4,,
1978,6,5.2,5.1,4.8,4.7,5.5,6.1,6.3,6,6.2,6.5,7.6,6,,
1979,7.9,8.4,8.1,8.9,9.8,10.3,10.2,10.9,10.9,10.9,11.4,11.2,9.8,,
1980,12.3,13.3,14.5,14.3,13.7,13.4,13,13,12.6,12.6,12.1,12,13.1,,
1981,11.5,10.8,10.1,9.9,9.4,9.5,9.7,9.9,11,10.8,10,9.8,10.2,,
1982,8.9,7.7,6.4,5.4,5,5.3,5,4.1,3.2,2.5,3.2,2.4,4.9,,
1983,2.3,2.3,3,3,3.4,2.3,2.6,3,3,3.4,3.2,3.6,2.9,,
1984,4.4,5.1,4.8,5.2,5.1,4.8,4.5,4.5,4.3,4.3,4.9,4.6,4.7,,
1985,4,4.3,4.6,4.7,5.2,4.8,4.7,4.3,4.2,4.6,4.2,4.8,4.5,4.7,4.4
1986,4.6,3.6,2.9,1.8,1.5,2.4,2.4,2.3,2.9,2.3,1.6,1.7,2.5,2.8,2.3
1987,2.3,2.8,3.2,5,5.4,5.4,5,5.9,5.2,6,5.7,5.6,4.8,4,5.5
1988,5.2,4.7,4.9,3.9,3.9,3.8,4.9,4.6,5.5,4.6,5.6,5.6,4.8,4.4,5.1
1989,5.4,5.1,5.4,5.6,5.8,5.7,5,4.2,4,4.7,3.8,3.4,4.8,5.5,4.3
1990,4.4,5.4,6,6,5.2,4.9,5.4,6.4,6.1,6.4,6.9,7.3,5.8,5.3,6.4
1991,7,6.4,5.5,4.8,5,5,4.5,4.4,4.1,3.1,3,3.6,4.7,5.6,3.8
1992,2.8,2.6,3.1,3.3,3.1,4,3.4,3.3,3,3.4,2.9,2.1,3.1,3.1,3
1993,2.1,3,2.7,2.9,2.5,2,2.3,1.8,2,2.8,3.1,2.6,2.5,2.5,2.4
1994,3.4,3,2.8,2.3,2.5,2.7,3.1,3.4,3.4,2.9,3,2.7,2.9,2.8,3.1
