Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2015,,,,,,,,,,,,,0.2,-0.2,0.5
2016,,,,,,,,,,,,,1.6,1.4,1.8
2017,,,,,,,,,,,,,2.5,2.7,2.2
2018,,,,,,,,,,,,4.3,4.2,3.9,4.4
2019,,2.1,,2.3,,2.2,,3,,3.8,,3.4,2.9,2.5,3.4
2020,,4.4,,1.5,,2,,1.8,,0.7,,0.5,2,2.8,1.2
2021,,1,,4.9,,5.4,,5.1,,7.1,,9.7,5,3.2,6.8
2022,,10.9,,11,,12.3,,13,,12.1,,9.5,11.5,11.2,11.8
2023,,8.5,,7.4,,4.4,,3.7,,2.9,,2.7,5.2,7.3,3.1
2024,,2.2,,2.6,,2.7,,2.3,,1.6,,1.6,2.2,2.3,2.1
2025,,1.8,,0.3,,,,,,,,,,,
