Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1915,,,,,,,,,,,,0,,,
1916,,,,,,,,,,,,8.7,3.3,,
1917,,,,,,,,,,,,16,14.7,,
1918,,,,,,,,,,,,21.6,18.3,,
1919,,,,,,,,,,,,15.6,16.3,,
1920,,,,,,19,,,,,,1.2,13.3,,
1921,,,,,,,,,,,,-9.1,-10,,
1922,,,,,,,,,-3.3,,,-2.7,-4.6,,
1923,,,-2,,,0,,,2.1,,,2.7,0.7,,
1924,,,1.4,,,0,,,-0.7,,,-1.3,0,,
1925,,,,,,3.4,,,,,,3.4,2.7,,
1926,,,,,,-0.7,,,,,,-2,-0.7,,
1927,,,,,,0,,,,,,-0.7,-0.7,,
1928,,,,,,-1.3,,,,,,0.7,-0.7,,
1929,,,,,,0,,,,,,-0.7,0.7,,
1930,,,,,,-1.4,,,,,,-5.4,-2.7,,
1931,,,,,,-8.9,,,,,,-8.5,-8.3,,
1932,,,,,,-8.3,,,,,,-7,-7.5,,
1933,,,,,,-4.1,,,,,,0.8,-4.1,,
1934,,,,,,4.3,,,,,,,2.5,,
1935,,,,,,,,,,,,,2.5,,
1936,,,,,,,0.8,,,,,,0,,
1937,,,,,,,,,4,,,4.8,3.2,,
1938,,,0,,,0,,,-0.8,,,-1.5,0,,
1939,,,-0.8,,,-2.3,,,0,,,-1.6,-1.6,,
1940,,,-0.8,,,0.8,,,-0.8,,,1.6,0.8,,
1941,,,2.4,,,5.6,,,7.1,7.8,9.4,9.4,5.5,,
1942,11.7,11.6,13.2,13,13,12,12,12.7,11.8,10.9,11.4,11.4,11.9,,
1943,9.8,9,8.9,9.5,9.5,8.7,6,4,3.9,4.6,3.2,3.2,6.7,,
1944,2.5,1.9,1.3,0,1.2,0.6,3.8,4.5,3.8,3.8,3.1,4.3,2.5,,
1945,3.7,3.8,3.7,3.7,1.8,3.1,3,2.4,2.4,1.2,2.4,2.4,2.4,,
1946,1.8,1.2,1.2,0.6,1.8,3.6,7.7,11.3,13.7,15.5,18.2,18,8.3,,
1947,18.2,19,20.1,20.7,19.4,15.5,,,9.9,,,5.4,13.2,,
1948,,,6.9,,,9.5,,,6.7,,,4.7,6.8,,
1949,,,1.8,,,0,,,-2.2,,,-3.1,0,,
1950,,,-1.4,,,-1.4,,,0.9,,,5.5,0,,
1951,,,9.2,,,9.2,,,7.2,,,6.1,8.2,,
1952,,,2.1,,,4.6,,,4.2,,,2.5,3.4,,
1953,,,2.5,,,0.8,,,2,,,1.2,1.6,,
1954,,,0.8,,,0.4,,,-0.8,,,-1.2,0.4,,
1955,,,-0.8,,,-0.8,,,-0.4,,,0,-0.8,,
1956,,,0.8,,,2,,,2.8,,,5.2,2.4,,
1957,,,4.8,,,3.9,,,3.9,,,2.7,3.9,,
1958,,,3.8,,,4.5,,,3.8,,,2.6,3.8,,
1959,,,1.8,,,1.1,,,2.2,,,2.9,1.8,,
