Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1918,,,,,,,,,,,,16.8,,,
1919,,,,,,,,,,,,15,13.5,,
1920,,,,,,30.2,,,,,,2.2,18.5,,
1921,,,,,,,,,,,,-11.2,-12.6,,
1922,,,,,,,,,-5.8,,,-1.8,-6.3,,
1923,,,1.2,,,0.6,,,4.3,,,2.4,2.5,,
1924,,,1.2,,,0.6,,,-1.2,,,0.6,0.6,,
1925,,,,,,3.6,,,,,,4.7,3,,
1926,,,,,,1.7,,,,,,-0.6,1.7,,
1927,,,,,,0,,,,,,-2.8,-1.7,,
1928,,,,,,-4,,,,,,-1.2,-2.3,,
1929,,,,,,1.2,,,,,,1.8,1.2,,
1930,,,,,,-1.8,,,,,,-7,-2.3,,
1931,,,,,,-11.3,,,,,,-11.3,-10.2,,
1932,,,,,,-10.1,,,,,,-9.2,-10.7,,
1933,,,,,,-6,,,,,,0,-4.5,,
1934,,,,,,4.8,,,,,,,3.9,,
1935,,,,,,,,,,,,,3,,
1936,,,,,,,1.5,,,,,,0.7,,
1937,,,,,,,,,2.8,,,2.9,3.6,,
1938,,,-1.4,,,-2.1,,,-3.4,,,-3.5,-2.8,,
1939,,,-1.4,,,-2.9,,,0,,,0,-0.7,,
1940,,,0,,,1.5,,,-0.7,,,2.2,0.7,,
1941,,,2.2,,,5.1,,,7.9,8.6,10.1,9.2,5,,
1942,10.6,12.1,13.5,13.4,13.4,11.7,11.7,11.6,8,8.6,7.8,8.4,11,,
1943,6.4,6.4,5.6,6.2,7.5,6.2,5.6,4.9,5.6,4.3,3.6,2.4,4.9,,
1944,3,1.8,1.2,0.6,0,0.6,2.3,1.8,1.8,1.2,1.8,1.8,1.8,,
1945,2.3,2.4,1.8,1.2,1.7,2.3,1.1,1.7,1.1,2.3,1.1,2.9,1.7,,
1946,2.3,2.3,2.9,3.4,2.3,3.4,10.2,12.4,13.1,15.3,19.3,17.9,8.5,,
1947,17.9,18.5,21.2,20,19.4,18.6,,,16.1,,,10.9,16.2,,
1948,,,7.8,,,10.6,,,5.6,,,2.1,7.7,,
1949,,,0.9,,,-1.3,,,-3.3,,,-2.1,-1.3,,
1950,,,-0.8,,,-0.8,,,2.5,,,6.4,1.3,,
1951,,,10.3,,,9.8,,,7,,,6.4,8.4,,
1952,,,2.7,,,3.9,,,3.5,,,0.8,3.1,,
1953,,,0.4,,,0.4,,,1.5,,,1.9,1.1,,
1954,,,2.3,,,1.5,,,-1.1,,,-1.5,0.4,,
1955,,,-1.1,,,-1.5,,,0.7,,,0.7,-0.4,,
1956,,,0,,,1.1,,,1.1,,,2.6,0.7,,
1957,,,3.7,,,3.3,,,3.3,,,2.5,3.3,,
