Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1988,,,,,,,,,,,,,3.7,,
1989,,,,,,,,,,,,,3.4,,
1990,,,,,,,,,,,,,4.2,,
1991,,,,,,,,,,,,,4.2,,
1992,,,,,,,,,,,,,2.4,,
1993,,,,,,,,,,,,,4,,
1994,,,,,,,,,,,,,2,,
1995,,,,,,,,,,,,,2.5,,
1996,,,,,,,,,,,,,1.5,,
1997,,,,,,,,,,,,,1.8,,
1998,,,,,,,,,,,,,2.6,,2.5
1999,,,,,,,,,,,,,2.3,1.7,2.8
2000,,,,,,,,,,,,,3.6,4.1,3.1
2001,,,,,,,,,,,,,2.1,2,2.3
2002,,,,,,,,,,,,,3.4,2.8,4
2003,,,,,,,,,,,,,2.7,3.5,1.9
2004,,,,,,,,,,,,,2.5,2.1,2.8
2005,,,,,,,,,,,,,4,3.4,4.6
2006,,,,,,,,,,,,,4,4.5,3.5
2007,,,,,,,,,,,,,5.2,5.2,5.1
2008,,,,,,,,,,,,,3.2,3.8,2.5
2009,,,,,,,,,,,,,-0.1,-0.7,0.4
2010,,,,,,,,,,,,,1.9,2.5,1.3
2011,,,,,,,,,,,,,2.8,2.4,3.2
2012,,,,,,,,,,,,,2.4,2.4,2.3
2013,,,,,,,,,,,,,1.5,1.8,1.3
2014,,,,,,,,,,,,,1.9,2.1,1.8
2015,,,,,,,,,,,,,0.4,0.3,0.4
2016,,,,,,,,,,,,,1.2,0.5,1.8
2017,,,,,,,,,,,,,2.5,2.8,2.2
2018,,,,,,,,,,,2.3,,2.2,2.2,2.2
2019,0.4,,1.7,,2.2,,2.1,,1.5,,2,,1.7,1.6,1.9
2020,3.8,,2.1,,0.9,,1.8,,3.3,,3.2,,2.5,2.2,2.8
2021,3.4,,4.9,,6.2,,6.6,,6.1,,8,,6,5,7.1
2022,9.6,,10.2,,11.3,,11.2,,10.5,,9.6,,10.3,10.5,10.2
2023,8.9,,7.7,,7.3,,5.9,,6.7,,5.2,,6.8,7.7,6
2024,3.9,,3.7,,1.8,,2.4,,1.2,,1.6,,2.4,3.2,1.7
2025,2.3,,2.1,,2.6,,,,,,,,,,
