Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1936,,,,,,,,,1.5,,,,,,
1947,,,,,,,,1.8,,,,,,,
1978,,0.8,,1.3,,1.8,,1.7,,1.9,,0,,,
1979,,1.5,,2.4,,2.9,,2,,1.8,,1.1,,,
1980,,3.2,,2.1,,2.9,,1.7,,1.6,,3.3,,,
1981,,1.8,,1.1,,1.2,,2.6,,1.9,,0.3,,,
1982,,-0.9,,0.1,,3.9,,1.6,,0.8,,-0.6,,,
1983,,-0.3,,0.8,,1.5,,0.6,,0.1,,1,,,
1984,,0.7,,0.6,,0.9,,0.7,,0.6,,0.1,,,
1985,,1.4,,0.6,,1.1,,1,,0.5,,0.7,,,
1986,,0.4,,-0.5,,1,,0.2,,0.3,,0.7,,,
1998,,0.1,,0.8,,0.7,,-0.1,,0.1,,-0.2,,,
1999,,0.2,,1.3,,0.5,,0.7,,0.4,,0.3,,,
2000,,0.3,,1.5,,0.8,,0.5,,-0.1,,0,,,
2001,,2,,0.7,,0.7,,-0.5,,-0.1,,-1.1,,,
2002,,0.7,,1.4,,0.3,,0.3,,-0.2,,-1.2,,,
2003,,1.9,,0.8,,-0.3,,0.1,,-0.9,,-0.6,,,
2004,,1,,0.8,,1.9,,-0.9,,-0.1,,-0.4,,,
2005,,1.1,,1.5,,0.9,,-0.1,,2.3,,-2.7,,,
2006,,0.6,,2.2,,1.1,,0.7,,-2.3,,1.1,,,
2007,,0,,2.1,,1.6,,-0.5,,0.3,,0.4,,,
2008,,0.7,,1.1,,2.7,,-0.3,,-2.4,,-4.6,,,
2009,,1.1,,0,,2.2,,-0.1,,-1.1,,-0.3,,,
2010,,1.1,,0.7,,0.3,,-0.1,,-0.8,,-0.2,,,
2011,,1.6,,1.7,,0.9,,0.6,,-1.5,,-0.3,,,
2012,,1,,1.1,,0.6,,0.6,,-1.2,,-0.9,,,
2013,,1.9,,0.1,,1,,0.7,,-1,,-0.2,,,
2014,,1.3,,0.8,,1.5,,-0.1,,-1.1,,-1.5,,,
2015,,0,,0.7,,2.5,,-0.1,,-1.2,,-0.6,,,
2016,,0.3,,1,,1.3,,0.5,,-0.1,,-0.4,,,
2017,,1.2,,0.6,,1.3,,0.8,,-0.3,,-0.4,,,
2018,,1.2,,0.2,,1.2,,0.3,,-1,,-0.6,,,
2019,,1.2,,1.4,,-0.1,,1.3,,-0.2,,-0.3,,,
2020,,0.8,,-1.8,,1.1,,1.2,,0.3,,0.1,,,
2021,,1.6,,1.6,,1.8,,1.1,,1.5,,1.9,,,
2022,,2.3,,1.9,,2.4,,1.3,,0.5,,-0.5,,,
2023,,1.5,,0.5,,1.2,,1.1,,-0.6,,-0.1,,,
2024,,1.3,,0.3,,0.7,,0.1,,-0.4,,0.6,,,
2025,,0.7,,0.1,,,,,,,,,,,
