Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1936,,,,,,,,,1.5,,,,,,
1940,,,,,,,,,,,0,0.7,,,
1941,0.7,0,0,1.4,2.2,2.1,2.8,2.1,2.7,2.7,1.3,0.7,,,
1942,1.3,1.3,1.3,2.6,2.6,1.3,0,0.6,0.6,1.2,1.9,0.6,,,
1943,0,0.6,2.4,2.4,1.8,0.6,-1.8,-0.6,1.2,0.6,-0.6,-0.6,,,
1944,-0.6,-0.6,0,1.2,1.2,0.6,1.8,1.2,0,0,0,0,,,
1945,0,0,0,0,1.7,1.7,0,0,-0.6,-0.6,0,0.6,,,
1946,0.6,0,0,1.1,1.7,1.1,8.4,10,3.1,4,5,2.4,,,
1947,0.5,-0.5,1.9,1.9,0,1.9,2.3,2.8,5,2.7,0,1.7,,,
1948,1.7,-0.9,-1.3,2.2,3.4,2.1,2.1,1.7,0.8,-0.4,-2,-1.6,,,
1949,-0.8,-1.2,0,1.3,0,0.4,-0.4,-0.8,1.3,0,-0.4,-0.8,,,
1950,-1.7,-0.4,0.4,0,0.8,1.3,1.3,2.1,1.2,0.8,0.8,2,,,
1951,2.8,2.8,1.6,0.4,0.4,0.4,0.8,0.4,0.4,1.1,1.5,0.4,,,
1952,-0.4,-1.1,-0.8,0.8,1.1,1.1,0.7,0.7,0,-0.4,0,-0.4,,,
1953,-0.7,-0.7,-0.4,0.4,0.8,0.7,0.7,1.1,0.7,0.7,0,-0.7,,,
1954,0,0,0,0,0.7,0.7,0.7,0.4,-0.7,-0.4,0.4,-0.4,,,
1955,-0.7,0.4,0,-0.4,0.4,0.4,0.7,1.1,0.7,0.4,0,-0.4,,,
1956,-0.7,-0.4,-0.4,0,0.7,1.1,1.8,0.4,-0.4,1.1,0.7,0,,,
1957,0,0.4,0.4,0.4,0.7,0.7,1.4,1,0.3,0.7,1,0.7,,,
1958,0.3,0.3,0.7,0.7,0,0.3,0.3,-0.3,0,0.3,0,-0.3,,,
1959,-0.3,0,0,0.3,0.3,0.3,0.7,0.3,0.7,0.7,0,0,,,
1960,-0.3,0,0.3,0.3,0.3,0.3,0.7,0,0,0.3,0,0,,,
1961,0,0,-0.3,-0.3,0,-0.3,0.7,1,0,0.3,0,-0.3,,,
1962,0,0.7,0.7,0.3,0,-0.3,0,0,0.6,0.3,-0.3,0,,,
1963,0.3,0.3,0.3,0.3,-0.3,0,1,0.3,-0.3,0,0,0.3,,,
1964,0,-0.6,-0.3,0,0.3,0.6,0.6,0,-0.3,0.3,0.3,0,,,
1965,0,0,0,0.3,0.6,1,0.3,-0.3,0.3,0.6,0.3,0.6,,,
1966,0.3,0.3,1.3,0.6,0.3,0.6,0.3,0.6,1.2,0.6,0,0.3,,,
1967,-0.3,0,0.6,0,0.3,0.6,0.9,1.2,1.2,0.6,0.3,0.6,,,
1968,0.3,0.6,1.2,0.9,0.6,0.6,0.9,0.9,0.9,0.9,0.3,0.6,,,
1969,1.1,0.8,1.1,1.1,0.6,1.1,1.4,1.4,1.6,0.5,0.3,1.1,,,
1970,1.1,0.8,0.8,0.8,0.8,1,1,1,1,1,0.8,0.8,,,
1971,0.5,0.3,0.5,0.5,0.7,0.7,0.2,0.5,0.5,0,0.2,0.5,,,
1972,0.2,0.7,0.7,0.2,0.5,0.7,0.5,0.5,0.7,0.5,0.5,0.5,,,
1973,0.5,1.2,2.1,1.9,1.4,1.4,0.5,2,2.5,0.9,1.1,0.9,,,
1974,1.8,2.8,2.6,1.5,1.3,1.9,1.5,1.6,2,1.8,1.8,1.8,,,
1975,1,0.8,1.6,1,-0.2,0.4,1.9,1.7,0.8,0.8,0.7,0.6,,,
1976,-0.2,0.2,0.9,0.7,1.1,1.3,1.3,1.1,1.1,0.9,0.5,0.5,,,
1977,0.5,1.2,1.8,1.6,1.2,0.7,1,1.2,1.2,0.8,0.5,0.7,,,
1978,1.8,2.5,2.1,1.6,1.4,1.6,1.3,0.6,1.2,2,2.2,1.7,,,
1979,0.8,2,3.6,3.1,1.6,2.3,3.6,2.4,1.8,1.4,2,3,,,
1980,2,2,2.2,3.2,3.3,3.4,1.5,-1.2,1.3,3.4,3.9,2.6,,,
1981,-0.3,-0.2,0.2,1.6,1.8,2,3.2,2.4,1.5,0.1,0,-0.8,,,
1982,-0.5,0.3,0.3,2,4.1,4.2,1.9,0.4,0.3,0.4,0.1,-0.4,,,
1983,-0.1,0.2,-0.1,0.5,0.9,1.1,1.1,1.1,1.1,0.2,0.3,0.5,,,
1984,0.5,0.4,0.1,0.6,0.5,1,1.2,1.2,1.4,0.2,-0.4,0,,,
1985,0.4,0.9,0.7,0.8,0.8,1.6,1.5,0.6,0.6,-1,-0.6,1,,,
1986,0.6,0.2,-0.7,-0.9,0.1,2.1,2.1,0.3,0.9,-0.8,-0.8,0.7,,,
1987,0.9,1,0.4,0.8,0.9,2.4,2.3,1,1,-1.4,-1.2,0.5,,,
1988,-0.3,0.8,1.4,0.4,0.1,1.5,2.4,1,1.8,1.2,-0.8,-0.2,,,
1989,0.4,0.7,1.2,1.1,0.7,1.7,2,0.6,0.6,0.3,-0.3,-0.2,,,
1990,1.1,2.1,1.1,0.9,0.7,1,1.2,1.1,1.4,0.1,0.3,1,,,
1991,0.7,0.7,0.8,0.4,0.4,0.9,0.4,0.2,0.7,0.3,-0.2,0.2,,,
1992,0.7,0.7,0.6,0.4,0.6,1,0.6,0.5,0.9,0.1,-0.2,0.6,,,
1993,0.6,0.5,0.6,0.8,1.1,0.6,-0.1,0.3,0.8,0.8,-0.2,-0.7,,,
1994,0.1,0.5,0.8,0.7,0,0.1,0.5,1.1,1.3,-0.3,0.1,0.7,,,
1995,0.9,1.2,0.5,0.5,0.3,0.3,0.4,0.2,0.3,0.3,0,-0.3,,,
1996,0.4,0.9,1.1,0.8,0.4,0.8,0.5,0.3,0.4,0.4,0.7,0.6,,,
1997,0.6,0.9,0.4,-0.1,0.1,0.5,0.4,0.5,0.2,0,0.5,0.2,,,
1998,-0.1,0.2,0.8,1,0.9,0.7,0.5,-0.4,-0.7,0.2,0.1,-0.4,,,
1999,0.4,0.8,0.5,0.7,0.7,0.8,0.7,0.2,0.2,0.2,-0.2,-0.3,,,
2000,0.5,1.3,1.2,0.3,0.9,2.4,0.5,-1.3,0.1,1,0.7,0.2,,,
2001,1.2,1.5,-0.6,-0.1,1.5,0.4,-1.2,-0.6,1.1,0,-1.3,-0.1,,,
2002,0.3,0.4,1.1,1.2,0.9,0.7,-0.1,-0.3,0.5,0.7,0.6,-0.2,,,
2003,-0.3,0.9,1.1,-0.4,-0.8,0.4,0.4,0.2,1.1,0.7,-0.3,-0.2,,,
2004,-0.1,0.5,0.5,0.4,1.3,1,0.3,0.6,0.4,0.3,0.4,-0.6,,,
2005,-0.4,0.5,0.7,1.4,1,0.4,0.5,0.9,2.1,1.1,-0.5,-0.8,,,
2006,0.1,0.4,0.1,0.3,0.4,0.7,0.5,0.7,0.2,-1.4,-0.9,0.2,,,
2007,0.8,1.4,1.5,1.7,1.6,1,-0.1,-0.1,0.4,0.4,0.7,0.2,,,
2008,0.5,1.1,1.3,1.5,1.6,1.4,1.2,0.1,-0.9,-1.2,-3,-3.5,,,
2009,-0.7,0.7,-0.1,0.3,1.1,1.5,0.5,0.2,0.2,0.1,0.4,-0.2,,,
2010,0,0.6,0.4,0.2,0,-0.3,-0.2,0.3,0.4,0.3,-0.1,0.2,,,
2011,1,1.1,1.3,1.2,1,0.6,-0.4,-0.2,0.3,0,-0.4,-0.6,,,
2012,0.2,0.7,1.3,1.3,0,-0.1,-0.3,0.4,0.9,0.1,-0.5,-0.6,,,
2013,-0.1,1.3,1,-0.1,0.5,0.6,-0.1,-0.2,-0.1,-0.5,-0.6,-0.7,,,
2014,0.6,1.5,1.7,1.6,0.4,0.3,0,-0.3,0.1,-0.3,-1.2,-1.2,,,
2015,-0.6,-0.2,0.7,0.9,0.5,0.5,0,0.3,0.1,-0.4,-0.5,-1,,,
2016,0.1,0.5,-0.1,0.8,0.6,0.5,-0.3,-0.6,0.8,0.7,0.3,0,,,
2017,0.5,0.9,0,0.2,0.5,0.1,0,0.3,0.7,0,0,0.1,,,
2018,0.5,0.9,0.1,0.7,1.1,0.3,-0.4,-0.2,0.5,0.3,-0.6,-0.9,,,
2019,0.3,1.2,0.8,0,0.7,0.5,-0.1,0.5,0.3,0.5,0.1,-0.5,,,
2020,0.7,1,-0.7,-1.7,0,1.3,0.6,0.4,0.7,0.5,-0.5,-0.5,,,
2021,0.6,1.3,1.2,1.7,2,1.4,0.8,0.4,0.4,1,0.9,0.7,,,
2022,1.3,1.7,2.2,1.8,2.2,3,1.1,-0.1,0.3,0.3,-0.4,-1.4,,,
2023,0,1.2,1.2,1.6,1.1,0.4,0,0.1,0.3,0.4,-0.2,-0.5,,,
2024,0.8,1.3,1.1,1.2,1.1,0.4,0.6,0.9,0.7,0.2,-0.5,-0.2,,,
2025,1.2,1.3,0.5,0.5,0.6,,,,,,,,,,
