Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1978,0.8,,1.4,,0.6,,2,,1.5,,0.8,,,,
1979,1.5,,2.1,,1.2,,2.9,,1.4,,1.8,,,,
1980,3.2,,3.5,,1.6,,3,,-0.4,,0.6,,,,
1981,2.5,,2,,2.2,,2,,2.9,,2.3,,,,
1982,1,,-0.1,,0.4,,-0.4,,0.6,,0.5,,,,
1983,0.7,,0.6,,0.3,,0.9,,1.3,,0.6,,,,
1984,0.7,,0.3,,0.5,,0.4,,0.6,,0.2,,,,
1985,0.2,,0.9,,0.6,,0.2,,1.2,,0.3,,,,
1986,0.4,,0,,-0.9,,-1,,1.8,,0.9,,,,
1987,0.7,,0.7,,0.4,,0.8,,0.4,,1.2,,,,
1988,0.6,,0.5,,1,,0.5,,1.7,,-0.4,,,,
1989,1.4,,-0.2,,0.9,,0.6,,1.1,,0.1,,,,
1990,1.3,,0.4,,1,,1.8,,1.1,,0.8,,,,
1991,0.2,,0.4,,0,,0,,0.1,,1.1,,,,
1992,0.1,,0.6,,-0.6,,0.1,,0.6,,1,,,,
1993,1.4,,1,,-0.1,,0,,0.1,,0.4,,,,
1994,0.9,,1.8,,-0.1,,0.1,,0.8,,0,,,,
1995,1.9,,1,,-0.1,,-0.2,,0.4,,0.9,,,,
1996,1.2,,0.3,,0.1,,-0.1,,1.4,,1.2,,,,
1997,1.1,,0.3,,-0.4,,0,,0.4,,0.6,,,,
1998,,0.6,,0,,0,,0.4,,0.2,,0,,,
1999,,0.2,,0.2,,-0.2,,0.6,,1.1,,0.4,,,
2000,,0.7,,0.6,,0.7,,0.2,,0.7,,-0.1,,,
2001,,1.4,,0.5,,0.4,,0,,0.4,,-0.6,,,
2002,,1.1,,0,,-0.3,,0.5,,1,,0.5,,,
2003,,1.3,,0.2,,-0.7,,0.8,,0.4,,0,,,
2004,,1.1,,0.9,,0.2,,-0.3,,1,,0.9,,,
2005,,1.1,,1.4,,-0.3,,1.6,,1.6,,-0.7,,,
2006,,2.4,,0.8,,0,,0.9,,-0.4,,0.3,,,
2007,,1.3,,1.4,,0.9,,0.1,,1,,1,,,
2008,,0.8,,1,,1.7,,0.2,,-0.8,,-2.4,,,
2009,,1,,0.1,,0.3,,-0.1,,0.5,,0.2,,,
2010,,-0.2,,0.1,,-0.1,,0.2,,0.4,,0.6,,,
2011,,1.1,,1.8,,-0.1,,0.7,,-0.3,,-0.1,,,
2012,,1,,0.9,,-0.9,,0.9,,0.3,,-0.7,,,
2013,,1.5,,-0.2,,-0.1,,-0.2,,0.6,,0.2,,,
2014,,1.2,,0.7,,-0.3,,-0.1,,0.4,,-0.6,,,
2015,,0.3,,0.8,,0.4,,0,,0.2,,-0.1,,,
2016,,0.2,,0.7,,0.6,,0,,0.5,,0.8,,,
2017,,1.3,,-0.5,,-0.2,,0.3,,1,,-0.1,,,
2018,,2.6,,-0.1,,0.5,,-0.3,,0.8,,-0.6,,,
2019,,1,,0.8,,-0.5,,0.4,,0.4,,-0.2,,,
2020,,0.4,,-1,,0.7,,1,,0.1,,-0.2,,,
2021,,0.8,,1.6,,1.6,,0.2,,1.5,,1.2,,,
2022,,2.8,,1.5,,2.5,,0.4,,0.9,,1.4,,,
2023,,2.1,,1.4,,0.5,,1.2,,0.5,,-0.2,,,
2024,,1.4,,1,,-0.4,,0.3,,0.6,,-0.1,,,
2025,,1.4,,0.3,,,,,,,,,,,
