Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,-1.1,,,
1922,,,-5.1,,,-0.6,,,0.6,,,2.4,,,
1923,,,-1.2,,,0,,,2.9,,,1.1,,,
1924,,,-2.8,,,-0.6,,,1.7,,,0.6,,,
1935,,,,,,,,,,0.7,,,,,
1936,0.7,,,-0.7,,,1.4,,,,,-1.4,,,
1937,,,2.1,,,1.4,,,2,,,-2.6,,,
1938,,,-2.7,,,0,,,0,,,-0.7,,,
1939,,,-0.7,,,-0.7,,,2.1,,,-1.4,,,
1940,,,1.4,,,0.7,,,-0.7,,,0,,,
1941,0.7,0.7,0,1.4,2.1,3.5,3.4,3.4,3.4,2.7,4,2,,,
1942,2.6,1.9,3.2,1.9,1.9,1.9,3.7,1.8,2.4,1.8,3,1.8,,,
1943,0.6,0,1.8,2.3,2.9,0.6,-1.1,-1.7,-1.1,1.2,0.6,0.6,,,
1944,-0.6,-0.6,-0.6,0.6,1.2,1.2,0.6,1.1,1.7,0,0,0,,,
1945,1.1,0.6,-0.6,-0.6,0,2.3,2.3,1.7,-0.6,-1.1,-0.6,0,,,
1946,1.1,0,0.6,0.6,1.1,1.7,8.8,11,10.9,5.1,4.5,4.4,,,
1947,2.9,0.9,1.9,0.5,0.5,0,1.9,4.2,5.5,3.7,2.2,1.3,,,
1948,3.5,2.2,0,0.4,1.7,3.4,3,3,1.7,0,-1.2,-2.5,,,
1949,-2.5,-3.3,-1.3,-0.8,0.9,0.4,0,0.9,1.3,0.9,0,-1.7,,,
1950,-1.3,-1.7,0,0.4,0.9,1.3,2.1,3,1.7,1.7,0.8,1.7,,,
1951,2.5,3.7,2.8,1.2,0.4,0.4,0.8,0.4,0.8,1.2,1.6,1.6,,,
1952,0.4,-0.4,-0.8,-0.4,0.4,0.8,2.3,1.9,1.2,-0.4,-1.1,-1.1,,,
1953,-1.1,,,-0.4,,,1.2,,,0.8,,,,,
1954,-1.1,,,0,,,1.1,,,-0.4,,,,,
1955,-0.4,,,0.4,,,0.4,,,0.4,,,,,
1956,0.4,,,0.4,,,2.2,,,1.5,,,,,
1957,-0.4,,,1.1,,,1.4,,,0,,,,,
1958,1.1,,,1,,,0.7,,,0,,,,,
1959,0,,,-0.3,,,0.3,,,1,,,,,
1960,-0.3,,,1.7,,,0,,,0.3,,,,,
1961,0.3,,,0.3,,,0.3,,,0.3,,,,,
1962,0.7,,,1,,,0,,,1,,,,,
1963,0.3,,,0.6,,,0.3,,,0.3,,,,,
1964,0,,,0.6,,,0.3,,,0.6,,,,,
1965,0.3,,,0.6,,,0.6,,,0,,,,,
1966,0.3,,,2.4,,,0.3,,,1.2,,,,,
1967,0.3,,,0,,,0.9,,,0.9,,,,,
1968,0.9,,,1.4,,,0.8,,,1.7,,,,,
1969,0.8,,,1.6,,,1.6,,,2.1,,,,,
1970,1,,,1.3,,,1,,,2.8,,,,,
1971,1,,,0.7,,,1,,,1.4,,,,,
1972,0.2,,,1.2,,,0.7,,,1.4,,,,,
1973,0.7,,,2.2,,,1.1,,,3.5,,,,,
1974,2.5,,,2.2,,,3,,,2.1,,,,,
1975,2.3,,,1.7,,,2.6,,,1.1,,,,,
1976,4.2,,,0.3,,,1.7,,,0.5,,,,,
1977,1.7,,,1.5,,,1.6,,,0.6,,,,,
1978,0.9,,,,,,,,,,,,,,
