Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,0.5,,,
1922,,,-1.1,,,-0.5,,,-0.6,,,0.6,,,
1923,,,-0.6,,,1.7,,,1.1,,,0.5,,,
1924,,,-0.5,,,-1.1,,,0.5,,,-1.1,,,
1935,,,,,,,,,,-0.8,,,,,
1936,2.3,,,-1.5,,,1.5,,,,,0,,,
1937,,,4.4,,,-0.7,,,1.4,,,-0.7,,,
1938,,,-2.1,,,0,,,0,,,0.7,,,
1939,,,-0.7,,,-1.4,,,2.2,,,-1.4,,,
1940,,,0,,,0,,,0.7,,,0.7,,,
1941,1.4,-0.7,0,0.7,2.9,3.5,2.1,2.1,2.7,4.1,4.1,3.3,,,
1942,3.3,3.3,3.9,3.2,3.2,1.9,2.5,3.1,2.4,2.4,1.8,1.8,,,
1943,0.6,-0.6,0.6,1.8,2.4,1.2,-0.6,-1.1,-0.6,0.6,1.7,1.2,,,
1944,0,-0.6,-0.6,0,1.1,0.6,0.6,0,1.1,1.7,1.1,1.1,,,
1945,0.6,0,0,0.6,1.1,0.6,0.6,0.6,1.7,1.1,1.7,1.1,,,
1946,0.5,0,-0.5,0.5,1.1,2.2,6.5,7.5,6.9,4.1,7,6.5,,,
1947,4.9,0.9,1.4,1.4,0.9,0,0,0.5,3.2,2.8,4.1,2.7,,,
1948,4,2.6,1.3,0.9,0.4,0.9,0.9,1.3,1.3,0.8,0.8,1.3,,,
1949,0.8,-0.4,-0.8,-0.8,-0.8,-1.3,-2.1,-1.3,-0.8,-0.4,0,-0.9,,,
1950,0.4,-0.4,0.9,0,0.4,0,0.4,1.7,2.1,2.6,2.1,2.9,,,
1951,3.7,4.9,4.5,2.8,0.8,0,0.4,0.4,0.8,0.4,1.6,1.5,,,
1952,1.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0.4,0.4,,,
1953,0.4,-0.4,0,0.4,0.4,0,0,0.4,0.8,0.4,0.4,-0.4,,,
1954,0.7,0.4,0.4,-1.1,-0.7,-0.4,-0.7,-0.4,-0.4,0,-0.4,0,,,
1955,0.4,0,0,-0.8,0.4,0,1.1,0,0.8,0.4,0.8,0,,,
1956,0,-0.4,0,0,1.1,1.1,1.5,0.4,0.4,0.4,1.5,1.5,,,
1957,1.1,1.1,0.7,0.7,0.4,0.4,0.7,0.4,1.1,0.7,1.4,0.7,,,
1958,1.4,0.7,1.4,1.4,1,0.3,0,0,0.7,0.3,1,0.3,,,
1959,0.3,0,0,0,0.3,0.3,0.7,0.3,0.7,1,1,1,,,
1960,0.3,0,0.3,0.7,1,0,-0.3,-0.7,0.3,0.7,1,1,,,
1961,0.7,0.7,-0.3,0,0,0.3,0,0,0,0.3,0.7,0.7,,,
