Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,-1.2,,,
1922,,,-3.1,,,0.6,,,-2.5,,,1.9,,,
1923,,,0,,,0,,,0.6,,,0.6,,,
1924,,,-0.6,,,-1.3,,,-1.3,,,1.3,,,
1935,,,,,,,,,,0.8,,,,,
1936,0.8,,,-0.8,,,0.8,,,,,0,,,
1937,,,1.5,,,0.7,,,1.5,,,-0.7,,,
1938,,,-1.4,,,0.7,,,-0.7,,,-0.7,,,
1939,,,-0.7,,,0,,,1.5,,,0,,,
1940,,,-0.7,,,0,,,0,,,1.5,,,
1941,0.7,0.7,0,0.7,1.5,3.6,4.4,3.6,2.8,3.5,2.8,1.4,,,
1942,1.4,2,3.4,2.7,2.6,1.3,1.3,0.6,1.3,1.3,1.9,1.9,,,
1943,0.6,0.6,1.3,1.9,1.9,0.6,0,-0.6,-0.6,0.6,0.6,1.2,,,
1944,-0.6,-0.6,-0.6,0.6,1.2,0.6,1.2,0.6,0.6,0,0,0,,,
1945,0,0,0,0,0.6,1.2,1.2,0.6,0.6,0.6,1.2,0.6,,,
1946,0.6,0,0,0.6,1.2,2.4,8.8,9.4,10.4,5.9,7,5.2,,,
1947,1.5,0,1,2,1.5,1,,,6.3,,,2.3,,,
1948,,,0.9,,,2.2,,,1.3,,,-1.7,,,
1949,,,-0.4,,,-0.4,,,0,,,-0.9,,,
1950,,,-0.4,,,1.3,,,1.8,,,3,,,
1951,,,2.9,,,0.4,,,-0.4,,,2.4,,,
1952,,,0.4,,,1.2,,,0,,,-0.4,,,
1953,,,,0.4,,,0.8,,,0.8,,,,,
1954,0,,,-0.4,,,0.8,,,-0.4,,,,,
1955,0,,,0.4,,,0.4,,,-1.1,,,,,
1956,0,,,-0.4,,,1.6,,,0,,,,,
1957,1.5,,,0.4,,,1.5,,,0.4,,,,,
1958,0.7,,,0.7,,,0.7,,,-0.4,,,,,
1959,0.7,,,-0.4,,,0.4,,,1.1,,,,,
1960,-0.4,,,0.7,,,0.4,,,0.7,,,,,
1961,-0.4,,,0.7,,,0.3,,,0,,,,,
1962,-0.3,,,1.4,,,0,,,0.3,,,,,
1963,0,,,0.3,,,1.4,,,-0.3,,,,,
1964,0,,,0,,,0.7,,,0.3,,,,,
1965,0,,,0.3,,,0.7,,,0.3,,,,,
1966,0.3,,,1.3,,,0,,,1.3,,,,,
1967,0,,,0.6,,,1.3,,,2.5,,,,,
1968,0.6,,,1.2,,,0.9,,,0.3,,,,,
1969,0.6,,,1.8,,,2.3,,,2,,,,,
1970,2,,,1.6,,,1.1,,,1.1,,,,,
1971,0.8,,,0.3,,,1.3,,,1.3,,,,,
1972,0.3,,,0.3,,,1,,,1.5,,,,,
1973,0.5,,,2.2,,,1.9,,,2.4,,,,,
1974,2.8,,,3.6,,,2.4,,,3.6,,,,,
1975,1.4,,,0.4,,,3.2,,,1.9,,,,,
1976,1.3,,,0.9,,,1.7,,,1.1,,,,,
1977,1.4,,,2.1,,,2.6,,,1.4,,,,,
1978,2,,,2.1,,,,,,,,,,,
1986,,,,,,,,,,,0.1,,,,
