Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,-1.8,,,
1922,,,-1.9,,,-0.6,,,-0.6,,,0,,,
1923,,,-2.6,,,2.6,,,0.6,,,0,,,
1924,,,-0.6,,,0.6,,,-0.6,,,0.6,,,
1935,,,,,,,,,,0,,,,,
1936,1.6,,,-1.6,,,1.6,,,,,0,,,
1937,,,3.1,,,0,,,1.5,,,-0.7,,,
1938,,,-0.7,,,-0.8,,,0,,,0,,,
1939,,,-0.8,,,0,,,1.5,,,-1.5,,,
1940,,,0.8,,,0,,,0,,,0.8,,,
1941,0.8,0.8,0.8,1.5,3.8,3.7,3.7,2.2,4.3,5,4.3,2.8,,,
1942,3.4,4.1,4,2.6,3.3,0,0,0,3.2,3.2,2.5,2.5,,,
1943,1.9,1.2,1.2,1.8,3,1.2,-1.2,-3,-0.6,1.8,2.4,0.6,,,
1944,0,-0.6,0,0,1.2,0.6,1.2,0.6,0.6,0.6,0.6,1.2,,,
1945,0.6,0,0,0,1.2,0.6,1.2,0.6,0.6,-0.6,0,1.1,,,
1946,1.2,0.6,0,0.6,1.1,1.7,6.3,7.3,8.4,6.4,6.8,6.2,,,
1947,2.5,0,0.5,2,2.5,0,,1.9,,,2.8,,,,
1948,,2.8,,,2.2,,,1.3,,,-1.3,,,,
1949,,0.4,,,-0.9,,,-1.3,,,0.9,,,,
1950,,-0.4,,,0,,,1.8,,,3.5,,,,
1951,,2.9,,,1.6,,,-0.4,,,2,,,,
1952,,0.4,,,0.4,,,0,,,0.8,,,,
1953,,-0.8,,,1.2,,,0.4,,,-0.4,,,,
1954,,0,,,0,,,0,,,-0.4,,,,
1955,,0.4,,,0.4,,,0,,,0.8,,,,
1956,,-1.1,,,0.8,,,1.5,,,1.1,,,,
1957,,1.5,,,0.7,,,0.7,,,0,,,,
1958,,1.1,,,0.7,,,0,,,0,,,,
1959,,0.7,,,0.7,,,0.7,,,0.3,,,,
1960,,-0.3,,,0.7,,,0,,,0.7,,,,
1961,,0.3,,,0.7,,,0,,,0.7,,,,
1962,,0.3,,,0.3,,,0.3,,,0.3,,,,
1963,,0,,,0.3,,,1.7,,,0,,,,
1964,,0,,,0,,,1,,,-0.3,,,,
1965,,-0.3,,,1,,,0.6,,,0.3,,,,
1966,,0.6,,,1.3,,,0.6,,,0.9,,,,
1967,,0,,,0.9,,,1.2,,,0.9,,,,
1968,,0.9,,,0.6,,,1.8,,,1.2,,,,
1969,,0.9,,,1.4,,,1.7,,,0.3,,,,
1970,,1.7,,,1.4,,,0.5,,,0.3,,,,
1971,,-0.3,,,0.8,,,1.8,,,0,,,,
1972,,1,,,0,,,0.8,,,1.3,,,,
1973,,1.5,,,2.5,,,2.2,,,1.9,,,,
1974,,3.2,,,2.7,,,2.6,,,3.4,,,,
1975,,2.7,,,1.8,,,1.8,,,1.6,,,,
1976,,1.1,,,0.6,,,2.1,,,1.3,,,,
1977,,2,,,2.8,,,2.2,,,1.4,,,,
1986,,,,,,,,,,,,-0.2,,,
