Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,3.8,,,,,,10.1,,,
1920,,,,,,10.6,,,,,,-9.6,,,
1922,,,-5.9,,,-2.8,,,0,,,-1.1,,,
1923,,,0,,,1.7,,,2.3,,,-0.6,,,
1924,,,-2.8,,,-1.1,,,0,,,0,,,
1925,,,,,,3.5,,,,,,2.2,,,
1926,,,,,,-1.6,,,,,,-1.1,,,
1927,,,,,,1.7,,,,,,-5,,,
1928,,,,,,1.2,,,,,,-0.6,,,
1929,,,,,,-1.2,,,,,,0,,,
1930,,,,,,-3.5,,,,,,-4.2,,,
1931,,,,,,-6.3,,,,,,-5.4,,,
1932,,,,,,-4.3,,,,,,-6,,,
1933,,,,,,-0.8,,,,,,3.2,,,
1934,,,,,,1.6,,,,,,,,,
1936,3,,,-1.5,,,-0.7,,,,,,,,
1937,,,0.7,,,1.4,,,2.1,,,0,,,
1938,,,-3.5,,,-3.5,,,0,,,1.5,,,
1939,,,-1.4,,,-2.2,,,1.5,,,0.7,,,
1940,,,-0.7,,,-0.7,,,-0.7,,,2.2,,,
1941,,,1.5,,,2.9,,,7.2,,,7,,,
1942,,,6.1,,,4.6,,,2.5,,,3.1,,,
1943,,,5,,,4.9,,,1.2,,,-0.6,,,
1944,,,-0.6,,,1.2,,,2.9,,,2.3,,,
1945,,,1.1,,,1.1,,,2.3,,,1.1,,,
1946,,,0,,,1.7,,,11.6,,,16.3,,,
1947,,,9.9,,,2.3,,,,,,,,,
1948,,4.5,,,2.2,,,4.7,,,1.7,,,,
1949,,-3.3,,,-1.3,,,1.7,,,0.4,,,,
1950,,-2.5,,,-0.8,,,4.3,,,5.1,,,,
1951,,5.7,,,6.9,,,2.7,,,1.5,,,,
1952,,1.1,,,-0.7,,,1.9,,,2.2,,,,
1953,,,,,,0.4,,,0.7,,,0,,,
1954,,,-0.4,,,0.4,,,-0.7,,,-1.5,,,
1955,,,-0.7,,,0,,,1.5,,,1.1,,,
1956,,,-0.4,,,0.7,,,1.8,,,1.1,,,
1957,,,1.4,,,1.4,,,1.4,,,1.1,,,
1958,,,2.1,,,2.1,,,-0.3,,,-0.3,,,
1959,,,-0.3,,,0.7,,,1.4,,,0.7,,,
1960,,,0.7,,,0.7,,,1,,,0.3,,,
1961,,,-0.3,,,0,,,0.7,,,0.3,,,
1962,,,0,,,0.7,,,1,,,0.3,,,
1963,,,0,,,0.3,,,0.3,,,1,,,
1964,,,1.3,,,0.3,,,0.7,,,1.3,,,
1965,,,0.3,,,0.3,,,0.6,,,1.3,,,
1966,,,1.9,,,1.6,,,2.2,,,2.2,,,
1967,,,1.2,,,1.2,,,1.2,,,1.8,,,
1968,,,2.1,,,1.8,,,2.9,,,2.6,,,
1969,,,2.9,,,3.4,,,3.1,,,3,,,
1970,,,2.4,,,2.9,,,2.6,,,2.6,,,
1971,,,2.3,,,2.5,,,1.5,,,1,,,
1972,,,1.5,,,1,,,2.4,,,2.2,,,
1973,,,2.4,,,4,,,5.3,,,4.8,,,
1974,,,5.3,,,5.9,,,5.9,,,5.9,,,
1975,,,4,,,3.3,,,3.8,,,3.2,,,
1976,,,1.1,,,1.5,,,3.1,,,2,,,
1977,,,2.6,,,4.2,,,3.9,,,3,,,
1978,,,,,,3.9,,4.9,,5.4,,3.6,,,
1979,,3.4,,3.9,,7,,7.5,,6.9,,5,,,
1980,,6.3,,6.6,,8.5,,6.9,,6.4,,6.7,,,
1981,,6.7,,6.3,,4.2,,5,,5.8,,4.8,,,
1982,,1.3,,-0.4,,3.1,,5.6,,6.4,,1.8,,,
1983,,-0.1,,-0.1,,2,,3,,2.2,,1.7,,,
1984,,1.8,,2.3,,2.2,,2.1,,2.1,,1.3,,,1.9
1985,,2.1,,2.1,,3.1,,2.7,,2.6,,2.2,,2.3,2.6
1986,,1.6,,0.6,,0.9,,0.6,,1.4,,1.2,,1.2,1
1987,,,,,,,,,,,,,,2.5,1.7
1988,,,,,,,,,,,,,,1.4,2.2
1989,,,,,,,,,,,,,,2.6,1.9
1990,,,,,,,,,,,,,,2.7,1.4
1991,,,,,,,,,,,,,,2.2,0.5
1992,,,,,,,,,,,,,,1.8,-0.1
1993,,,,,,,,,,,,,,2.7,1.8
1994,,,,,,,,,,,,,,1.4,0
1995,,,,,,,,,,,,,,2.5,0.8
1996,,,,,,,,,,,,,,2.1,1.6
1997,,,,,,,,,,,,,,0.7,0.8
1998,,,,,,1.6,,1.5,,0.7,,-0.2,,0.6,0.9
1999,,0,,1.2,,2,,2.5,,1.5,,1.3,,0.9,1.8
2000,,1,,2.1,,2.6,,2.7,,1.1,,0.4,,1.7,1.6
2001,,1.9,,2.7,,3.4,,0.9,,0.1,,-1.7,,2.4,0.2
2002,,-0.5,,1.1,,2.5,,2,,0.4,,-1,,0.7,0.7
2003,,0.6,,1.5,,2.4,,0.6,,-1.1,,-1.4,,1.2,-0.3
2004,,-0.5,,1.2,,3.7,,1.8,,0.9,,-1.3,,1.1,0.8
