Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1964,,,,,0.3,,,0.3,,,0.3,,,,
1965,,0,,,0.3,,,1.7,,,1.7,,,,
1966,,1.7,,,2,,,2,,,1.6,,,,
1967,,1.6,,,1,,,1.6,,,1.6,,,,
1968,,1.2,,,3.1,,,3.1,,,2.4,,,,
1969,,2.7,,,3.5,,,3.8,,,3.7,,,,
1970,,3.6,,,2.7,,,2.2,,,1.1,,,,
1971,,1.1,,,1.3,,,2.4,,,1.6,,,,
1972,,0.8,,,1.8,,,1.5,,,1,,,,
1973,,1.8,,,3.7,,,4.7,,,3.8,,,,
1974,,4.5,,,5.6,,,5.6,,,5.7,,,,
1975,,4.5,,,3.1,,,4.3,,,4.2,,,,
1976,,2,,,2.3,,,3.3,,,3.2,,,,
1977,,3.7,,,4.6,,,3.9,,,2.4,,,,
1978,,2.4,,,,,,5.7,,5.6,,4.2,,,
1979,,4.3,,5.7,,7.8,,8.4,,8,,7.6,,,
1980,,8.3,,10.2,,9.5,,7,,5.4,,5.1,,,
1981,,6.2,,5.6,,6.2,,5,,4.6,,3.2,,,
1982,,1.8,,1.6,,3.3,,3.6,,3.3,,-0.5,,,
1983,,0.1,,0.6,,3.5,,3.7,,3.2,,1.1,,,
1984,,2.2,,1.8,,2.6,,2.1,,3,,1.5,,,2.3
1985,,1,,0.6,,2.8,,3.1,,2.4,,1.4,,1.3,2.4
1986,,1,,-0.7,,0.1,,-0.2,,1.4,,-0.5,,0.3,0.2
1987,,0.5,,1.7,,3.3,,2.3,,2.4,,0.9,,1.5,2.1
1988,,0.4,,0.4,,1.5,,2.8,,2.2,,1.4,,0.8,2.1
1989,,0.3,,0.7,,2.4,,2.1,,2.3,,0.4,,1,1.8
1990,,1.8,,1.2,,2.7,,3.1,,5.4,,3.7,,1.7,4
1991,,2.7,,0,,1.3,,1.3,,3.2,,1.5,,1.5,2
1992,,1,,-0.8,,1.7,,1.5,,2.7,,0.3,,0.5,1.7
1993,,0.7,,0.7,,1.2,,2,,1.9,,1.9,,0.8,1.8
1994,,0.8,,0.5,,1.9,,2.2,,1.8,,0.4,,1.1,1.6
1995,,0.8,,1.5,,1.8,,1.3,,1.2,,0.8,,1.2,1.2
1996,,0.8,,1.2,,2.7,,2.3,,1.5,,0.4,,1.4,1.6
1997,,0.8,,-0.1,,0.9,,0.3,,1.5,,0.7,,0.5,0.9
1998,,,,,,,1.4,,1,,0.7,,,0.5,0.9
1999,0.5,,1.2,,2.1,,2.1,,2.2,,1.8,,,1.4,2
2000,1.3,,2.1,,1.9,,3.6,,2.3,,2.2,,,1.9,2.5
2001,0.7,,1.2,,1.6,,2.5,,2.3,,1.2,,,1.3,1.7
2002,-0.5,,-0.4,,0.8,,1.3,,0.6,,0.4,,,0.2,0.7
2003,0.6,,2.1,,1.9,,1.4,,0.1,,-0.6,,,1.6,0.2
2004,-0.5,,0.4,,1.8,,1.9,,1.1,,0.4,,,0.8,1
2005,0.5,,0.9,,2,,2.4,,4.2,,2.3,,,1.3,3
2006,2.3,,-0.3,,1.8,,1.6,,1.9,,-1.5,,,1.2,0.4
2007,-1.5,,-1,,2.3,,2.9,,2.5,,1.9,,,0.3,2.3
2008,1.4,,1.9,,3,,4.7,,3.7,,-1.1,,,2.4,1.7
2009,-3.8,,-2.8,,-0.4,,1,,0.9,,1.3,,,-2,1.1
2010,0.7,,0.1,,0.1,,-0.9,,0,,-0.5,,,0.2,-0.3
2011,1.5,,2.5,,3.8,,2.7,,1.1,,0.2,,,2.7,1.1
2012,0.3,,1.6,,1.4,,1,,0.7,,0.3,,,1.2,0.7
2013,1.1,,1.1,,1.3,,1.5,,0.3,,-0.1,,,1.2,0.4
2014,-0.3,,0.8,,1.9,,1.5,,0.3,,-1.1,,,0.9,-0.1
2015,-2.1,,-0.9,,0.6,,1.8,,0,,-0.6,,,-0.4,0.1
2016,-0.7,,0.6,,1.7,,2,,1.4,,0.7,,,0.7,1.3
2017,0.7,,0.8,,1.4,,1.1,,2.4,,1.8,,,0.9,1.7
2018,1.6,,0.5,,2,,1.9,,1.9,,0.2,,,1.6,1.1
2019,0.1,,0.8,,1.3,,2.1,,1.4,,0.5,,,1,1.1
2020,0,,-0.4,,-1,,0.4,,0.8,,1.4,,,-0.5,1
2021,1.1,,2.6,,4.9,,4.5,,3.2,,2.5,,,3,3.4
2022,3.2,,5.6,,6.5,,5.9,,3.3,,1.8,,,5.4,3.2
2023,1.5,,2.4,,2.9,,2.5,,2.2,,2.2,,,2.4,2.2
2024,2.8,,2.7,,2.7,,1.2,,0,,-0.8,,,2.8,0
2025,1.5,,1.5,,1.4,,,,,,,,,,
