Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1964,,,,,,-0.3,,,-0.6,,,1.2,,,
1965,,,1.5,,,0.6,,,0.6,,,2,,,
1966,,,2,,,0.9,,,1.4,,,2,,,
1967,,,0.8,,,0.8,,,1.7,,,2.2,,,
1968,,,2.2,,,1.6,,,1.9,,,2.1,,,
1969,,,2.4,,,2.3,,,2.3,,,2.5,,,
1970,,,3.3,,,3.2,,,1.5,,,1,,,
1971,,,1.7,,,2.4,,,3.8,,,2.3,,,
1972,,,1.1,,,0.9,,,0.4,,,1.8,,,
1973,,,2.5,,,2.4,,,2.8,,,4.1,,,
1974,,,6.2,,,6.4,,,5.8,,,5.1,,,
1975,,,4.3,,,3.9,,,3.6,,,3.6,,,
1976,,,2.3,,,1.7,,,1.9,,,1.9,,,
1977,,,2.5,,,3,,,3.1,,,2.6,,,
1978,,,,,,5.2,,4.2,,4.1,,4,,,
1979,,5.8,,6.3,,6.8,,5.6,,4.9,,5.1,,,
1980,,6.5,,8,,5.9,,4.2,,3.1,,3.9,,,
1981,,5.7,,6.6,,7,,5.4,,3.7,,2.2,,,
1982,,2.1,,1.5,,4.2,,2.8,,4.6,,0.3,,,
1983,,0.3,,-0.9,,0.6,,1.1,,1.3,,2.5,,,
1984,,2.7,,2.5,,2.3,,1.9,,1.5,,1.8,,,1.9
1985,,2.3,,1.8,,1.2,,0.6,,1,,1.7,,1.8,1
1986,,2.3,,1.1,,0.3,,0.1,,1.1,,2,,1.4,0.9
1987,,,,,,,,,,,,,,3.1,2.8
1988,,,,,,,,,,,,,,3.1,2.7
1989,,,,,,,,,,,,,,2.4,3.7
1990,,,,,,,,,,,,,,3.4,3.9
1991,,,,,,,,,,,,,,4.3,1.6
1992,,,,,,,,,,,,,,3.2,1.6
1993,,,,,,,,,,,,,,1.4,1.9
1994,,,,,,,,,,,,,,1.1,1.4
1995,,,,,,,,,,,,,,0.7,1.5
1996,,,,,,,,,,,,,,0.6,0.3
1997,,,,,,,,,,,,,,0.6,-0.2
1998,,,,,,,,,,,,,,0.1,-0.6
1999,,,,,,,,,,,,,,1,0.6
2000,,,,,,,,,,,,,,1.2,0.5
2001,,,,,,,,,,,,,,0.8,0.3
2002,,,,,,,,,,,,,,0.8,0.2
2003,,,,,,,,,,,,,,1.6,1.4
2004,,,,,,,,,,,,,,1.9,1.4
2005,,,,,,,,,,,,,,1.6,2.9
2006,,,,,,,,,,,,,,2.9,2.9
2007,,,,,,,,,,,,,,2,2.7
2008,,,,,,,,,,,,,,2.2,1.3
2009,,,,,,,,,,,,,,-1,1.7
2010,,,,,,,,,,,,,,0.8,0.9
2011,,,,,,,,,,,,,,2.5,1.4
2012,,,,,,,,,,,,,,1.3,0.7
2013,,,,,,,,,,,,,,1.2,0.6
2014,,,,,,,,,,,,,,0.5,1.3
2015,,,,,,,,,,,,,,-0.5,1.8
2016,,,,,,,,,,,,,,0.6,0.9
2017,,,,,,,,,,,,,,1.6,0.9
2018,,,,,0.7,,1.3,,1.3,,1.2,,,0.7,1.4
2019,0.6,,0.4,,0.9,,1,,0.7,,0,,,0.6,0.7
2020,0.6,,1.1,,1.3,,0.7,,0.8,,0.4,,,0.9,0.6
2021,0.7,,1,,3.4,,3.9,,4,,1.9,,,1.9,3
2022,2.1,,3.4,,4.9,,4.7,,3.1,,0.9,,,3.6,2.5
2023,0.5,,0.3,,1.2,,1.6,,2,,2.4,,,0.8,2
2024,2.3,,2.8,,2.7,,2.2,,1.4,,0.8,,,2.7,1.3
2025,1.9,,1.2,,1.9,,,,,,,,,,
