Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1965,,,,,,,,-0.4,,,-0.4,,,,
1966,,1.8,,,1.4,,,0.7,,,1.7,,,,
1967,,1.7,,,0.7,,,2.1,,,2.4,,,,
1968,,1.7,,,2,,,2.3,,,2.3,,,,
1969,,2.3,,,2.9,,,3.2,,,2.2,,,,
1970,,2.1,,,3.3,,,2.7,,,2.4,,,,
1971,,2,,,1.4,,,1.7,,,1.1,,,,
1972,,1.4,,,2.5,,,2.5,,,2.5,,,,
1973,,2.4,,,3.2,,,4.7,,,4.4,,,,
1974,,4.5,,,6.2,,,6.7,,,5.8,,,,
1975,,5,,,3.5,,,3.4,,,3.8,,,,
1976,,2.9,,,2.7,,,2.8,,,2.6,,,,
1977,,2.6,,,3.9,,,4.2,,,3.4,,,,
1978,,,,,4.7,,6.8,,8,,7.3,,,,
1979,6.4,,7.2,,8.9,,9.9,,8.5,,8.6,,,,
1980,7.6,,7.5,,8.9,,6.3,,5.2,,3.4,,,,
1981,6.6,,7.8,,6.7,,6.1,,7,,8,,,,
1982,5.9,,1.6,,2.5,,3.6,,2.1,,-2.4,,,,
1983,-2.9,,0.6,,3.3,,3.1,,3.9,,3.1,,,,
1984,3.3,,2.6,,3.2,,1.5,,2.2,,3.1,,,,2.4
1985,3.7,,3.4,,2.2,,2.4,,2.2,,1.9,,,3,2.1
1986,2.4,,0.4,,1,,0.4,,1.8,,1.2,,,1.2,1.2
1987,,,,,,,,,,,,,,2.1,1.5
1988,,,,,,,,,,,,,,3,2.5
1989,,,,,,,,,,,,,,3.1,2.6
1990,,,,,,,,,,,,,,3.2,2.8
1991,,,,,,,,,,,,,,1.4,1.8
1992,,,,,,,,,,,,,,1.6,0.5
1993,,,,,,,,,,,,,,1.8,0.3
1994,,,,,,,,,,,,,,2.3,0.2
1995,,,,,,,,,,,,,,1.1,0.6
1996,,,,,,,,,,,,,,1.6,1.3
1997,,,,,,,,,,,,,,1.1,0
1998,,,,,,,,,,,,,,1.4,1.1
1999,,,,,,,,,,,,,,2.3,1.3
2000,,,,,,,,,,,,,,3.4,3.3
2001,,,,,,,,,,,,,,2.3,1.2
2002,,,,,,,,,,,,,,1.7,2.2
2003,,,,,,,,,,,,,,1.9,1.4
2004,,,,,,,,,,,,,,2.3,1.4
2005,,,,,,,,,,,,,,1.9,2.1
2006,,,,,,,,,,,,,,1.7,1.3
2007,,,,,,,,,,,,,,1,1.3
2008,,,,,,,,,,,,,,3.3,-0.1
2009,,,,,,,,,,,,,,-0.5,1.1
2010,,,,,,,,,,,,,,0.2,1
2011,,,,,,,,,,,,,,2.3,0.4
2012,,,,,,,,,,,,,,1.3,0.3
2013,,,,,,,,,,,,,,0.6,1.1
2014,,,,,,,,,,,,,,1.4,-0.1
2015,,,,,,,,,,,,,,0.9,1.6
2016,,,,,,,,,,,,,,0.4,1.5
2017,,,,,,,,,,,,,,1.7,1
2018,,,,,1.1,,2.4,,1.7,,1.6,,,2,1.7
2019,0.2,,0.5,,2.2,,1.2,,1.3,,0.4,,,1.1,0.9
2020,1.1,,0.5,,-0.1,,1,,0.6,,1.7,,,0.4,1.3
2021,0.7,,3.5,,3.5,,5.3,,2.9,,2.9,,,2.8,3.5
2022,2.8,,4.8,,5.2,,4.3,,3.2,,1.4,,,4.5,2.7
2023,2,,2.1,,3.8,,2.2,,2.6,,1.4,,,2.7,2
2024,1.5,,1,,1.8,,1.9,,1.4,,0.8,,,1.5,1.3
2025,1.8,,2.3,,3,,,,,,,,,,
