Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,-1.7,,,,,,8.7,,,
1920,,,,,,11.2,,,,,,-8.6,,,
1922,,,-5.1,,,-2.3,,,-0.6,,,0,,,
1923,,,0.6,,,1.8,,,3.6,,,0,,,
1924,,,-2.3,,,-1.2,,,0,,,1.2,,,
1925,,,,,,1.8,,,,,,1.7,,,
1926,,,,,,-0.6,,,,,,-0.6,,,
1927,,,,,,-1.7,,,,,,-1.2,,,
1928,,,,,,0,,,,,,-0.6,,,
1929,,,,,,0.6,,,,,,-0.6,,,
1930,,,,,,-1.2,,,,,,-2.4,,,
1931,,,,,,-4.9,,,,,,-1.9,,,
1932,,,,,,-5.3,,,,,,-2.8,,,
1933,,,,,,-1.4,,,,,,3.6,,,
1934,,,,,,0.7,,,,,,,,,
1936,1.4,,,-0.7,,,0,,,,,,,,
1937,,,1.4,,,2.7,,,1.3,,,-0.7,,,
1938,,,-3.3,,,-2,,,0,,,0,,,
1939,,,-1.4,,,-1.4,,,1.4,,,0,,,
1940,,,0,,,1.4,,,0,,,0,,,
1941,,,0.7,,,3.4,,,6.1,,,6.6,,,
1942,,,6.4,4.4,5.6,4.9,4.9,4.2,3.6,3.6,3,2.9,,,
1943,2.9,2.3,3.5,4.6,5.2,4.6,3.4,3.4,1.7,1.1,-0.5,-0.5,,,
1944,0.5,0,-0.5,-0.5,0.5,1.1,0.5,1.6,2.2,1.6,1.6,1.1,,,
1945,1.1,0.5,0.5,1.1,1.6,2.2,2.2,2.2,2.7,1.6,1.1,1.1,,,
1946,1.6,1.1,1.6,2.1,1.6,3.1,7.8,9.9,10.3,12.4,14.4,13.6,,,
1947,8.2,6.2,7,5,3.2,2.7,,4.9,,,4.4,,,,
1948,,2.6,,,3.3,,,3.7,,,0,,,,
1949,,-2.4,,,-0.4,,,1.2,,,0.8,,,,
1950,,-1.2,,,-1.2,,,2.9,,,4.1,,,,
1951,,5.2,,,3.9,,,0.8,,,2.6,,,,
1952,,1.5,,,0,,,2.2,,,1.1,,,,
1953,,-1.1,,,-0.4,,,1.1,,,0.7,,,,
1954,,0,,,-0.7,,,0,,,0,,,,
1955,,-1.1,,,0,,,0.7,,,0,,,,
1956,,-0.4,,,0.7,,,1.8,,,1.4,,,,
1957,,1.8,,,1.1,,,1.4,,,2.1,,,,
1958,,1,,,1.4,,,0.7,,,0,,,,
1959,,0,,,0.3,,,0.7,,,0,,,,
1960,,-0.3,,,1,,,1,,,0.7,,,,
1961,,1.3,,,0.3,,,0.3,,,1,,,,
1962,,0,,,0,,,1,,,1,,,,
1963,,0.7,,,1,,,1.3,,,0.6,,,,
1964,,0.3,,,0.6,,,1.3,,,1.3,,,,
1965,,0,,,0.3,,,0.9,,,0.9,,,,
1966,,2.2,,,2.2,,,1.8,,,1.5,,,,
1967,,0.9,,,0.9,,,1.8,,,1.8,,,,
1968,,1.5,,,2.9,,,3.5,,,3.1,,,,
1969,,2.5,,,3.3,,,3.5,,,2.4,,,,
1970,,2.9,,,3.4,,,2.6,,,1.8,,,,
1971,,2.2,,,2.5,,,2,,,1.7,,,,
1972,,1,,,1,,,2.6,,,3.3,,,,
1973,,2.3,,,3,,,4.3,,,4.4,,,,
1974,,5.6,,,5.9,,,5.9,,,5.8,,,,
1975,,3.5,,,2.5,,,3.4,,,3.3,,,,
1976,,2.4,,,2.9,,,3.5,,,2.4,,,,
1977,,2.9,,,4.2,,,3.8,,,3.3,,,,
1978,,,,,3.6,,4.2,,5.1,,5,,,,
1979,5.5,,5.9,,5.9,,5.7,,4.9,,4.2,,,,
1980,5.1,,7.2,,7.1,,6.6,,4.3,,5.1,,,,
1981,4.1,,5.2,,4.4,,3.9,,3.7,,4,,,,
1982,4.1,,2.5,,1.1,,1.2,,2.8,,2.9,,,,
1983,2.8,,1,,2.3,,2.7,,2.8,,2,,,,
1984,2.3,,2.6,,2.3,,1.5,,2.6,,3.1,,,,2.4
1985,2.1,,2,,1.5,,2.7,,1.4,,2.2,,,1.9,2.1
1986,2.5,,1.7,,0.8,,-0.6,,1,,1.3,,,1.4,0.8
1987,2,,1.7,,1.9,,2.2,,2.9,,2.8,,,1.9,2.6
1988,1.8,,1.2,,1.4,,2,,3,,2.6,,,1.4,2.6
1989,3,,2.7,,3.2,,2.8,,3.2,,2.7,,,2.9,2.9
1990,3.3,,2.8,,2.7,,2.8,,3.1,,3.3,,,2.9,3
1991,2.5,,0.9,,1.8,,1.3,,2.9,,1.2,,,1.7,1.8
1992,1.4,,-0.2,,0.4,,1.3,,2.1,,2.6,,,0.6,2
1993,2.1,,1.7,,1.6,,0.9,,0.8,,1.1,,,1.7,1
1994,1.1,,1.2,,0.3,,0.6,,1.5,,1.1,,,0.8,1.1
1995,1.3,,0.9,,1.1,,1.5,,0.7,,0.3,,,1.1,0.8
1996,0.4,,1.4,,2.4,,2.1,,1.5,,1.4,,,1.5,1.6
1997,0.9,,0.7,,0.6,,0.8,,1.1,,-0.2,,,0.7,0.5
1998,-0.2,,-0.1,,1.1,,1.5,,1,,0.6,,,,
1999,0.3,,0.4,,1.5,,1.8,,2.4,,1.3,,,,
2000,0.9,,2,,2,,2.9,,1,,1.6,,,,
2001,0.6,,1.3,,1.5,,1.9,,2.1,,0.8,,,,
2002,0.4,,0.6,,2.3,,2.3,,2.1,,1,,,,
2003,1.1,,1.6,,1.8,,2.1,,1.1,,0.9,,,,
2004,0.3,,1,,1.9,,2.5,,1.9,,1.6,,,,
2005,1.4,,2,,2.3,,2.3,,2.6,,1.2,,,,
2006,1.4,,0.4,,2.3,,2.8,,2.3,,0.5,,,,
2007,-0.1,,1.5,,2.9,,2.9,,1.9,,1,,,,
2008,1.6,,1.9,,2.8,,3.8,,2.8,,-0.4,,,,
2009,-3.1,,-2.7,,0,,1.9,,2,,1.3,,,,
2010,0.6,,0.6,,0.9,,0.4,,0.9,,0.8,,,,
2011,1.9,,2,,3,,2.3,,1.5,,0.3,,,,
2012,0.3,,1.5,,1.8,,1.2,,1,,0.3,,,,
2013,0.7,,0.3,,0.9,,1.1,,1,,0.7,,,,
2014,0.6,,0.7,,1.3,,1.1,,0.4,,-0.2,,,,
2015,-1.3,,-0.3,,0.7,,1.6,,1,,-0.2,,,,0.7
2016,-0.1,,0.1,,1.4,,1.4,,0.3,,-0.3,,,0.6,0.3
2017,0.1,,0.8,,0.6,,0.4,,0.9,,0.9,,,0.6,0.7
2018,1.8,,0.9,,1.5,,0.7,,1.2,,-0.2,,,1.5,0.4
2019,0.1,,0.5,,1.9,,1.1,,0.5,,-0.4,,,0.9,0.4
2020,0.5,,0,,0.3,,0.3,,1.3,,1.1,,,0.2,0.9
2021,1.2,,1.3,,2.7,,3.2,,3.2,,3.1,,,2,3
2022,2.7,,4,,4.3,,4.6,,2.4,,1.2,,,3.8,2.4
2023,-0.3,,1.2,,1.8,,2,,2.1,,0.9,,,1.1,1.6
2024,1.5,,1.2,,2.4,,2.1,,1.4,,0.3,,,1.8,1.2
2025,0.5,,1,,1.5,,,,,,,,,,
