Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1922,,,,,,0.6,,,,,,,,,
1940,,,,,,,,,,0,0,0.7,,,
1941,0,0,0,1.4,0.7,1.4,1.4,0.7,2,0.7,0.7,0,,,
1942,1.3,0,1.3,1.3,1.3,0,0,0.6,0,1.2,0.6,0,,,
1943,0,0.6,1.8,0.6,1.2,-0.6,-1.2,0.6,0.6,0,-0.6,0,,,
1944,-0.6,0,0,1.2,0,0.6,1.2,0,0,0,0,0,,,
1945,0,0,0,0,1.7,0,0,0,-0.6,0,0,0.6,,,
1946,0,0,0,1.1,0.6,0.6,7.8,2.1,1,3,1.9,0.5,,,
1947,0,-0.5,2.4,-0.5,0.5,1.4,0.9,1.8,3.1,-0.4,0.4,1.3,,,
1948,0.4,-1.3,0,2.2,1.3,0.8,1.2,0.4,0.4,-0.8,-1.2,-0.4,,,
1949,-0.4,-0.8,0.8,0.4,-0.4,0.8,-1.2,0.4,0.8,-0.8,0.4,-1.2,,,
1950,-0.4,0,0.4,-0.4,1.3,0,1.3,0.8,0.4,0.4,0.4,1.6,,,
1951,1.2,1.6,0,0.4,0,0.4,0.4,0,0.4,0.8,0.8,-0.4,,,
1952,0,-1.1,0.4,0.4,0.8,0.4,0.4,0.4,-0.4,0,0,-0.4,,,
1953,-0.4,-0.4,0,0.4,0.4,0.4,0.4,0.7,0,0.7,-0.7,0,,,
1954,0,0,0,0,0.7,0,0.7,-0.4,-0.4,0,0.4,-0.7,,,
1955,0,0.4,-0.4,0,0.4,0,0.7,0.4,0.4,0,0,-0.4,,,
1956,-0.4,0,-0.4,0.4,0.4,0.7,1.1,-0.7,0.4,0.7,0,0,,,
1957,0,0.4,0,0.4,0.4,0.3,1,0,0.3,0.3,0.7,0,,,
1958,0.3,0,0.7,0,0,0.3,0,-0.3,0.3,0,0,-0.3,,,
1959,0,0,0,0.3,0,0.3,0.3,0,0.7,0,0,0,,,
1960,-0.3,0.3,0,0.3,0,0.3,0.3,-0.3,0.3,0,0,0,,,
1961,0,0,-0.3,0,0,-0.3,1,0,0,0.3,-0.3,0,,,
1962,0,0.7,0,0.3,-0.3,0,0,0,0.6,-0.3,0,0,,,
1963,0.3,0,0.3,0,-0.3,0.3,0.6,-0.3,0,0,0,0.3,,,
1964,-0.3,-0.3,0,0,0.3,0.3,0.3,-0.3,0,0.3,0,0,,,
1965,0,0,0,0.3,0.3,0.6,-0.3,0,0.3,0.3,0,0.6,,,
1966,-0.3,0.6,0.6,0,0.3,0.3,0,0.6,0.6,0,0,0.3,,,
1967,-0.6,0.6,0,0,0.3,0.3,0.6,0.6,0.6,0,0.3,0.3,,,
1968,0,0.6,0.6,0.3,0.3,0.3,0.6,0.3,0.6,0.3,0,0.6,,,
1969,0.6,0.3,0.8,0.3,0.3,0.8,0.5,0.8,0.8,-0.3,0.5,0.5,,,
1970,0.5,0.3,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,,,
1971,0,0.3,0.3,0.2,0.5,0.2,0,0.5,0,0,0.2,0.2,,,
1972,0,0.7,0,0.2,0.2,0.5,0,0.5,0.2,0.2,0.2,0.2,,,
1973,0.2,0.9,1.2,0.7,0.7,0.7,-0.2,2.3,0.2,0.7,0.4,0.4,,,
1974,1.3,1.5,1.1,0.4,0.8,1,0.4,1.2,0.8,1,0.8,1,,,
1975,0,0.8,0.8,0.2,-0.4,0.8,1.1,0.6,0.2,0.6,0.2,0.4,,,
1976,-0.6,0.7,0.2,0.6,0.6,0.7,0.5,0.5,0.5,0.4,0.2,0.4,,,
1977,0.2,1.1,0.7,0.9,0.3,0.3,0.7,0.5,0.7,0.2,0.3,0.3,,,
1978,1.5,1,1.1,0.5,1,0.6,0.6,0,1.2,0.8,1.4,0.3,,,
1979,0.5,1.5,2.1,1,0.6,1.7,1.8,0.5,1.2,0.1,1.9,1.1,,,
1980,0.9,1,1.2,2,1.2,2.1,-0.6,-0.6,1.9,1.4,2.5,0.1,,,
1981,-0.5,0.2,0,1.6,0.2,1.8,1.3,1.1,0.4,-0.3,0.3,-1.1,,,
1982,0.5,-0.2,0.5,1.4,2.7,1.5,0.4,0,0.3,0.1,0,-0.4,,,
1983,0.3,-0.1,0,0.5,0.4,0.7,0.4,0.7,0.4,-0.2,0.5,0,,,
1984,0.5,-0.1,0.2,0.4,0.1,0.9,0.3,0.9,0.6,-0.4,0,0,,,
1985,0.4,0.5,0.2,0.6,0.2,1.4,0.1,0.5,0.1,-1.1,0.5,0.6,,,
1986,0.1,0.1,-0.8,-0.1,0.2,1.9,0.2,0.1,0.8,-1.6,0.8,-0.1,,,
1987,1,0,0.4,0.4,0.4,1.9,0.3,0.7,0.3,-1.7,0.5,0,,,
1988,-0.3,1.1,0.3,0.2,-0.1,1.6,0.8,0.3,1.6,-0.3,-0.5,0.2,,,
1989,0.2,0.6,0.7,0.5,0.2,1.5,0.6,0,0.6,-0.2,-0.1,-0.2,,,
1990,1.3,0.9,0.2,0.7,0,1,0.2,0.9,0.5,-0.4,0.7,0.3,,,
1991,0.4,0.3,0.5,-0.1,0.5,0.4,0,0.2,0.5,-0.2,0,0.2,,,
1992,0.4,0.2,0.4,0.1,0.5,0.5,0.1,0.4,0.6,-0.4,0.2,0.4,,,
1993,0.2,0.3,0.3,0.4,0.7,-0.1,-0.1,0.4,0.4,0.3,-0.5,-0.2,,,
1994,0.3,0.2,0.5,0.2,-0.2,0.3,0.1,1,0.3,-0.5,0.7,0.1,,,
1995,0.9,0.3,0.2,0.3,-0.1,0.3,0.1,0.1,0.1,0.2,-0.2,-0.1,,,
1996,0.5,0.4,0.7,0.1,0.3,0.4,0.1,0.3,0.1,0.3,0.4,0.2,,,
1997,0.4,0.4,-0.1,-0.1,0.1,0.4,0,0.5,-0.2,0.2,0.2,-0.1,,,
1998,0,0.2,0.6,0.4,0.5,0.2,0.3,-0.7,-0.1,0.2,-0.2,-0.2,,,
1999,0.6,0.2,0.4,0.4,0.4,0.4,0.3,-0.1,0.2,0,-0.2,-0.1,,,
2000,0.6,0.7,0.5,-0.2,1,1.3,-0.8,-0.5,0.6,0.3,0.3,-0.1,,,
2001,1.3,0.2,-0.8,0.7,0.8,-0.3,-0.8,0.2,0.9,-0.9,-0.4,0.3,,,
2002,0,0.4,0.6,0.6,0.3,0.4,-0.5,0.2,0.3,0.4,0.2,-0.4,,,
2003,0.2,0.8,0.4,-0.8,0,0.4,0,0.2,0.9,-0.2,-0.1,-0.1,,,
2004,-0.1,0.5,-0.1,0.5,0.8,0.2,0.1,0.5,-0.1,0.4,-0.1,-0.6,,,
2005,0.2,0.3,0.4,1,0.1,0.4,0.1,0.8,1.3,-0.2,-0.3,-0.5,,,
2006,0.6,-0.2,0.2,0.1,0.4,0.3,0.2,0.6,-0.4,-1.1,0.2,-0.1,,,
2007,0.8,0.6,0.9,0.8,0.8,0.2,-0.3,0.1,0.3,0.1,0.5,-0.3,,,
2008,0.8,0.4,1,0.5,1.1,0.4,0.8,-0.7,-0.2,-1,-2,-1.5,,,
2009,0.8,-0.1,0,0.2,0.9,0.6,0,0.3,0,0.2,0.2,-0.5,,,
2010,0.4,0.2,0.2,0,0,-0.4,0.2,0.1,0.3,0,-0.1,0.3,,,
2011,0.6,0.5,0.8,0.4,0.6,0,-0.4,0.2,0.2,-0.2,-0.2,-0.5,,,
2012,0.6,0,1.2,0,-0.1,-0.1,-0.2,0.6,0.3,-0.2,-0.4,-0.3,,,
2013,0.2,1.1,-0.1,0,0.5,0.1,-0.2,0.1,-0.2,-0.3,-0.3,-0.3,,,
2014,0.9,0.5,1.1,0.5,-0.1,0.4,-0.4,0.1,0,-0.4,-0.8,-0.4,,,
2015,-0.2,0,0.7,0.1,0.3,0.2,-0.1,0.4,-0.3,-0.1,-0.4,-0.6,,,
2016,0.8,-0.2,0.1,0.6,0,0.5,-0.8,0.2,0.6,0.1,0.2,-0.2,,,
2017,0.7,0.1,-0.1,0.4,0.2,0,0,0.3,0.4,-0.4,0.4,-0.4,,,
2018,0.8,0,0,0.7,0.4,-0.2,-0.3,0.1,0.4,0,-0.6,-0.3,,,
2019,0.6,0.6,0.1,-0.1,0.8,-0.4,0.3,0.2,0.2,0.3,-0.2,-0.2,,,
2020,0.9,0,-0.7,-0.9,1,0.3,0.2,0.1,0.6,-0.1,-0.4,-0.2,,,
2021,0.7,0.6,0.6,1,1,0.4,0.4,0.1,0.3,0.7,0.2,0.4,,,
2022,0.9,0.8,1.4,0.4,1.8,1.3,-0.2,0.1,0.2,0.1,-0.6,-0.8,,,
2023,0.9,0.4,0.8,0.8,0.4,0.1,0,0.2,0.1,0.3,-0.5,0,,,
2024,0.8,0.5,0.6,0.6,0.4,0,0.6,0.2,0.5,-0.3,-0.2,0.1,,,
2025,1.2,0.1,0.5,0.1,0.6,,,,,,,,,,
