Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1918,,,,,,,,,,,,19.7,,,
1919,,,,,,,,,,,,14.3,16.3,,
1920,,,,,,21.7,,,,,,0,13.5,,
1921,,,,,,,,,,,,-13.5,-13.2,,
1922,,,,,,,,,-5.9,,,-3.9,-7.9,,
1923,,,0,,,0.6,,,2.3,,,1.2,0.6,,
1924,,,-0.6,,,-1.7,,,-2.8,,,-1.1,-1.7,,
1925,,,,,,3.5,,,,,,5.8,3.5,,
1926,,,,,,0.6,,,,,,-2.7,1.1,,
1927,,,,,,0.6,,,,,,-3.4,-3.3,,
1928,,,,,,-3.9,,,,,,0.6,-1.1,,
1929,,,,,,-1.7,,,,,,-1.2,-0.6,,
1930,,,,,,-3.5,,,,,,-7.6,-4.1,,
1931,,,,,,-10.3,,,,,,-11.4,-9.7,,
1932,,,,,,-9.5,,,,,,-10,-10.7,,
1933,,,,,,-6.7,,,,,,2.4,-5.3,,
1934,,,,,,4.8,,,,,,,4.8,,
1935,,,,,,,,,,,,,2.3,,
1936,,,,,,,2.2,,,,,,1.5,,
1937,,,,,,,,,2.9,,,1.4,2.9,,
1938,,,-1.4,,,-3.5,,,-3.5,,,-2.1,-2.8,,
1939,,,-1.4,,,-0.7,,,0,,,-1.4,-0.7,,
1940,,,0.7,,,0,,,-1.4,,,1.5,0,,
1941,,,0.7,,,5.2,,,8.8,,,10.1,5.9,,
1942,,,13.8,,,12,,,8.8,,,7.9,10.4,,
1943,,,7.6,,,8.2,,,6.2,,,4.3,6.9,,
1944,,,0.6,,,0.6,,,2.3,,,3.5,1.8,,
1945,,,4.1,,,3.5,,,3.4,,,2.3,3.5,,
1946,,,2.3,,,2.8,,,11.6,,,18.2,7.8,,
1947,,,22.7,,,19,,,,,,,15.5,,
1948,,,,,,,,9.4,,,3.9,,6.7,,
1949,,1.3,,,0.4,,,-1.6,,,-0.8,,0,,
1950,,-0.8,,,-0.4,,,1.7,,,4.2,,1.3,,
1951,,10.3,,,12.3,,,8.6,,,8.5,,9.5,,
1952,,3.9,,,0.8,,,3,,,1.5,,2.3,,
1953,,,,,,,,,,,,0.4,1.1,,
1954,,,0.4,,,0.4,,,-1.1,,,-1.1,-0.4,,
1955,,,-1.5,,,-1.5,,,0.7,,,1.1,-0.4,,
1956,,,1.1,,,1.9,,,1.5,,,1.8,1.5,,
1957,,,3.3,,,2.5,,,2.9,,,2.5,2.9,,
1958,,,3.6,,,3.2,,,1.8,,,1.8,2.5,,
1959,,,-0.7,,,0.3,,,1,,,1.4,0.7,,
1960,,,2.1,,,1.4,,,1.7,,,1,1.4,,
1961,,,0.7,,,0.3,,,0.3,,,0.3,0.3,,
1962,,,0.7,,,1,,,1,,,1,1,,
1963,,,1,,,0.7,,,0.3,,,1.3,1,,
1964,,,1.7,,,1.3,,,2,,,1.6,1.7,,
1965,,,1,,,1.6,,,1,,,1.6,1.3,,
1966,,,2.6,,,2.9,,,4.2,,,3.8,3.2,,
1967,,,3.5,,,3.4,,,2.5,,,3.1,3.1,,
1968,,,3.3,,,3.6,,,5.1,,,4.5,3.9,,
1969,,,5.9,,,6.1,,,6,,,6.5,5.8,,
1970,,,5.6,,,6,,,5.1,,,5.6,5.8,,
1971,,,5,,,5.2,,,3.8,,,3.5,4.7,,
1972,,,3,,,2,,,4,,,3.2,3,,
1973,,,4.9,,,6.3,,,7.8,,,9,6.5,,
1974,,,10.9,,,10.9,,,11.5,,,12.1,11.1,,
1975,,,10,,,9.4,,,7.9,,,6.6,8.9,,
1976,,,4.9,,,4.7,,,4.2,,,3.4,4.7,,
1977,,,5.8,,,6.3,,,6.7,,,7.4,6.2,,
1978,,,,,,7.1,,,,,,7.7,7.2,,
1979,,8.4,,9.6,,10.8,,11.1,,11.1,,12.3,10.3,,
1980,,14.2,,13.9,,13.9,,13.6,,13.4,,15.8,13.9,,
1981,,14.1,,13.1,,11.2,,12.1,,12.4,,9.2,12.3,,
1982,,6.4,,5.3,,8.1,,7,,5.9,,4.9,6.4,,
1983,,5.5,,6.2,,3.8,,2.9,,2.1,,3.8,4.1,,
1984,,4.8,,4.6,,3.9,,4,,4.5,,3.5,4.2,,
1985,,4.3,,4.3,,4.5,,4.9,,4.7,,5.4,4.6,4.3,4.9
1986,,4.4,,3.3,,3.1,,2.3,,2.1,,2.1,3,3.8,2.2
1987,,,,,,,,,,,,,3.8,3.5,4.3
1988,,,,,,,,,,,,,3.3,3.1,3.6
1989,,,,,,,,,,,,,4.7,4.9,4.6
1990,,,,,,,,,,,,,4.4,4.7,4.2
1991,,,,,,,,,,,,,3.2,3.6,2.7
1992,,,,,,,,,,,,,1.9,2.3,1.7
1993,,,,,,,,,,,,,3.5,2.6,4.5
1994,,,,,,,,,,,,,2.3,3.2,1.4
1995,,,,,,,,,,,,,2.9,2.5,3.3
1996,,,,,,,,,,,,,3.4,2.9,3.8
1997,,,,,,,,,,,,,1.9,2.3,1.5
1998,,,,,,,,,,,,1.4,1.4,1.4,1.5
1999,,1.5,,2,,1.7,,2.5,,2.8,,3.3,2.2,1.7,2.7
2000,,3.5,,3.7,,3.9,,3.7,,3.2,,2.9,3.5,3.6,3.4
2001,,4.7,,3.9,,3.8,,2.8,,2.8,,1.7,3.3,4.1,2.6
2002,,0.5,,1.1,,0.7,,1.6,,1.5,,1.4,1.1,0.9,1.4
2003,,2.6,,2,,1.3,,1.1,,0.4,,1,1.5,2,0.9
2004,,0.1,,0.1,,2.3,,1.3,,2.1,,2.3,1.3,0.7,1.9
2005,,2.5,,3.1,,2.1,,2.9,,5.4,,3,3.1,2.6,3.8
2006,,2.4,,3.1,,3.4,,4.1,,-0.6,,3.2,2.6,2.9,2.2
2007,,2.7,,2.7,,3.2,,2,,4.8,,4.1,3.2,2.8,3.6
2008,,4.8,,3.7,,4.9,,5,,2.2,,-2.9,3.2,4.4,2.1
2009,,-2.4,,-3.5,,-4,,-3.8,,-2.6,,1.8,-2.6,-3.2,-2.1
2010,,1.7,,2.4,,0.6,,0.6,,0.9,,1,1.2,1.7,0.8
2011,,1.5,,2.5,,3.1,,3.8,,3.1,,3,2.8,2.2,3.3
2012,,2.4,,1.8,,1.5,,1.5,,1.8,,1.2,1.8,2,1.5
2013,,2.1,,1.1,,1.4,,1.5,,1.6,,2.4,1.6,1.5,1.8
2014,,1.8,,2.5,,3,,2.2,,2.2,,0.9,2.2,2.4,2
2015,,-0.3,,-0.5,,0.6,,0.6,,0.5,,1.4,0.3,-0.2,0.8
2016,,1.6,,1.9,,0.7,,1.2,,2.4,,2.6,1.7,1.6,1.9
2017,,3.5,,3.2,,3.2,,3.5,,3.2,,3.2,3.3,3.1,3.4
2018,,3.3,,2.8,,2.8,,2.2,,1.6,,1.4,2.4,3.1,1.8
2019,,1.3,,2.5,,1.1,,2.2,,3,,3.3,2.2,1.6,2.7
2020,,2.9,,-0.3,,0.9,,0.7,,1.2,,1.6,1.2,1.4,1
2021,,2.4,,6,,6.7,,6.6,,7.9,,9.8,6.1,4.5,7.6
2022,,10.6,,10.8,,11.5,,11.7,,10.7,,8.1,10.7,10.9,10.6
2023,,7.2,,5.8,,4.6,,4.4,,3.2,,3.6,4.9,6.1,3.8
2024,,3.3,,3.1,,2.6,,1.7,,1.9,,2.6,2.6,3.1,2.1
2025,,2.1,,1.9,,,,,,,,,,,
