Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1965,1.1,,,2.1,,,1.4,,,1.4,,,1.8,,
1966,2.5,,,3.5,,,2.8,,,3.5,,,3.1,,
1967,1.7,,,0.3,,,1.3,,,1,,,1,,
1968,2.4,,,3.4,,,2,,,2.3,,,2.3,,
1969,2.3,,,2.9,,,4.2,,,5.8,,,4.2,,
1970,6.1,,,7.3,,,9.1,,,7.6,,,7.8,,
1971,7,,,4.7,,,3.2,,,3.1,,,4.1,,
1972,2.8,,,3.9,,,2.8,,,3,,,3.1,,
1973,4.1,,,5.7,,,7,,,8.6,,,7,,
1974,9.8,,,9.5,,,11.4,,,12.3,,,10.9,,
1975,13,,,11.5,,,10.4,,,8.1,,,10.3,,
1976,6,,,5.9,,,5.5,,,5.3,,,5.6,,
1977,6,,,8.7,,,8.6,,,9.1,,,8.4,,
1978,9.5,,,,,,8.8,,,,,,9.4,,
1979,12.3,,14.4,,16.5,,16.8,,16.3,,16.2,,15.5,,
1980,14.5,,14.3,,11.7,,10.7,,11.1,,10.6,,12,,
1981,12.1,,10.3,,11.6,,12.4,,11.7,,9.6,,11.2,,
1982,10.1,,9.8,,8.8,,8.7,,8.6,,9.5,,9.1,,
1983,7.2,,6.6,,6.8,,5,,4.6,,4.2,,5.7,,
1984,4.9,,4.8,,3.5,,4.2,,3.5,,2.8,,3.8,,
1985,2,,2.9,,2.8,,3,,1.9,,2.9,,2.7,2.7,2.6
1986,4,,0.2,,0,,-0.5,,1.3,,0.5,,0.7,0.9,0.5
1987,,,,,,,,,,,,,2.7,2.3,3
1988,,,,,,,,,,,,,2.6,2.6,2.8
1989,,,,,,,,,,,,,1.8,2,1.7
1990,,,,,,,,,,,,,4.4,3.8,5.1
1991,,,,,,,,,,,,,3.9,4.5,3.2
1992,,,,,,,,,,,,,3.7,3.4,4.1
1993,,,,,,,,,,,,,4.2,4.3,4.1
1994,,,,,,,,,,,,,4.4,4,4.8
1995,,,,,,,,,,,,,4.3,4.9,3.8
1996,,,,,,,,,,,,,3.5,3.5,3.5
1997,,,,,,,,,,,,,3.3,3.4,3.2
1998,,,,,,,,,,,,,2.4,2.2,2.6
1999,,,,,,,,,,,,,2.9,2.9,3
2000,,,,,,,,,,,,,4,3.8,4.1
2001,,,,,,,,,,,,,4.7,5.4,3.8
2002,,,,,,,,,,,,,1.9,2.2,1.8
2003,,,,,,,,,,,,,1.1,1.7,0.3
2004,,,,,,,,,,,,,0.1,-0.7,0.9
2005,,,,,,,,,,,,,2.1,1.4,2.8
2006,,,,,,,,,,,,,3.6,3.8,3.4
2007,,,,,,,,,,,,,2.2,2.5,1.9
2008,,,,,,,,,,,,,3.9,3.7,4.1
2009,,,,,,,,,,,,,-0.6,-0.6,-0.7
2010,,,,,,,,,,,,,1.9,1.7,2
2011,,,,,,,,,,,,,3.7,3.8,3.6
2012,,,,,,,,,,,,,1.9,1.8,2.1
2013,,,,,,,,,,,,,2.8,2.8,2.8
2014,,,,,,,,,,,,,2.8,2.9,2.7
2015,,,,,,,,,,,,,1.2,1,1.4
2016,,,,,,,,,,,,,2.8,3,2.6
2017,,,,,,,,,,,,,3.4,3.1,3.7
2018,,,,,,,,,,,2,,2.7,3.2,2.3
2019,0.4,,1.4,,1.6,,2.1,,2.7,,2.8,,1.9,1.3,2.6
2020,3.8,,2.2,,1.9,,3.1,,1.1,,0.3,,2,2.7,1.2
2021,0.4,,1.6,,3.2,,3.5,,4.5,,6.5,,3.5,1.9,5.2
2022,7.9,,9.1,,8.3,,8.2,,7.7,,6.9,,8,8.6,7.5
2023,6.4,,5.7,,5.1,,4.7,,5.4,,4.5,,5.2,5.6,4.9
2024,3.5,,2.8,,2.6,,1.9,,1.4,,2,,2.3,2.7,1.9
2025,2.3,,1.9,,2.2,,,,,,,,,,
