Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1966,,1.4,,,1.1,,,2.5,,,3.2,,1.8,,
1967,,2.5,,,2.4,,,3.8,,,3.1,,3.1,,
1968,,3.8,,,4.4,,,4,,,4.3,,4.1,,
1969,,4.6,,,5.2,,,5.5,,,5.1,,5.2,,
1970,,5.4,,,5.6,,,4.9,,,5.8,,5.2,,
1971,,4.8,,,3.8,,,3.8,,,2.6,,3.8,,
1972,,3.1,,,3.7,,,3.9,,,5,,4,,
1973,,5,,,5.7,,,7.3,,,7.7,,6.5,,
1974,,9.5,,,10.9,,,11.6,,,12.4,,11,,
1975,,12,,,9.6,,,8.6,,,7.5,,9.4,,
1976,,6.5,,,6.6,,,5.8,,,5.3,,6.1,,
1977,,5.5,,,6.6,,,6.9,,,7.4,,6.5,,
1978,,,,,8.2,,,,,,12.3,,10,,
1979,13.6,,15.7,,16.8,,16.9,,16.4,,18.2,,16.4,,
1980,18.3,,16.6,,18.2,,14.3,,13.1,,12.6,,15.2,,
1981,13.3,,13.5,,10.3,,13.2,,15.4,,15.2,,13.5,,
1982,12.3,,8.8,,10.7,,9.6,,3.8,,0.1,,6.8,,
1983,0.5,,2.8,,0.8,,0.1,,4.6,,6.4,,2.9,,
1984,6.6,,6.6,,6.3,,4.8,,4.9,,6.3,,5.9,,
1985,5.2,,5.7,,5.4,,6.2,,5.7,,4.2,,5.3,5.5,5.2
1986,4.8,,2.7,,2.9,,2.7,,2.2,,2.2,,2.8,3.3,2.4
1987,,,,,,,,,,,,,3.5,3.4,3.6
1988,,,,,,,,,,,,,5,4.5,5.7
1989,,,,,,,,,,,,,5.8,5.7,5.8
1990,,,,,,,,,,,,,6,5.9,6
1991,,,,,,,,,,,,,3.6,4.2,3.1
1992,,,,,,,,,,,,,2.8,3.4,2.1
1993,,,,,,,,,,,,,2.2,2.3,2.1
1994,,,,,,,,,,,,,2.6,2.6,2.5
1995,,,,,,,,,,,,,1.5,1.3,1.7
1996,,,,,,,,,,,,,2.6,2.2,2.9
1997,,,,,,,,,,,,,1.7,2.4,1.1
1998,,,,,,,,,,,,,2,1.4,2.5
1999,,,,,,,,,,,,,3.5,3.4,3.6
2000,,,,,,,,,,,,,5.8,4.7,6.8
2001,,,,,,,,,,,,,4.6,5.7,3.6
2002,,,,,,,,,,,,,3.5,2.9,4
2003,,,,,,,,,,,,,3.7,4.1,3.4
2004,,,,,,,,,,,,,3.7,3.7,3.7
2005,,,,,,,,,,,,,3.7,3.3,4
2006,,,,,,,,,,,,,3.4,3.8,3
2007,,,,,,,,,,,,,2.3,2.3,2.3
2008,,,,,,,,,,,,,3.9,4.6,3.2
2009,,,,,,,,,,,,,0,-0.6,0.6
2010,,,,,,,,,,,,,1.3,1.4,1.2
2011,,,,,,,,,,,,,3,3.4,2.7
2012,,,,,,,,,,,,,1.6,1.7,1.5
2013,,,,,,,,,,,,,1.3,0.9,1.7
2014,,,,,,,,,,,,,1.9,2.4,1.3
2015,,,,,,,,,,,,,1.6,0.8,2.4
2016,,,,,,,,,,,,,2,2,2
2017,,,,,,,,,,,,,3,3.3,2.8
2018,,,,,,,,,,,2.8,,3.4,3,3.7
2019,2.6,,2.2,,3.8,,1.4,,1.7,,2.6,,2.4,2.8,1.9
2020,2.3,,1.8,,0.3,,2.1,,1.1,,1.6,,1.5,1.3,1.7
2021,1.7,,4.1,,5.3,,6,,6.5,,6.6,,5.2,4.1,6.3
2022,8.2,,7.9,,8.3,,7.3,,8.2,,6.7,,7.7,8.1,7.3
2023,6.4,,5.3,,5.2,,4.3,,4.7,,5.2,,5.1,5.5,4.8
2024,3.8,,3.6,,3.2,,3.5,,2.5,,2.6,,3.1,3.5,2.8
2025,3.8,,3.8,,3.8,,,,,,,,,,
