Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1915,,,,,,,,,,,,-1.1,,,
1916,,,,,,,,,,,,6.6,4.4,,
1917,,,,,,,,,,,,21.6,17,,
1918,,,,,,,,,,,,30.5,24.5,,
1919,,,,,,,,,,,,18.2,20.4,,
1920,,,,,,22.5,,,,,,-1.6,13.9,,
1921,,,,,,,,,,,,-10.6,-11.2,,
1922,,,,,,,,,-4.9,,,-3.1,-6.6,,
1923,,,-3.8,,,-0.6,,,0.6,,,0.6,-0.6,,
1924,,,2.6,,,0.6,,,-0.6,,,0,0,,
1925,,,,,,2.6,,,,,,2.6,1.9,,
1926,,,,,,-1.3,,,,,,-1.9,0,,
1927,,,,,,0,,,,,,-1.9,-1.9,,
1928,,,,,,-3.2,,,,,,0,-0.6,,
1929,,,,,,1.3,,,,,,0.6,0.6,,
1930,,,,,,0,,,,,,-7.1,-1.9,,
1931,,,,,,-10.3,,,,,,-6.9,-9.2,,
1932,,,,,,-9.4,,,,,,-9.7,-8.7,,
1933,,,,,,-4.8,,,,,,0,-4.8,,
1934,,,,,,1.7,,,,,,,2.5,,
1935,,,,,,,,,,,,,2.4,,
1936,,,,,,,1.6,,,,,,0.8,,
1937,,,,,,,,,4.7,,,3.9,5.5,,
1938,,,0,,,-0.8,,,-2.2,,,-1.5,-1.5,,
1939,,,-1.5,,,-0.8,,,0.8,,,-0.8,0,,
1940,,,0.8,,,0.8,,,-0.8,,,1.5,0,,
1941,,,1.5,,,5.3,,,9.8,11.4,11.4,12,6.1,,
1942,14.3,15,15.7,15.6,14.5,11.5,11.4,12.1,10.3,9.5,10.2,10.1,12.9,,
1943,7.9,7.2,7.1,7.1,7,8.4,5.8,3.8,4.4,4.3,3.7,2.4,5.7,,
1944,2.4,1.8,1.2,0.6,0,0.6,3,3.7,1.8,1.8,1.8,2.4,1.2,,
1945,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.2,1.8,2.3,2.4,,
1946,1.7,2.3,2.3,2.3,2.3,3.5,7.5,9.2,11.5,15,16.7,17,7.5,,
1947,16.6,16,17.6,18.2,17.5,15.6,,11.6,,,7.4,,13.4,,
1948,,10.3,,,10.1,,,9.4,,,5,,8.1,,
1949,,2.7,,,-0.4,,,-3,,,-0.9,,-0.4,,
1950,,-1.7,,,-0.9,,,2.2,,,4.8,,1.8,,
1951,,8.4,,,10.2,,,7.8,,,6.3,,7.4,,
1952,,3.7,,,2.4,,,2.8,,,1.6,,2.8,,
1953,,0.4,,,1.2,,,1.6,,,0.4,,1.2,,
1954,,1.2,,,0,,,-0.4,,,-0.4,,0,,
1955,,0,,,0.4,,,0.4,,,1.6,,0.4,,
1956,,0,,,0.4,,,1.9,,,2.3,,1.2,,
1957,,5,,,5,,,4.2,,,3,,4.2,,
1958,,2.6,,,2.6,,,1.8,,,1.8,,2.2,,
1959,,1.4,,,1.4,,,2.1,,,2.5,,2.2,,
1960,,1.4,,,1.4,,,0.7,,,1,,1.1,,
1961,,1.7,,,1.7,,,1.7,,,1.7,,1.7,,
1962,,1.7,,,1.4,,,1.7,,,1.4,,1.4,,
1963,,1,,,1,,,2.3,,,2,,1.7,,
1964,,2,,,1.7,,,1,,,0.7,,1.3,,
1965,,0.3,,,1.3,,,1,,,1.6,,1.3,,
1966,,2.6,,,2.9,,,2.9,,,3.5,,2.9,,
1967,,2.9,,,2.5,,,3.1,,,3.1,,2.8,,
1968,,4,,,3.7,,,4.2,,,4.5,,4,,
1969,,4.5,,,5.3,,,5.2,,,4.3,,5,,
1970,,5.1,,,5.1,,,3.9,,,3.9,,4.5,,
1971,,1.9,,,1.3,,,2.7,,,2.4,,2.1,,
1972,,3.7,,,2.9,,,1.8,,,3.1,,2.9,,
1973,,3.6,,,6.2,,,7.6,,,8.3,,6.4,,
1974,,10.1,,,10.4,,,10.9,,,12.5,,11,,
1975,,11.9,,,10.9,,,10,,,8,,10.1,,
1976,,6.4,,,5.1,,,5.4,,,5.2,,5.7,,
1977,,6,,,8.4,,,8.6,,,8.7,,8,,
1978,,,,,9.9,,,,,,11.5,,9.6,,
1979,9.8,,10.6,,9.8,,11.6,,10.8,,11.8,,11.1,,
1980,16.7,,17.8,,17.5,,17.4,,16,,15.3,,16.5,,
1981,12.3,,11.1,,10,,10.6,,11.8,,10.2,,11,,
1982,11.7,,8.2,,9.7,,5.1,,4.6,,2.8,,6.4,,
1983,0.5,,1.6,,-0.1,,2.5,,1.4,,3.2,,1.6,,
1984,3.8,,4.2,,4.1,,3.4,,3.3,,3.7,,3.7,,
1985,3.5,,3.5,,2.5,,2.4,,1.7,,1.8,,2.5,3,2
1986,2.4,,1.1,,0.8,,0.6,,1.3,,0.6,,1,1.3,0.7
1987,,,,,,,,,,,,,2.3,1.5,3.4
1988,,,,,,,,,,,,,3.3,3.4,3.2
1989,,,,,,,,,,,,,4.7,4.3,5.1
1990,,,,,,,,,,,,,7.4,6.4,8.2
1991,,,,,,,,,,,,,5.8,7.1,4.5
1992,,,,,,,,,,,,,3.7,3.6,3.7
1993,,,,,,,,,,,,,2.8,3,2.6
1994,,,,,,,,,,,,,3.4,3.2,3.7
1995,,,,,,,,,,,,,3,3.3,2.7
1996,,,,,,,,,,,,,3.4,2.9,4
1997,,,,,,,,,,,,,3.5,4,2.9
1998,,,,,,,,,,,,2.7,2.9,2.9,2.9
1999,,2.5,,3.5,,3.1,,2.9,,3.2,,3,3,3,3
2000,,3.2,,3.3,,3.8,,4,,4.2,,4.1,3.7,3.3,4.1
2001,,4.5,,3.6,,4,,3.6,,3.2,,2.5,3.6,4,3.2
2002,,2,,2.5,,1.7,,1.9,,1.6,,2.1,1.9,2.1,1.8
2003,,2,,1.9,,1.2,,2.2,,1.5,,0.5,1.6,1.8,1.5
2004,,1.2,,1,,1.9,,0.1,,1.4,,2.1,1.2,1.3,1.2
2005,,2.1,,3.6,,2.3,,2.7,,3.5,,3,2.8,2.7,3
2006,,3,,3,,4.2,,4.9,,3.2,,4.2,3.7,3.3,4.1
2007,,4,,4,,3.5,,3,,4.1,,4.6,3.9,3.9,3.8
2008,,4.7,,3.4,,5.8,,5.4,,3.4,,1.7,4.2,4.6,3.8
