Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1936,,,,,,,,,0.7,,,,,,
1940,,,,,,,,,,,0,0.7,,,
1941,0.7,0.7,1.4,2.1,1.4,2.7,2.7,0.7,2.7,4,2.6,1.3,,,
1942,1.9,1.9,2.5,3.1,1.2,0,0,-0.6,0,1.8,1.8,1.2,,,
1943,0.6,0.6,2.3,2.3,2.3,1.7,-0.6,-2.2,-1.7,0.6,0,0.6,,,
1944,0.6,-1.1,-0.6,1.1,1.1,0.6,1.7,1.1,0,-0.6,-0.6,0.6,,,
1945,0.6,0,0,0,1.1,2.2,1.1,0.5,0,-0.5,0.5,0.5,,,
1946,0.5,0.5,0,1.1,2.2,2.1,7.4,6.8,1.5,2.4,3.4,2.9,,,
1947,0.9,0,2.3,2.3,0,1.4,2.3,2.7,2.7,2.6,1.3,1.3,,,
1948,2.6,0,-1.2,1.7,2.9,1.6,1.6,0.8,-0.4,-0.8,-1.2,-0.8,,,
1949,-0.8,-1.2,-0.4,0,0.4,0.4,-0.8,-0.8,0,-0.8,0,0.4,,,
1950,-0.8,-0.8,0.4,0.8,0.8,1.7,1.7,1.2,1.6,2,1.2,1.2,,,
1951,2.4,2.7,1.5,0.4,0,0.8,0.8,0,0.4,0.8,1.1,1.1,,,
1952,0.4,-0.7,-0.7,0.7,0.7,0,0.7,1.1,0,0.4,0.7,0.7,,,
1953,0.4,-1.1,-0.4,0.4,0.4,1.1,1.1,0.4,0,0.4,-0.4,-0.7,,,
1954,0.4,0,-0.4,0,0.4,0.4,0.4,-0.4,-1.1,-0.4,0.7,0,,,
1955,-0.7,0,0,0,0.4,0.4,0,0,0.4,0,-0.4,0,,,
1956,-0.4,0,0.7,0.7,0.7,1.1,2.1,0.7,-0.7,0.4,0.7,0.4,,,
1957,0,0.3,0.3,0.3,1,1,0.7,0.3,0,-0.3,0.3,0.7,,,
1958,0.3,0.3,0.3,0.3,0,0,0,-0.3,-0.3,-0.3,-0.3,0,,,
1959,0,0,-0.3,0,0.3,0,0.7,0.3,0.3,1,-0.3,-0.7,,,
1960,-0.7,-0.3,0.3,0.3,0.3,0.7,1.4,0.3,-0.3,0,0,0.3,,,
