Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1936,,,,,,,,,2.3,,,,,,
1940,,,,,,,,,,,0.7,1.5,,,
1941,0,0,0.7,0,1.5,3.6,2.9,1.4,2.1,2.8,1.4,0,,,
1942,1.4,2,2,2,1.3,0.6,0.6,0.6,0.6,1.3,1.3,1.3,,,
1943,0,0,1.9,1.3,0.6,0.6,-0.6,-0.6,0,0.6,0.6,0.6,,,
1944,-0.6,-1.2,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,,,
1945,0,0,0,0,0.6,1.2,0.6,0,0.6,0.6,0.6,0.6,,,
1946,0,0,0,0.6,1.2,1.8,8.2,8.1,3.2,4.8,4.7,2.6,,,
1947,-0.5,-0.5,2,1.5,0,1,,,,,,,,,
1978,,,,,,1.9,,2.1,,1.7,,1.2,,,
1979,,1.5,,1.9,,2.9,,2.1,,1.9,,1.2,,,
1980,,1.6,,2.6,,0.9,,1.5,,2.1,,1.4,,,
1981,,0.6,,2.3,,3.7,,3.8,,1.8,,2.5,,,
1982,,2.4,,-1.4,,0.8,,3.2,,-2,,-0.5,,,
1983,,-0.1,,1.2,,1,,1.1,,0.2,,0.2,,,
1984,,0.7,,0.8,,0.6,,0.3,,1,,-0.1,,,
1985,,0.8,,1,,0.8,,0.7,,0.6,,-0.1,,,
1986,,-0.1,,-0.5,,1.1,,-0.6,,0.2,,0.5,,,
2018,0.3,,0.5,,1,,0.3,,0.3,,-1.2,,,,
2019,0.4,,1.4,,1,,0.3,,-0.2,,-0.2,,,,
2020,0.6,,-0.3,,-0.1,,-0.1,,2.1,,-0.4,,,,
2021,0.4,,1.1,,1.4,,1.7,,1.1,,1,,,,
2022,0.7,,2.1,,1.9,,1.2,,0.4,,-1,,,,
2023,0.5,,0.4,,0.4,,0.4,,1.5,,-0.4,,,,
2024,0.2,,0.6,,0.3,,1.3,,0,,-0.6,,,,
2025,1.5,,-0.3,,0.5,,,,,,,,,,
