Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1936,,,,,,,,,1.4,,,,,,
1940,,,,,,,,,,,0,1.4,,,
1941,1.4,-0.7,0,1.4,0.7,2.1,2.1,0.7,3.4,3.4,2,2,,,
1942,2,1.9,2.6,2.5,0.6,0.6,0.6,0.6,0,0.6,1.9,1.8,,,
1943,0.6,0,1.8,2.4,2.4,0.6,-1.2,-0.6,0,0,0,0,,,
1944,0,-0.6,0,1.2,1.2,0.6,1.2,0.6,-0.6,-0.6,0,0.6,,,
1945,0.6,0,-0.6,0,1.1,1.7,0.6,0,-0.6,0,0,1.1,,,
1946,1.7,-0.6,0,1.1,0.6,1.7,8.3,8.7,2.1,2.5,5.5,3.4,,,
1947,0.5,0,2.8,2.4,-0.9,0.5,,,,,,,,,
1978,,,,,3.1,,1.9,,1.5,,1.7,,,,
1979,2.1,,2.5,,1.3,,2.7,,2.5,,1.6,,,,
1980,3,,2.4,,1.5,,1.4,,3,,0.5,,,,
1981,0.8,,1.4,,3.3,,0.6,,1.4,,0.2,,,,
1982,1.6,,0.9,,1.8,,1.6,,1.3,,-1.4,,,,
1983,0.4,,0.7,,0.8,,1.3,,0.9,,-0.8,,,,
1984,0.4,,0.6,,0.9,,1.1,,0.9,,-0.7,,,,
1985,1.3,,0.3,,0.6,,1.2,,0.6,,0,,,,
1986,0.2,,-0.9,,-0.2,,2.1,,0.1,,-0.6,,,,
1987,0.9,,0.6,,0.5,,1.3,,1.4,,-1,,,,
1988,0.3,,0.7,,-0.1,,1.7,,1.1,,0.9,,,,
1989,0.1,,0.8,,1.8,,1.3,,0.6,,-0.6,,,,
1990,1.6,,1.7,,-0.4,,1,,1.5,,0.4,,,,
1991,0.5,,-0.2,,0.5,,1.1,,0.6,,-0.2,,,,
1992,-0.5,,0.1,,1.1,,1.3,,0.7,,-0.4,,,,
1993,-0.1,,0.1,,0.5,,1.5,,-0.3,,-0.2,,,,
1994,0.4,,0.8,,0.2,,1.4,,1.1,,-0.1,,,,
1995,-0.3,,1.1,,0.1,,0.7,,1,,-1,,,,
1996,1,,1.2,,-0.5,,1.2,,0.7,,0.3,,,,
1997,0.1,,0.5,,-0.1,,0.8,,1.2,,-1.4,,,,
2018,,0.8,,0.7,,0.9,,-0.2,,0.1,,-1.7,,,
2019,,0.8,,1,,0.9,,-0.1,,-0.5,,-0.1,,,
2020,,0.8,,-1.6,,1.7,,0.6,,-0.3,,0.1,,,
2021,,1.2,,2.1,,2.4,,1,,0.6,,0.8,,,
2022,,1.1,,2.3,,2.4,,0.2,,0.1,,0.1,,,
2023,,0.8,,0.6,,1.3,,0.2,,0,,-0.2,,,
2024,,1.6,,1,,0.8,,0.1,,-0.7,,0.3,,,
2025,,0.5,,1.2,,,,,,,,,,,
