Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1964,,-0.3,,,0.7,,,-0.3,,,0.7,,,,
1965,,-0.7,,,1,,,0.7,,,1,,,,
1966,,0.7,,,1.3,,,0.6,,,1,,,,
1967,,0.6,,,0.3,,,1.3,,,0.3,,,,
1968,,0.9,,,2.2,,,0.9,,,1.5,,,,
1969,,1.2,,,2.3,,,1.4,,,2.2,,,,
1970,,1.4,,,1.4,,,0.8,,,0.3,,,,
1971,,0.8,,,0.5,,,1.8,,,-0.3,,,,
1972,,1,,,0.8,,,0.8,,,0.3,,,,
1973,,1.5,,,2.2,,,2.4,,,1.4,,,,
1974,,3,,,2.5,,,3.1,,,2.6,,,,
1975,,1.9,,,1.2,,,3,,,1.2,,,,
1976,,0.8,,,1.5,,,1.7,,,1.5,,,,
1977,,2.2,,,2.3,,,1.6,,,0.9,,,,
1978,,1.5,,,,,,,,,,,,,
1998,-0.5,,0.3,,,,,,,,,,,,
