Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1964,,,0.6,,,-0.9,,,0.3,,,0.9,,,
1965,,,0.6,,,0,,,0.6,,,1.5,,,
1966,,,0.6,,,0.3,,,1.1,,,0.8,,,
1967,,,0,,,0.8,,,0.8,,,1.4,,,
1968,,,0.8,,,0.8,,,1.1,,,1.1,,,
1969,,,1.3,,,1,,,1.3,,,1.3,,,
1970,,,2,,,1.2,,,0.2,,,0.7,,,
1971,,,1,,,1.4,,,2.3,,,0,,,
1972,,,1.1,,,-0.2,,,0.7,,,1.1,,,
1973,,,1.3,,,1.1,,,1.7,,,2.3,,,
1974,,,3.7,,,2.6,,,3.1,,,1.9,,,
1975,,,2.4,,,1.4,,,2.1,,,1.4,,,
1976,,,0.9,,,0.9,,,1,,,0.8,,,
1977,,,1.7,,,1.3,,,1.8,,,0.8,,,
