Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,0.6,,,
1922,,,-4.5,,,0.6,,,-0.6,,,1.8,,,
1923,,,-0.6,,,0.6,,,1.1,,,1.1,,,
1924,,,-2.2,,,0,,,0,,,1.7,,,
1935,,,,,,,,,,0.7,,,,,
1936,1.4,,,-1.4,,,0.7,,,,,-1.4,,,
1937,,,2.1,,,0,,,2.7,,,-1.3,,,
1938,,,-3.3,,,0,,,0.7,,,0,,,
1939,,,-0.7,,,-1.4,,,3.5,,,-1.4,,,
1940,,,0.7,,,0.7,,,-0.7,,,0,,,
1941,0.7,0.7,0.7,1.4,1.4,2.7,2.7,2.7,2.6,2.6,2.6,1.3,,,
1942,2.5,2.5,3.2,1.9,1.9,2.5,2.4,2.4,1.2,1.8,2.4,3,,,
1943,2.3,1.2,2.3,2.3,3.4,1.7,1.1,-1.1,0,0.6,1.7,0.6,,,
1944,0,-0.5,0,0.5,1.7,1.1,1.1,0.5,0.5,0,0.5,0.5,,,
1945,0.5,0,-0.5,0,0.5,2.2,2.7,1.6,0,-1,0,1.1,,,
1946,1.6,1.1,1,1.6,2.1,2.6,7.7,8.7,10.1,6.2,5.6,4.1,,,
1947,1.3,0,1.3,1.3,0.9,-0.4,0.4,2.2,3.1,2.6,3,2.1,,,
1948,3.4,1.7,-0.4,0,0.8,2.9,3.3,3.3,2.4,-0.4,-1.2,-2.4,,,
1949,-1.6,-2.4,-0.8,-0.4,0.4,0,-0.4,0,0.4,-0.8,-0.8,-1.6,,,
1950,-1.2,-0.8,-0.4,0.8,0.4,0.8,2.1,2.1,2.9,1.6,2.4,2.4,,,
1951,3.2,4,2.7,1.5,0.8,0,0.4,-0.4,1.1,1.1,1.5,0.8,,,
1952,0.4,-0.4,-0.7,-0.4,0,0.4,1.5,1.5,1.5,0,0.4,-0.4,,,
1953,-0.7,-1.5,-0.7,-0.4,0,0.7,1.1,1.5,1.1,0.7,0,0,,,
1954,0,0,-0.7,-0.4,0,0.4,0.4,0.4,0,-0.4,-0.4,-0.4,,,
1955,-0.4,0,0,0,-0.7,-0.4,-0.4,0,0.7,0.4,0.7,-0.7,,,
1956,0,-0.4,0.4,0,0.7,1.1,1.8,1.1,1.5,1.1,1.1,0.4,,,
1957,0,0.4,0.4,1.1,1.1,1.4,1.4,1.1,0.4,0,0,0.4,,,
1958,1.4,1.4,2.1,0.7,0.7,0,0,0,0.3,0.3,0.7,0,,,
1959,0.3,0,0.3,0,0,0.7,1.4,1,0.7,0.3,1,0.7,,,
1960,0.3,0,0,0.3,0.3,0.3,0,0.3,0.7,1,1,0.7,,,
1961,0,-0.3,-0.3,-0.3,-0.3,-0.3,0.7,0.7,1,0.3,0.3,0,,,
