Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,-1.1,,,
1922,,,-2.3,,,0,,,-2.3,,,2.4,,,
1923,,,0,,,1.7,,,1.1,,,0,,,
1924,,,-1.1,,,0.6,,,-0.6,,,2.3,,,
1935,,,,,,,,,,1.4,,,,,
1936,0.7,,,-0.7,,,0.7,,,,,0,,,
1937,,,1.4,,,0.7,,,1.3,,,-2.6,,,
1938,,,-1.4,,,0.7,,,-0.7,,,-0.7,,,
1939,,,-1.4,,,0,,,2.1,,,-1.4,,,
1940,,,0,,,0.7,,,-0.7,,,0.7,,,
1941,0.7,0.7,0.7,1.4,2.1,3.4,2.7,3.4,3.3,4.7,3.3,1.9,,,
1942,2.5,2.5,3.2,2.5,3.1,2.5,2.4,1.8,1.8,1.2,1.8,2.4,,,
1943,1.8,1.2,1.1,3.4,4,2.3,-1.1,-1.7,-1.1,0.6,0.6,0.6,,,
1944,0,0,-0.6,0,0.6,1.7,1.1,1.1,0.6,0,-0.5,0,,,
1945,1.1,1.7,0.5,0,0.5,1.6,2.2,1.1,0,-0.5,-0.5,0.5,,,
1946,0.5,0.5,0.5,1.1,1.6,2.1,7.4,10,10.4,5.9,4.8,4.7,,,
1947,2.8,0.5,2.3,1.8,2.3,0.4,2.2,3.1,3.9,2.6,2.6,2.1,,,
1948,3.4,1.7,-0.8,0.8,2.5,4.2,2,2.4,1.6,0.8,-1.6,-2.4,,,
1949,-2.8,-2,-0.8,0,0.8,0,-0.8,-0.8,0,0.8,0,-1.2,,,
1950,-2,-1.6,-0.4,0.4,0.8,1.2,2.1,2.5,2.4,2,1.2,2.8,,,
1951,4.4,6.7,4.3,2.7,0.4,0,-0.4,-0.4,0.4,0.7,1.9,1.5,,,
1952,1.1,-1.1,-0.7,-0.4,0.7,0.7,1.5,1.5,1.1,0,0,0,,,
1953,-0.4,-1.1,-0.7,-0.7,0.4,0.7,1.1,0.7,0.4,0.4,0,-0.4,,,
1954,0,0.4,0,0,0,1.1,1.1,0.7,0,-0.4,0,-0.4,,,
1955,-0.4,-0.4,0,0,0,0,0,0,-0.4,-0.4,-0.7,-0.4,,,
1956,-0.4,0,0.7,1.1,1.1,1.1,1.8,1.8,1.4,0.4,0,0,,,
1957,0.3,1.4,1,0.7,0,0.3,1,1.7,1.4,0.7,0.3,0.3,,,
1958,0.3,0,0.7,0.7,0.7,0,0.3,0.3,0.3,0,0,0,,,
1959,0,0,0,0,-0.3,0.3,0.7,1,1.7,1.3,1.7,0.3,,,
1960,-0.3,-0.7,-0.3,0.7,0.7,0.3,0.3,0.3,0.7,0.7,1,0.7,,,
1961,0,0,-0.3,0.3,0,0,0.3,0,0.6,0,0.6,0,,,
1962,0,0,0.3,0.6,-0.3,0,0,0.6,1,0.6,0.6,-0.3,,,
1963,0,0.3,0.6,0.3,0,1,1,1,0.3,0.9,0.9,0.9,,,
1964,0.3,0.3,-0.3,-0.3,-0.3,0.3,0.6,0.3,0.3,0.3,0.9,0.6,,,
1965,0.3,0.3,0.3,0,0,0.6,1.2,0.6,0,0,0.6,0.9,,,
1966,0.6,0.9,0.9,1.2,0.6,0.6,0.6,1.2,1.2,1.2,0.6,0.6,,,
1967,0,0.3,0,0.6,0.6,0.9,0.9,1.2,1.2,1.4,0.9,0.9,,,
1968,0.9,1.4,1.7,1.4,1.1,1.1,1.1,1.1,1.4,1.7,1.6,1.1,,,
1969,0.5,0.8,1.3,1.9,1.3,1.1,1.3,2.1,2.1,1.6,1,1,,,
1970,1.3,2.1,2.3,2,1.8,1.2,1.2,1,2,2.5,2.4,1.4,,,
1971,0.7,0.7,0.7,1,1.2,1.7,0.9,0.2,0.2,1.2,0.9,0.5,,,
1972,-0.2,0.2,0.5,0.9,0.7,0.7,0.9,1.1,1.4,1.1,1.4,0.5,,,
1973,0.4,1.1,2.9,3.4,2.7,1.5,1.1,2.4,2.6,3.4,2.3,2.3,,,
1974,2.3,3.3,4.1,3.8,3,2.6,2.3,2.7,3.3,3.6,3.4,2.2,,,
1975,1.5,1.1,1.3,1.1,1.1,1.4,2.3,2.1,2.1,1.9,1.7,0.9,,,
1976,0.5,0.7,0.7,0.7,0.9,1.4,1.5,1.2,1.5,1.3,1.5,0.5,,,
1977,1,1.8,2.8,2.9,2.4,1.9,1.6,0.9,1.6,1.1,1.4,0.2,,,
1978,0.3,0.3,1.4,1.7,2,2.3,2.9,2.4,2.1,1.2,1.6,1.6,,,
1979,1.9,2.2,1.9,2.7,3.3,4.4,4,3.4,2.7,1.9,2.1,1.8,,,
1980,3.1,3.9,4.9,4.6,3.6,3.3,2.8,2.8,2,1.5,1.3,1.3,,,
1981,2.1,2.7,3.1,3.1,2.4,2.8,2.7,3.2,3.4,2.6,1.4,0.2,,,
1982,0.3,0.5,-0.1,-0.2,-0.2,1.8,2.2,2.3,1.2,0.2,0.5,-0.5,,,
1983,0.1,-0.3,0.5,0.5,0.8,1,1.7,1.9,1.9,1,0.7,0.1,,,
1984,1.1,1.6,1.7,1.3,0.8,1.1,1.1,1.4,1.3,0.8,1,0.4,,,
1985,0.9,1,1.7,2,1.7,1.3,1,0.5,0.7,0.6,1,1,,,
1986,0.9,0.4,-0.2,-0.8,-0.4,0.8,1.6,1.3,1.3,0.5,0.4,-0.2,,,
1987,0.9,1.5,1.2,1.9,2.2,3,1.6,1.7,1.1,1.4,0.2,0.2,,,
1988,0.2,0.6,0.6,0.6,1.3,1.9,2.7,2.5,2.7,1.1,1.1,0.3,,,
1989,0.9,0.1,0.3,0.8,2,2.2,2.1,0.9,1.1,0.9,0.8,-0.2,,,
1990,0.5,1.6,2.8,2.4,1.8,1.1,1.5,2,2.3,1.8,1.3,0.9,,,
1991,1.2,1.1,1.1,0.3,0.5,0.6,1.1,1.4,1.4,0.5,0,0.4,,,
1992,0.9,0.6,0.7,0.7,1,1.4,1.3,1.6,0.4,0.5,-0.3,-0.4,,,
1993,-0.3,0.7,1.2,1.4,0.6,0.8,0.7,0.8,0.4,1,1,0.1,,,
1994,0.2,0.5,1.5,0.4,0.2,0.7,1.4,1.6,1,0.8,0.6,-0.5,,,
1995,0,0.7,1.7,0.8,0,0.3,0.7,1.1,1.2,0.9,0,-0.7,,,
1996,-0.1,1,1.8,1.1,0.4,0.2,0.4,1.1,1.4,1.3,0.4,-0.1,,,
1997,0.1,0.9,1.1,0.5,0.1,0,0.2,0.5,1.5,0.8,-0.2,-1.3,,,
1998,,0.4,,,,,,,,,,,,,
