Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1921,,,,,,,,,,,,-2.3,,,
1922,,,-2.9,,,0.6,,,-1.2,,,1.2,,,
1923,,,-0.6,,,2.4,,,1.2,,,-1.2,,,
1924,,,-1.2,,,0,,,0,,,1.2,,,
1935,,,,,,,,,,0.7,,,,,
1936,0.7,,,-1.4,,,1.4,,,,,-0.7,,,
1937,,,2,,,0.7,,,0.7,,,-1.3,,,
1938,,,-2,,,0,,,0,,,0,,,
1939,,,-1.4,,,0,,,1.4,,,-1.4,,,
1940,,,1.4,,,0,,,0,,,0,,,
1941,,,0.7,,,2.7,,,3.3,,,3.2,,,
1942,1.9,3.1,3.1,2.5,2.4,1.8,2.4,1.8,1.8,1.2,1.2,1.2,,,
1943,1.7,1.1,2.3,2.8,4,2.2,0.6,-0.5,-0.5,0.5,0,0,,,
1944,0,0,-0.5,-0.5,0.5,1.7,1.1,1.1,0.5,0.5,0.5,0.5,,,
1945,0.5,0,0,0.5,1.6,2.2,1.6,0.5,0.5,0,0.5,0.5,,,
1946,1.6,0.5,1,0.5,1,2.1,7.2,8.8,8.1,4.8,5.2,5.1,,,
1947,3.2,0.9,1.8,1.8,2.2,0.9,,2.6,,,1.7,,,,
1948,,0.8,,,2.5,,,1.2,,,-1.2,,,,
1949,,-1.2,,,0.8,,,0.4,,,0.4,,,,
1950,,-1.6,,,0.4,,,2.4,,,1.6,,,,
1951,,3.5,,,0.4,,,0.4,,,2.3,,,,
1952,,-0.7,,,0.7,,,1.5,,,-0.4,,,,
1953,,-0.7,,,0.4,,,0.7,,,0,,,,
1954,,0,,,-0.7,,,0.7,,,-0.7,,,,
1955,,-0.4,,,0.4,,,0.4,,,-0.4,,,,
1956,,0,,,0.7,,,1.1,,,0.4,,,,
1957,,1.4,,,-0.4,,,1.8,,,0.3,,,,
1958,,0.7,,,0.7,,,0,,,0,,,,
1959,,0,,,0.3,,,0.3,,,-0.3,,,,
1960,,0,,,1,,,0,,,0.7,,,,
1961,,0.7,,,-0.3,,,0.7,,,0.3,,,,
1962,,-0.3,,,0.3,,,0.7,,,0.3,,,,
1963,,0.3,,,0.7,,,0.6,,,0,,,,
1964,,0.3,,,0.3,,,1,,,0.3,,,,
1965,,-0.3,,,0.6,,,0.3,,,0.6,,,,
1966,,1.6,,,0.6,,,1.2,,,0.3,,,,
1967,,0.6,,,0.3,,,1.5,,,0.3,,,,
1968,,1.2,,,1.7,,,1.7,,,1.4,,,,
1969,,1.1,,,2.2,,,1.3,,,1.1,,,,
1970,,1.8,,,1.5,,,1,,,0.7,,,,
1971,,1.5,,,1,,,1,,,0.7,,,,
1972,,0.2,,,0.7,,,1.9,,,1.4,,,,
1973,,0.9,,,2,,,2.2,,,2.2,,,,
1974,,3.4,,,2.5,,,3.4,,,2.3,,,,
1975,,1.1,,,1.3,,,2,,,1.3,,,,
1976,,1.1,,,1.8,,,1.7,,,0.7,,,,
1977,,2.2,,,2,,,1.8,,,1.4,,,,
