Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1963,,,,0.3,,,,,,0.3,,,,,
1964,,,,-0.3,,,,,,1.1,,,,,
1965,,,,0.3,,,,,,0,,,,,
1969,,,,2.9,,,1.8,,,1.8,,,,,
1970,2,,,0.7,,,1.7,,,3.2,,,,,
1971,1.7,,,0,,,1.2,,,2.4,,,,,
1972,1.2,,,1.4,,,1.4,,,0.9,,,,,
1973,0.5,,,2.1,,,3.4,,,3.8,,,,,
1974,4.4,,,5,,,6.8,,,7.8,,,,,
1975,6.4,,,7,,,7.7,,,5,,,,,
1976,3.3,,,2.7,,,3.9,,,3.6,,,,,
1977,2.8,,,3,,,4.7,,,2.6,,,,,
1978,0.9,,,,,,5.2,,6.9,,5.7,,,,
1979,5.1,,4,,4.5,,4.7,,6.1,,5.1,,,,
1980,5.1,,4.8,,6,,4.8,,3.3,,4.4,,,,
1981,5.1,,4.4,,3.4,,2.4,,4,,3.7,,,,
1982,2.8,,3.7,,4,,4.2,,1.3,,-2.4,,,,
1983,-2.3,,-0.9,,2,,3.2,,2.7,,3.1,,,,
1984,2.1,,2.4,,1.8,,1.5,,1.3,,0.9,,,,1.2
1985,1.1,,0.8,,0.5,,1.7,,1.6,,2.9,,,0.8,2.1
1986,1.4,,2.3,,0.7,,-0.3,,-1.7,,-0.4,,,1.3,-0.8
1987,,,,,,,,,,,,,,0.8,-0.2
1988,,,,,,,,,,,,,,0.3,0.5
1989,,,,,,,,,,,,,,1.8,1.4
1990,,,,,,,,,,,,,,3.9,3
1991,,,,,,,,,,,,,,2.4,1.1
1992,,,,,,,,,,,,,,2.1,1.4
1993,,,,,,,,,,,,,,1.9,1
1994,,,,,,,,,,,,,,1.1,1.1
1995,,,,,,,,,,,,,,1.8,0.9
1996,,,,,,,,,,,,,,1.6,1.3
1997,,,,,,,,,,,,,,0.3,0.9
1998,,,,,,,,,,,,,,0.9,0.2
1999,,,,,,,,,,,,,,1.1,-0.2
2000,,,,,,,,,,,,,,1.1,1.3
2001,,,,,,,,,,,,,,1.6,1
2002,,,,,,,,,,,,,,1,1
2003,,,,,,,,,,,,,,1.3,1.7
2004,,,,,,,,,,,,,,1,1.3
2005,,,,,,,,,,,,,,1.1,2.7
2006,,,,,,,,,,,,,,1.5,0.7
2007,,,,,,,,,,,,,,0.8,2.1
2008,,,,,,,,,,,,,,2.5,2
2009,,,,,,,,,,,,,,-0.7,1.8
2010,,,,,,,,,,,,,,0.7,0.3
2011,,,,,,,,,,,,,,2.5,1.1
2012,,,,,,,,,,,,,,1.3,0.7
2013,,,,,,,,,,,,,,2.1,1.4
2014,,,,,,,,,,,,,,0.4,1
2015,,,,,,,,,,,,,,0.1,-0.2
2016,,,,,,,,,,,,,,0.1,0.8
2017,,,,,,,,,,,,,,0,0.2
2018,,,,,,3.7,,3.2,,2.6,,-0.9,,1.8,2.2
2019,,-0.7,,0.2,,3.4,,1.4,,-0.4,,-3.3,,0.4,-0.2
2020,,-1.7,,-2,,-0.6,,0.2,,2.4,,0.9,,-1.5,1
2021,,1.1,,2.3,,5.3,,4.5,,3.9,,1.8,,2.4,3.9
2022,,2.7,,3.4,,10.4,,4.8,,4,,-4.6,,4.4,3.3
2023,,-0.5,,-0.9,,1.3,,2.6,,2,,0.5,,-1,1.9
2024,,-0.8,,1.2,,2.4,,2.3,,0.9,,-0.1,,0.6,1.4
2025,,0.6,,0.7,,,,,,,,,,,
