Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,1.3,,,,,,8.8,,,
1920,,,,,,11,,,,,,-8.9,,,
1922,,,-4.3,,,-1.9,,,-1.3,,,0.6,,,
1923,,,2,,,1.9,,,3.2,,,0.6,,,
1924,,,-1.9,,,-0.6,,,0,,,0,,,
1925,,,,,,2.5,,,,,,2.5,,,
1926,,,,,,-1.2,,,,,,-0.6,,,
1927,,,,,,-0.6,,,,,,-1.9,,,
1928,,,,,,0,,,,,,-1.3,,,
1929,,,,,,0.6,,,,,,0.6,,,
1930,,,,,,-0.6,,,,,,-3.8,,,
1931,,,,,,-5.9,,,,,,-2.8,,,
1932,,,,,,-6.5,,,,,,-3.1,,,
1933,,,,,,-3.2,,,,,,4.9,,,
1934,,,,,,0.8,,,,,,,,,
1936,1.5,,,0.8,,,-0.7,,,,,,,,
1937,,,0.7,,,2.2,,,1.5,,,0.7,,,
1938,,,-2.9,,,-2.2,,,0,,,0,,,
1939,,,-0.7,,,-0.7,,,1.5,,,-0.7,,,
1940,,,-1.5,,,2.3,,,0.7,,,0,,,
1941,,,1.5,2.2,3.7,5.1,5.9,6.6,8,8,7.1,6.3,,,
1942,6.9,6.9,6.1,6,6,5.9,3.9,3.9,3.2,3.2,2.5,2.5,,,
1943,3.8,3.1,4.3,4.9,6.7,5.5,3,2.4,1.2,0.6,-2.3,-1.7,,,
1944,0,0,0,-0.6,1.2,1.2,1.8,2.4,1.2,1.8,1.7,1.2,,,
1945,1.1,1.1,1.7,1.1,1.7,2.9,2.3,2.3,2.3,1.7,0.6,0,,,
1946,0,-1.1,-0.6,1.1,1.1,2.2,7.8,11.8,12.3,13.3,16,14.7,,,
1947,9.3,6,8,5.9,2.9,3.3,,,5.1,,,6.9,,,
1948,,,1.8,,,2.6,,,5.2,,,-0.8,,,
1949,,,-2.9,,,0.4,,,0.4,,,-1.7,,,
1950,,,-1.7,,,0.9,,,4.3,,,4.7,,,
1951,,,4.1,,,3.6,,,1.2,,,2,,,
1952,,,1.6,,,0.4,,,2.3,,,1.1,,,
1953,,,-0.7,,,0.8,,,0.8,,,-0.4,,,
1954,,,-0.4,,,0.8,,,0.4,,,-0.7,,,
1955,,,0,,,0.4,,,0.4,,,0.7,,,
1956,,,-0.4,,,0.7,,,2.2,,,2.2,,,
1957,,,1.8,,,1.8,,,1.8,,,0.7,,,
1958,,,1.8,,,2.1,,,0.7,,,0.3,,,
1959,,,1.4,,,1,,,0.7,,,0.3,,,
1960,,,0,,,1,,,1,,,0.7,,,
1961,,,0.7,,,0.3,,,0,,,0,,,
1962,,,0,,,0.3,,,1.3,,,0.7,,,
1963,,,0.3,,,1.3,,,0.7,,,0.6,,,
1964,,,0.6,,,0.3,,,0.3,,,0.6,,,
1965,,,0.3,,,1.3,,,1.6,,,0.6,,,
1966,,,2.2,,,2.5,,,1.5,,,0.9,,,
1967,,,0.6,,,0.9,,,2.4,,,1.5,,,
1968,,,0.9,,,2.7,,,2.9,,,2.9,,,
1969,,,2.8,,,3.1,,,3.6,,,3.3,,,
1970,,,2.4,,,2.6,,,2.9,,,3.6,,,
1971,,,3.3,,,2.2,,,2,,,1.2,,,
1972,,,0.5,,,0.5,,,2.2,,,1.9,,,
1973,,,3.3,,,4.4,,,4.3,,,5.1,,,
1974,,,7,,,7.7,,,6.9,,,5.7,,,
1975,,,3.6,,,3,,,2.8,,,2.2,,,
1976,,,1.8,,,3.2,,,3.5,,,2.6,,,
1977,,,3.2,,,4.2,,,3.6,,,2.7,,,
1978,,,3.6,,,,,,4,,2.6,,,,
1979,1.2,,2.8,,6,,8.2,,7.6,,5.6,,,,
1980,6.1,,8.9,,9.6,,7.7,,4.2,,3.7,,,,
1981,4.7,,6,,4.2,,3.1,,3.5,,4.3,,,,
1982,3.5,,0.7,,1,,1.5,,2.5,,2.3,,,,
1983,1.8,,1.2,,2.2,,3.1,,3.5,,2.8,,,,
1984,2.4,,2.5,,2.2,,1.8,,1.9,,1.2,,,,1.6
1985,0.7,,1.3,,2.5,,2.8,,2.1,,1.3,,,1.6,2.1
1986,2.5,,1.1,,0.5,,-0.5,,0.9,,1.4,,,1.1,0.7
