Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,0.6,,,,,,12.1,,,
1920,,,,,,10.3,,,,,,-6,,,
1922,,,-6.1,,,-5.6,,,0,,,3,,,
1923,,,1.2,,,-1.2,,,2.9,,,4.1,,,
1924,,,-1.7,,,-3.4,,,1.2,,,2.3,,,
1925,,,,,,-0.6,,,,,,5.7,,,
1926,,,,,,-2.2,,,,,,0.6,,,
1927,,,,,,-1.1,,,,,,0,,,
1928,,,,,,-2.8,,,,,,1.7,,,
1929,,,,,,-1.7,,,,,,1.7,,,
1930,,,,,,-2.2,,,,,,-2.9,,,
1931,,,,,,-7.1,,,,,,-2.5,,,
1932,,,,,,-7.8,,,,,,-2.1,,,
1933,,,,,,-2.9,,,,,,3.7,,,
1934,,,,,,1.4,,,,,,,,,
1936,1.4,,,0,,,0.7,,,,,,,,
1937,,,0.7,,,3.5,,,3.4,,,-0.7,,,
1938,,,-5.3,,,-2.7,,,0,,,-0.7,,,
1939,,,-1.4,,,-1.4,,,1.4,,,0.7,,,
1940,,,0,,,2.1,,,0,,,-0.7,,,
1941,,,0,2.1,2.8,3.5,4.9,5.6,7,6.2,7.5,5.4,,,
1942,5.3,6,5.2,4.5,3.8,5.1,5.7,3.8,4.3,5.6,4.9,4.3,,,
1943,2.4,3,3.6,2.9,2.9,2.3,1.2,1.2,-0.6,0,-1.1,-0.6,,,
1944,0.6,0,0,0,0.6,0.6,1.1,2.3,2.9,0.6,1.1,1.7,,,
1945,1.1,0.6,-0.6,0.6,0.6,1.7,1.7,1.7,1.7,1.1,1.1,-0.6,,,
1946,0,-0.6,0.6,1.7,1.1,2.2,9.4,12.2,12.7,14.3,15.9,15.8,,,
1947,8.1,5.4,6.4,3.4,1.4,1.9,2.3,4.7,5.5,5.6,6.5,6.9,,,
1948,7.3,4.5,1.3,4,3.9,3.4,3.4,4.7,5.2,3,1.7,-0.8,,,
1949,-2.5,-4.5,-3.7,-3.3,-2.5,-0.8,-0.8,1.7,1.7,0.9,0.9,-0.4,,,
1950,-0.4,-1.7,-1.7,-0.8,-0.8,1.3,2.6,3.9,3,3.8,3.8,3.4,,,
1951,4.2,4.5,4.5,3.7,4.1,3.3,2,0.8,1.2,2,2,2.4,,,
1952,1.6,1.2,0.8,0,0,0,1.9,2.3,1.9,1.9,0.8,0,,,
1953,-1.5,,,-1.5,,,0.8,,,1.9,,,,,
1954,-0.4,,,-1.1,,,1.1,,,0.8,,,,,
1955,-0.8,,,0,,,0.8,,,0.8,,,,,
1956,0.8,,,0.8,,,2.6,,,3.7,,,,,
1957,1.1,,,0.7,,,2.5,,,1.4,,,,,
1958,1.1,,,2.1,,,1.7,,,0.7,,,,,
1959,0,,,-0.3,,,0,,,1.4,,,,,
1960,0.7,,,1.4,,,1.7,,,0.3,,,,,
1961,0.7,,,0.7,,,0.7,,,0.7,,,,,
1962,1,,,1.7,,,1,,,1,,,,,
1963,1.3,,,1,,,1,,,0.6,,,,,
1964,0.3,,,0.6,,,0.9,,,0.9,,,,,
1965,0.9,,,0.9,,,1.2,,,0.6,,,,,
1966,0.3,,,2.8,,,2.8,,,1.5,,,,,
1967,1.5,,,0.3,,,0.9,,,1.8,,,,,
1968,1.7,,,2.3,,,2.3,,,2.5,,,,,
1969,2.5,,,2.5,,,3.3,,,3.8,,,,,
1970,3.2,,,2.3,,,2.3,,,3.8,,,,,
1971,3.8,,,1.7,,,1.7,,,2.4,,,,,
1972,1.7,,,1.4,,,1.9,,,2.1,,,,,
1973,2.1,,,2.9,,,3.4,,,4.6,,,,,
1974,6.1,,,4.8,,,5.3,,,5.2,,,,,
1975,4.5,,,4,,,4.3,,,3.7,,,,,
1976,5.3,,,4.6,,,2,,,2.2,,,,,
1977,2.2,,,3.1,,,3.1,,,2.2,,,,,
1978,1.6,,,,,,2.9,,4,,4.7,,,,
1979,4.5,,4.7,,4.9,,6.2,,6.2,,6.2,,,,
1980,6.1,,7.5,,6.4,,6,,4.3,,5,,,,
1981,6.4,,7.3,,6,,3.9,,4.1,,4,,,,
1982,2.9,,-1.2,,-0.5,,1.9,,4.8,,4.6,,,,
1983,2.7,,1.3,,1,,1,,1.6,,2.3,,,,
1984,2.6,,3.7,,2.9,,2.5,,1.8,,1.5,,,,1.9
1985,1.5,,2.3,,2.4,,2.6,,2.1,,3.3,,,2.1,2.8
1986,2.9,,1.2,,-0.9,,-1.1,,1,,2.1,,,0.7,1
1987,3,,2.7,,1.8,,1.5,,3.1,,4,,,2.3,3
1988,3.3,,2.2,,2.7,,3.1,,3.4,,3.5,,,2.7,3.4
1989,4.2,,2.8,,2.4,,1,,1.9,,2.9,,,2.9,2.2
1990,4.4,,3.1,,1.7,,1.2,,3.7,,5.2,,,2.8,3.7
