Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,3.1,,,,,,12.8,,,
1920,,,,,,6.5,,,,,,-4.1,,,
1922,,,-4.2,,,-3.7,,,-1.3,,,0.6,,,
1923,,,0,,,0,,,1.9,,,1.3,,,
1924,,,-0.6,,,-3.1,,,-0.6,,,2.6,,,
1925,,,,,,0.6,,,,,,1.9,,,
1926,,,,,,-2.4,,,,,,0,,,
1927,,,,,,-1.9,,,,,,0.6,,,
1928,,,,,,-1.9,,,,,,0.6,,,
1929,,,,,,0,,,,,,1.3,,,
1930,,,,,,-2.5,,,,,,-4.5,,,
1931,,,,,,-6.1,,,,,,-2.9,,,
1932,,,,,,-8.2,,,,,,-4.9,,,
1933,,,,,,-0.9,,,,,,4.3,,,
1934,,,,,,0.8,,,,,,,,,
1936,1.6,,,-0.8,,,0.8,,,,,,,,
1937,,,2.3,,,2.3,,,1.5,,,1.5,,,
1938,,,-1.5,,,-2.2,,,0,,,0.8,,,
1939,,,-1.5,,,-1.5,,,1.5,,,0.8,,,
1940,,,-0.8,,,0,,,0,,,0.8,,,
1941,,,0.8,1.5,1.5,2.3,3,3.8,6,6.7,7.4,7.4,,,
1942,7.3,8,7.1,4.9,4.8,3.4,4.1,3.4,2.6,2.6,2,3.3,,,
1943,2.6,2.6,4.5,4.5,5.2,3.2,1.9,0.6,-0.6,-0.6,-1.2,0,,,
1944,0.6,1.3,-0.6,0,0.6,0.6,1.2,1.2,1.9,1.2,0,0.6,,,
1945,0.6,0,0,0.6,1.9,1.8,1.8,2.5,2.5,1.2,0.6,0.6,,,
1946,-0.6,-0.6,0,1.2,1.2,2.4,7.8,10.8,12,12.5,17.3,17,,,
1947,12.8,9.8,10.2,10.1,5.1,3.5,3,4,3.4,3.4,5.3,7.2,,,
1948,7.7,6.7,5.2,4.7,3.2,2.3,2.2,3.1,3.1,2.2,1.8,0.9,,,
1949,-0.4,-2.6,-2.6,-1.7,-1.7,-1.7,-1.3,0.4,0.9,0.9,2.2,2.2,,,
1950,1.8,1.3,1.3,0.4,-0.4,0,1.3,3.1,3.5,3.9,4.4,5.7,,,
1951,6.9,5.9,5.5,5.9,5.4,3.3,1.6,0.8,0.8,0.8,1.2,2,,,
1952,1.2,0.8,0.4,0,-0.4,-0.8,0,0.8,0.4,1.2,1.2,1.6,,,
1953,,0.4,,,0.4,,,0.4,,,0.4,,,,
1954,,0.4,,,-0.4,,,-0.4,,,0,,,,
1955,,-0.8,,,-1.2,,,-0.4,,,1.2,,,,
1956,,1.2,,,0,,,1.2,,,2.7,,,,
1957,,2.3,,,1.1,,,1.1,,,1.1,,,,
1958,,0.4,,,1.1,,,1.1,,,0.4,,,,
1959,,0,,,-0.4,,,0.7,,,1.1,,,,
1960,,0.7,,,0,,,0.4,,,1.1,,,,
1961,,-0.7,,,-0.4,,,0.7,,,1.4,,,,
1962,,2.2,,,0.7,,,0,,,0,,,,
1963,,0.4,,,0,,,1,,,2.1,,,,
1964,,1,,,0,,,0,,,0.3,,,,
1965,,0.3,,,,,,,,1.4,,,,,
1966,1.4,,,1.3,,,1.3,,,1.3,,,,,
1967,1.3,,,1.3,,,1,,,1.6,,,,,
1968,2.3,,,1.9,,,2.2,,,2.8,,,,,
1969,3.4,,,3.6,,,3,,,3.5,,,,,
1970,3.2,,,2.3,,,2,,,1.7,,,,,
1971,2.2,,,1.4,,,1.6,,,2.4,,,,,
1972,1.6,,,1.8,,,1.6,,,1.3,,,,,
1973,1.8,,,3.3,,,3.3,,,4.4,,,,,
1974,5.9,,,4.9,,,6.2,,,7.8,,,,,
1975,7.8,,,4.6,,,4.2,,,4.6,,,,,
1976,3.7,,,3.2,,,2.8,,,4.4,,,,,
1977,3.6,,,3.7,,,4.4,,,2.2,,,,,
1978,2.7,,,5.3,,,,,,5.8,,5.9,,,
1979,,6.1,,6.1,,7.2,,7.3,,7,,5.6,,,
1980,,6.4,,6.8,,7.2,,4.9,,4.4,,3.1,,,
1981,,4.9,,5.2,,6.5,,4.7,,4.7,,3.4,,,
1982,,3.2,,1.7,,3.7,,4.7,,4.1,,1.3,,,
1983,,-0.4,,-0.3,,1,,2.1,,2.4,,-0.2,,,
1984,,-0.1,,0.4,,3,,2.6,,2.8,,0.9,,,2.2
1985,,0.5,,0.2,,1.3,,1.3,,0.8,,-0.3,,0.7,0.8
1986,,-0.3,,-2.3,,-1,,-1.2,,1.2,,-0.7,,-1.1,-0.3
1987,,0.6,,2.2,,3.2,,2.8,,1.5,,0.8,,1.6,1.9
1988,,0.7,,0.2,,2,,2.1,,2.7,,1.7,,0.8,2.1
1989,,2.2,,1.9,,2.5,,1.5,,2.2,,1.2,,2.2,1.8
1990,,3.8,,2.2,,3.6,,2.4,,4.8,,2.8,,3,3.4
1991,,2.3,,-0.4,,1.5,,0.4,,3.1,,1.7,,1.2,1.7
1992,,1.8,,1.1,,1.9,,2.3,,1.6,,-0.1,,1.6,1.4
1993,,1.4,,0.8,,2.8,,1,,3.6,,2.7,,1.4,2.5
1994,,3,,0.1,,0.7,,1.6,,1.8,,0.3,,1.4,1.2
