Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,3.8,,,,,,13.4,,,
1920,,,,,,9.7,,,,,,-2.5,,,
1922,,,-0.5,,,-1.6,,,-1.1,,,0,,,
1923,,,0,,,1.1,,,2.8,,,1.6,,,
1924,,,0,,,-1.6,,,-0.5,,,-0.5,,,
1925,,,,,,1.6,,,,,,0,,,
1926,,,,,,-3.8,,,,,,0,,,
1927,,,,,,0,,,,,,-1.7,,,
1928,,,,,,-1.7,,,,,,1.2,,,
1929,,,,,,-1.1,,,,,,0,,,
1930,,,,,,-2.9,,,,,,-4.2,,,
1931,,,,,,-6.9,,,,,,-2,,,
1932,,,,,,-6.8,,,,,,-3.7,,,
1933,,,,,,-4.6,,,,,,4,,,
1934,,,,,,-0.8,,,,,,,,,
1936,1.5,,,0.8,,,0,,,,,,,,
1937,,,4.4,,,3.6,,,0.7,,,0.7,,,
1938,,,-2.8,,,-2.1,,,0,,,0.7,,,
1939,,,0,,,-2.1,,,0.7,,,0.7,,,
1940,,,-1.4,,,0,,,0.7,,,1.4,,,
1941,,,0.7,2.1,2.1,3.5,2.8,5,6.4,6.3,6.3,6.2,,,
1942,7.5,7.5,7.3,6.6,6.5,5.8,5.7,6.3,4.3,4.9,4.9,4.3,,,
1943,3,1.2,2.4,2.4,1.8,1.8,1.2,1.2,0.6,0,0.6,0.6,,,
1944,0.6,1.2,0.6,0,0.6,0,0.6,1.1,1.7,2.3,1.1,2.3,,,
1945,2.3,1.1,1.1,1.1,1.1,0.6,1.1,1.7,2.2,1.7,2.2,2.8,,,
1946,1.7,1.7,0.5,1.1,1.1,1.6,7.1,8.7,9.2,10.8,15.1,13.8,,,
1947,9.1,8,8,6.3,1.9,1.4,1.4,1.4,3.2,2.8,4.6,6,,,
1948,6.9,6.8,4,4.9,3.1,2.2,1.7,1.7,2.1,1.7,2.1,2.6,,,
1949,1.7,0.4,0.4,0,-1.3,-2.1,-2.9,-2.1,-2.1,-2.5,-1.3,-1.7,,,
1950,0,-0.4,0,0.4,0,0.9,0.4,2.1,2.1,3,3.8,5.1,,,
1951,6.4,7.1,7.5,6.6,5.8,4.5,3.2,1.2,0.8,0.8,1.9,2.3,,,
1952,1.9,1.9,1.9,1.9,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.4,,,
1953,0.4,0,0.4,0.8,0,0,0.4,0.8,0.8,0.4,0.8,0.4,,,
1954,1.1,0.7,0,-0.4,-0.4,0,-1.9,-1.1,-0.7,-0.7,-0.7,-0.4,,,
1955,0.4,-0.4,0,-0.4,0.4,0,0.4,0.4,0.8,1.5,0.8,0.8,,,
1956,0.4,0.4,0,0,0.7,1.1,1.5,1.5,1.5,1.9,1.9,1.8,,,
1957,1.5,2.6,2.2,1.8,1.5,1.1,1.4,0.7,1.4,1.4,1.8,1.8,,,
1958,2.1,2.1,2.1,2.8,1.8,1.8,1.4,1,1,0.3,1,1,,,
1959,0.7,1,0.3,0.3,0.3,0.3,0.7,0.7,1,1.7,1.4,1.7,,,
1960,1.4,1,1.4,1,1,0.3,0.3,0.3,0.3,0.3,0.3,1.3,,,
1961,1.3,1.7,0.7,0.7,0.7,0,0,0,0.3,0.3,0.7,0.7,,,
1962,0.3,0.3,0.7,0.7,1,1,1,1,1.3,1,0,0.3,,,
1963,0.7,1,0.3,0.6,0.6,0,0.6,0.6,0.6,1,1.3,1.3,,,
1964,1.3,0.6,1.3,0.6,0.6,1,0.3,1,0,1.3,1.3,1.6,,,
1965,1.6,1.6,2.2,1.3,1.3,1.2,0.9,-0.3,0.6,0,0.3,0.3,,,
1966,0.3,1.6,0.6,1.5,1.2,1.2,1.8,1.2,1.8,1.5,1.8,1.5,,,
1967,0.6,0.9,-0.3,0.3,0.3,0.6,1.5,2.4,3.3,2.1,2.7,2.4,,,
1968,2.7,1.8,1.7,2,0.9,1.7,1.4,1.7,1.1,2,2.6,1.7,,,
1969,2,2,3.4,2.5,2.2,3.1,3.1,3.1,2.2,2.5,2.5,2.4,,,
1970,2.2,2.2,1.9,2.7,2.9,2.4,2.9,2.1,3.2,2.3,2.1,2.3,,,
1971,1.5,1.6,1,0.5,1.8,1.8,2,2.8,2.5,3,1.5,1,,,
1972,0.7,0.7,1,0.7,1.2,1.5,2.2,2.2,2.2,2.2,2.4,2.2,,,
1973,1.7,2.2,2.1,2.6,2.4,3.3,3.6,4.2,3.7,4.2,4.9,4.4,,,
1974,4.8,4.1,5,4.9,5.1,5.5,5.7,6.3,6.9,6,5.9,6.1,,,
1975,5.4,5.1,4.8,5.8,5.6,4.3,4.9,4.3,4,3.8,3.6,4.5,,,
1976,4.1,3.2,2.2,1.5,2.4,2,2.5,3.6,4.1,4.5,3.6,3.5,,,
1977,3.7,4,3.5,3.8,3.6,3.9,3.2,2.3,2.8,2.2,2.5,2.6,,,
1978,2.8,3.3,3.1,4.4,4.7,5,4.8,4.6,5.4,4.2,3.5,1.8,,,
1979,2.7,3.5,3.3,5.1,6.4,8.1,7.5,7.8,8.3,6.8,6.3,7.1,,,
1980,8.3,9.2,9.4,10.3,11.1,9.7,7,4.1,3.4,3.3,2.6,3.4,,,
1981,4.3,5.7,5.4,5.1,4.6,3.5,4.9,5.1,6.1,5.9,5.3,5.3,,,
1982,5,3.9,2.5,1.9,2,2.8,1.2,1.3,0.6,1,0.4,-1.6,,,
1983,-1.2,-0.8,-0.3,0,1.2,2.9,3.1,2.9,3.2,2.6,1.6,1.4,,,
1984,1.5,1.7,1.5,2,3,2.6,2.3,2.9,3.1,2.9,2,1.8,,,2.5
1985,2.3,1.7,1.4,1.3,2.4,2.7,2.7,3.1,2.9,3.3,1.9,2.1,,2,2.6
1986,1.7,0.8,1.4,0.2,1.4,1.5,1.3,1.4,2,2.9,1.3,0.5,,1.2,1.5
1987,1.3,2.4,1.9,1.9,3.4,3.4,2.7,2.3,2.2,2.2,1.2,1.7,,2.4,2.1
1988,2.1,2,2.2,2.1,3.2,3,2.7,2.4,2.3,2.4,1.7,1.8,,2.4,2.2
1989,2,2.4,2.3,2.6,3.4,3.6,3.5,2.7,3.1,2.2,1.3,1.5,,2.8,2.4
1990,2.4,3.6,3.4,3.2,3.5,3.4,2.6,2,2.4,3.4,3.2,3.1,,3.2,2.8
1991,3.2,2.6,1.5,1.4,1.4,1.1,1.1,1.3,2.1,1.6,1.9,1.6,,1.9,1.6
1992,2,2.3,2,2,1.7,2.2,1.7,1.4,1.3,1.8,1.5,1.4,,2,1.4
1993,1.7,2.1,1.6,1,1.3,1,0.4,-0.1,0.3,0.7,1,1.5,,1.5,0.6
1994,1.6,1.5,1.5,0.7,-0.1,-0.4,-0.3,-0.1,0.1,0.9,1,1.4,,0.8,0.5
1995,1.7,1.6,1.2,0.8,1.4,0.9,0.1,-0.1,0,0.3,-0.5,-0.1,,1.3,-0.1
1996,0.8,1.2,1.7,1.6,2,1.4,1.2,0.7,0.6,0.7,0.6,1,,1.5,0.8
1997,1,1.2,1,0.7,0.7,0.7,0.3,0.3,0.4,0.8,0.8,1.1,,0.9,0.6
1998,0.9,0.9,0.6,0.4,1,0.6,0.7,0.9,0.7,0.9,0.7,0.8,,0.7,0.8
1999,1.3,1.2,1.5,2.1,1.7,1.2,1,1,1.3,0.4,0.5,1.1,,1.5,0.9
2000,1.3,1.8,2.1,2,2.4,2.2,2.3,1.7,1.5,1.9,1.4,1.5,,2,1.7
2001,1.5,1.9,1.7,1.6,2.3,3.1,2.4,1.7,1.5,1,0.3,-1,,2,1
2002,0.3,1,1.3,2.2,2.5,2.7,1.8,1.6,1.3,0.8,0.8,1,,1.6,1.2
2003,1.6,1.9,2.6,2.1,1.3,1.4,0.6,0.2,0,0.1,0.4,0.4,,1.9,0.3
2004,1.2,1.7,1.8,2.2,3.3,3.6,2.6,1.6,1.6,2.3,1.9,0.8,,2.3,1.8
2005,1,2.2,2.4,2.4,2.3,2.8,3.1,2.9,3.3,2.9,2,1.6,,2.2,2.7
2006,2.3,2.2,1.3,1.7,3.3,3.5,2.6,2.1,2.1,0.4,-0.6,-0.2,,2.3,1.1
2007,0.6,1.3,1.7,3,3.6,3.2,2.3,1.2,0.6,0.4,0.6,1,,2.2,1
2008,1.6,1.9,2.7,2.7,3,4.4,4.1,3.2,1.7,0.7,-2,-4.1,,2.7,0.6
2009,-4,-3.1,-2.7,-2,0.1,2,1.5,1.4,1.7,1.6,0.8,-0.1,,-1.6,1.1
2010,0.3,0.1,0.1,0.3,0.9,1,0.6,0.8,0.3,0.4,-0.2,0.3,,0.4,0.4
2011,1.2,1.5,2.7,2.9,3.3,2.5,1.2,0.9,0.3,-0.1,-0.3,-0.3,,2.3,0.3
2012,0.9,1.2,1.7,1.6,1.8,1.9,1,1.1,0.5,1.4,0.3,0,,1.5,0.7
2013,0.9,1.1,0.8,-0.4,0.7,1.3,0.4,-0.2,-0.2,0.4,-0.3,-0.2,,0.7,0
2014,0.4,0.8,1.2,1,2,2,1.6,1,0.5,0.4,-0.7,-1.3,,1.2,0.3
2015,-1.6,-0.9,0,0.1,1.8,2.1,3.1,2.1,0.7,0.9,-0.2,0,,0.2,1.1
2016,0,0.3,1,1,1.6,1.8,1.1,1,0.9,1.1,0.3,0.2,,1,0.8
2017,1,1.6,1.8,1.5,2.2,2,1.4,1.2,1.3,1.5,1.4,1.5,,1.7,1.4
2018,2,2.4,2.4,2.4,2.7,2.4,1.8,1.4,1.5,1.7,0.9,0.8,,2.4,1.3
2019,1.3,1.1,1.2,1.7,2.2,2.5,1.9,1.8,1.7,1.5,1,0.4,,1.7,1.4
2020,1.1,1.5,0.2,-0.8,-0.1,0.9,0.8,0.5,1,1.5,1.2,0.5,,0.5,0.9
