Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1978,,,,,2.9,,4.2,,4.3,,4.4,,,,
1979,3.8,,4.4,,4.8,,6.2,,5.5,,6.2,,,,
1980,6.5,,8.8,,8.6,,8.4,,4.3,,3.2,,,,
1981,2.8,,5.2,,6.9,,6.3,,7.2,,7.3,,,,
1982,6.3,,3.2,,1.4,,-0.1,,0.6,,0.7,,,,
1983,1.9,,1.9,,1.6,,1.8,,2.5,,2.8,,,,
1984,2.6,,1.6,,1.5,,1.2,,1.5,,1.2,,,,1.3
1985,1,,1.2,,1.6,,1.6,,2,,1.7,,,1.2,1.9
1986,1.9,,0.7,,-0.6,,-1.9,,-0.2,,1.7,,,0.3,0.3
1987,3.5,,2.4,,1.8,,1.9,,1.6,,2.4,,,2.4,2.1
1988,2.2,,2.3,,2.1,,2,,3.2,,1.8,,,2.2,2.3
1989,2.7,,0.8,,2.2,,1.3,,2.6,,1.7,,,1.9,1.9
1990,2.5,,1.8,,2.8,,3.3,,4,,3.8,,,2.4,3.6
1991,2.2,,1.5,,0.6,,0.4,,0.1,,1.1,,,1.3,0.6
1992,1.3,,1.8,,0.1,,0.1,,0.1,,1.6,,,1,0.8
1993,3,,3.4,,2.3,,0.9,,0,,0.6,,,2.7,0.5
1994,1.4,,3.1,,2.5,,1.7,,0.7,,0.8,,,2.4,1.2
1995,2.7,,2.9,,2.8,,0.7,,0.1,,1.1,,,2.6,0.7
1996,2.5,,2.4,,1.6,,0.3,,1.4,,2.5,,,2,1.6
1997,3.7,,2.5,,1,,-0.1,,0,,1,,,2.1,0.3
1998,,,,,,0.6,,0.4,,0.6,,0.6,,0.9,0.5
1999,,0.4,,0.4,,0.1,,0.6,,1.5,,2.2,,0.3,1.2
2000,,2.2,,1.7,,1.9,,1.5,,1.6,,0.9,,2,1.4
2001,,2.1,,1.9,,2.4,,0.9,,0.8,,-0.2,,2,0.7
2002,,0.9,,0.5,,0.8,,0.1,,1.1,,2,,0.6,1
2003,,2.9,,2,,0.8,,0.3,,0.6,,1.2,,2,0.7
2004,,1.5,,2,,2.2,,0.8,,1,,1.6,,1.8,1.1
2005,,3,,3.3,,2.1,,2.6,,2.9,,2.5,,2.8,2.7
2006,,3.4,,2.5,,3.2,,1.7,,0.5,,0.8,,2.9,1.2
2007,,1.2,,3,,3.6,,2.5,,2,,2.1,,2.4,2.3
2008,,2.8,,2.9,,3.6,,2.9,,1.1,,-3,,3,0.8
2009,,-2.2,,-1.3,,1.4,,0.3,,0.8,,0.7,,-1.1,0.6
2010,,0.5,,0.1,,-0.2,,0.1,,0.5,,1.1,,0.2,0.5
2011,,2.1,,3.5,,2.8,,2.3,,0.3,,0.3,,2.7,1.2
2012,,0.6,,1.7,,0.9,,0.9,,0.3,,0.4,,1,0.6
2013,,1,,0.6,,1.2,,-0.5,,0.3,,0.7,,0.9,0.2
2014,,2,,2.2,,1.7,,0.4,,0,,-0.3,,1.9,0.2
2015,,0.1,,0.4,,1.5,,1.3,,0.7,,0.1,,0.4,0.9
2016,,0.3,,0.8,,1.5,,1.3,,1.1,,1.4,,0.7,1.3
2017,,2.6,,1.6,,0.6,,-0.4,,1.1,,1.2,,1.8,0.6
2018,,3.6,,2.4,,3,,0,,1,,-0.1,,2.6,0.7
2019,,1.2,,1.2,,1.3,,0.7,,0.3,,0.7,,1.1,0.6
2020,,0.7,,-0.8,,0.1,,0.7,,1.8,,1,,0,1.1
2021,,0.7,,2.3,,4,,3.5,,3.4,,3,,2.1,3.3
2022,,5.6,,5.6,,6.9,,4.4,,3.8,,2.8,,5.8,4
2023,,4.6,,5,,4.1,,3.1,,2.3,,1.5,,4.3,2.5
2024,,1.7,,2.1,,1.9,,0.9,,0.5,,0.9,,1.9,0.9
2025,,2,,1.6,,,,,,,,,,,
