Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,4.3,,,,,,10.9,,,
1920,,,,,,7.4,,,,,,-5.7,,,
1922,,,-2,,,-2.7,,,-1.4,,,0,,,
1923,,,-0.7,,,0,,,2.8,,,2.7,,,
1924,,,-1.4,,,-2.7,,,0.7,,,1.4,,,
1925,,,,,,2,,,,,,1.3,,,
1926,,,,,,-2,,,,,,0,,,
1927,,,,,,0,,,,,,-0.7,,,
1928,,,,,,-0.7,,,,,,1.4,,,
1929,,,,,,-1.3,,,,,,0.7,,,
1930,,,,,,-2,,,,,,-3.4,,,
1931,,,,,,-5.7,,,,,,-3,,,
1932,,,,,,-5.4,,,,,,-1.6,,,
1933,,,,,,-2.5,,,,,,3.4,,,
1934,,,,,,0.8,,,,,,,,,
1936,0.8,,,-0.8,,,0,,,,,,,,
1937,,,3.2,,,3.2,,,0.8,,,1.6,,,
1938,,,-0.8,,,-1.5,,,0,,,0,,,
1939,,,-0.8,,,-2.3,,,0.8,,,0.8,,,
1940,,,-1.6,,,0,,,0.8,,,1.6,,,
1941,,,1.6,2.3,2.3,3.9,3.9,3.9,5.4,5.3,6.9,5.3,,,
1942,7.5,7.5,7.4,7.2,5.7,6.4,4.2,4.9,4.1,3.4,5.4,4.7,,,
1943,5.4,4,4.6,5.9,3.8,3.8,0.6,0,-0.6,-1.2,-0.6,-0.6,,,
1944,1.9,1.9,1.9,1.3,1.9,1.2,1.9,2.5,1.9,2.5,1.2,3.1,,,
1945,1.8,1.2,1.8,1.2,0.6,0,1.2,1.2,0.6,0,1.8,2.4,,,
1946,0.6,0,0.6,0.6,0,1.2,7.1,11.3,13,14.8,18.2,16.7,,,
1947,10.4,7,6.3,5.2,1,-1,,,3.4,,,6.5,,,
1948,,,3.3,,,2.8,,,3.2,,,1.8,,,
1949,,,-1.3,,,-1.8,,,-0.9,,,-1.4,,,
1950,,,-0.5,,,0,,,1.4,,,5.5,,,
1951,,,7.7,,,3.5,,,-0.4,,,2.5,,,
1952,,,2.5,,,2.1,,,1.6,,,0.4,,,
1953,,,0.8,,,0.4,,,1.2,,,0.8,,,
1954,,,-0.4,,,-0.4,,,-0.4,,,-0.8,,,
1955,,,-0.4,,,0,,,0,,,0,,,
1956,,,0.8,,,2,,,2,,,3.1,,,
1957,,,2.7,,,0.8,,,1.1,,,1.9,,,
1958,,,2.6,,,2.6,,,1.1,,,0,,,
1959,,,0.7,,,1.1,,,1.4,,,1.8,,,
1960,,,0.4,,,0.4,,,1.4,,,1.4,,,
1961,,,0.3,,,-0.3,,,0.7,,,1,,,
1962,,,1,,,1,,,0.3,,,0.3,,,
1963,,,0.7,,,1,,,1,,,1,,,
1964,,,0.7,,,0.3,,,0.7,,,1,,,
1965,,,1.3,,,1.3,,,0.3,,,0.6,,,
1966,,,1.9,,,1.3,,,1.3,,,1.6,,,
1967,,,0.6,,,1.3,,,2.8,,,2.2,,,
1968,,,1.8,,,2.7,,,2.4,,,1.8,,,
1969,,,2.6,,,3.2,,,3.1,,,3.1,,,
1970,,,2.5,,,2.2,,,2.2,,,2.4,,,
1971,,,1.8,,,1.3,,,1.6,,,1.5,,,
1972,,,1.5,,,2,,,2.5,,,1.7,,,
1973,,,2.4,,,3.4,,,4.5,,,3.5,,,
1974,,,3.4,,,6.4,,,6.4,,,5.8,,,
1975,,,5.2,,,4.2,,,3.6,,,3.5,,,
1976,,,2.5,,,1.7,,,2.8,,,3.1,,,
1977,,,3.4,,,5,,,4.7,,,3.6,,,
1978,,,,,,6.4,,8.3,,5.4,,0.8,,,
1979,,-0.5,,2.7,,5.8,,7.1,,6,,8.4,,,
1980,,10.3,,10,,7.7,,4.2,,3.4,,2.7,,,
1981,,3.8,,7.3,,7.5,,10.5,,9.9,,7.3,,,
1982,,2.8,,0.6,,3.7,,2.9,,1.2,,-3.5,,,
1983,,-2.3,,-1,,3.1,,2.9,,2.1,,1.4,,,
1984,,1.9,,3.5,,3.7,,3.7,,3.5,,2.2,,,3.3
1985,,1.6,,0.9,,2.3,,2.2,,1.9,,0.9,,1.6,1.8
1986,,1.6,,0.8,,2.3,,1.3,,2.4,,-0.1,,1.5,1.4
1987,,0.9,,1.5,,2.9,2.9,2.4,2.6,2,2,2.1,,1.5,2.3
1988,2.2,1.6,2.1,1.4,2,2.3,2.1,3.5,2.5,3,2.1,2.1,,2,2.5
1989,2.6,1.6,3.1,2.5,3.4,2.9,2.7,3.3,0.7,1.7,0.7,1,,2.7,1.7
1990,0.9,0.9,2.5,2.5,2.8,3.3,3,3,3.1,3,3,2.7,,2.1,3
1991,3.3,2.3,1.7,0.9,1.1,1.9,1.1,2.2,2.5,2.8,2.6,1.6,,1.9,2.1
1992,1.5,1.4,1.6,1.4,1.5,1.5,1.4,1.2,1.3,1.9,1.6,1.7,,1.4,1.6
1993,2,2,1.4,1.7,1.9,1.2,0.7,0.5,0.5,0.1,0.2,0.6,,1.7,0.5
1994,1,0.8,1.2,0.7,0.7,0.7,0.9,1.4,0.8,0.9,1,0.9,,0.8,1
1995,0.9,0.7,1.1,1.4,1,1.5,0.8,0.7,0.8,0.7,0.7,0.3,,1.1,0.7
1996,0.9,1.1,0.4,0.9,1.8,2,2,1.6,2.2,1.9,1.2,0.5,,1.2,1.6
1997,0.7,1.5,1.9,1.7,1.8,2.6,2.3,2.1,1.5,1.8,1.8,1.6,,1.7,1.9
1998,,1.2,,1.3,,1.8,,2.1,,1.6,,1.1,,1.4,1.6
1999,,1.7,,3,,2.6,,2.4,,1.7,,1.6,,2.3,2
2000,,1.7,,2,,2.6,,2.9,,2.6,,2.8,,2,2.8
2001,,3.4,,3.1,,3.7,,1.6,,1.4,,-0.2,,3.3,1.3
2002,,0.2,,0.7,,1.4,,1.2,,0.7,,0,,0.6,0.7
2003,,2.2,,1.5,,1.6,,-0.7,,-0.5,,-0.5,,1.6,-0.4
2004,,0.9,,1,,1.9,,0.3,,1,,0.3,,1.1,0.7
2005,,1.3,,1.1,,0.9,,0.9,,1.7,,1.1,,1,1.2
2006,,2,,1.5,,2.8,,1.7,,1,,0.6,,2,1.3
2007,,1.4,,2.3,,2.7,,1.2,,1,,1.1,,2,1.2
2008,,1.6,,1.9,,3.1,,2.6,,1.7,,-3,,2,0.9
2009,,-1.4,,-0.9,,3.3,,1.6,,1,,-0.6,,-0.2,1
2010,,0.2,,0.7,,1.7,,0.8,,0.2,,-0.2,,0.7,0.4
2011,,0.9,,2.6,,2.6,,2,,0.5,,0.3,,1.8,1.1
2012,,1,,1.6,,2.3,,1.8,,1.6,,-0.1,,1.4,1.3
2013,,0.6,,0.8,,2.7,,1.4,,0.8,,-0.1,,1.1,0.9
