Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1919,,,,,,1.3,,,,,,13.6,,,
1920,,,,,,14.7,,,,,,-10.9,,,
1922,,,-5.2,,,-1.2,,,-0.6,,,-0.6,,,
1923,,,1.9,,,1.2,,,2.4,,,1.2,,,
1924,,,-1.2,,,-0.6,,,0,,,1.2,,,
1925,,,,,,2.4,,,,,,2.3,,,
1926,,,,,,-0.6,,,,,,0,,,
1927,,,,,,0,,,,,,-2.8,,,
1928,,,,,,-1.2,,,,,,0,,,
1929,,,,,,1.2,,,,,,0.6,,,
1930,,,,,,-2.3,,,,,,-4.8,,,
1931,,,,,,-6.9,,,,,,-4.7,,,
1932,,,,,,-5.6,,,,,,-3.7,,,
1933,,,,,,-2.3,,,,,,2.4,,,
1934,,,,,,2.3,,,,,,,,,
1936,0.7,,,0,,,0.7,,,,,,,,
1937,,,0.7,,,2.9,,,2.1,,,0,,,
1938,,,-3.4,,,-2.1,,,0,,,-1.4,,,
1939,,,-1.4,,,-1.4,,,1.4,,,1.5,,,
1940,,,-1.4,,,0,,,0.7,,,2.2,,,
1941,,,1.4,2.2,2.2,2.8,2.8,4.3,6.4,6.3,7.7,6.2,,,
1942,7.6,7.5,6.7,6.6,5.2,5.2,3.8,3.8,1.3,1.9,2.5,3.1,,,
1943,2.5,2.5,4.3,4.3,4.8,3,3,2.4,1.2,0,-1.2,-0.6,,,
1944,0,-0.6,0,0.6,1.2,1.2,2.3,2.4,1.8,0.6,0.6,0.6,,,
1945,0,0,0,0.6,1.1,1.7,1.1,1.7,1.1,1.7,0,1.1,,,
1946,1.1,0.6,1.7,1.7,2.3,2.2,8.9,11.8,11.2,13.3,16.7,15.3,,,
1947,8.2,6,9,5.9,2.4,2.8,,,6.5,,,7.8,,,
1948,,,1.3,,,2.6,,,4.3,,,-0.4,,,
1949,,,-3.3,,,-0.8,,,0,,,-1.3,,,
1950,,,-0.8,,,0.4,,,3.4,,,6,,,
1951,,,6.6,,,3.6,,,0.4,,,2.7,,,
