Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1998,,,,,,,,,,,,,,1.9,0.6
1999,,,,,,,,,,,,,,1.1,1.7
2000,,,,,,,,,,,,,,2.3,0.8
2001,,,,,,,,,,,,,,1.2,1.1
2002,,,,,,,,,,,,,,1.7,2.2
2003,,,,,,,,,,,,,,1.3,0.6
2004,,,,,,,,,,,,,,1.5,1.4
2005,,,,,,,,,,,,,,2,2.5
2006,,,,,,,,,,,,,,1.9,1.6
2007,,,,,,,,,,,,,,3.6,1.5
2008,,,,,,,,,,,,,,2.3,0.3
2009,,,,,,,,,,,,,,-0.9,1.4
2010,,,,,,,,,,,,,,1.1,0.2
2011,,,,,,,,,,,,,,2.2,1
2012,,,,,,,,,,,,,,1.4,0.9
2013,,,,,,,,,,,,,,0.9,0.3
2014,,,,,,,,,,,,,,1.7,0.1
2015,,,,,,,,,,,,,,0.2,0.1
2016,,,,,,,,,,,,,,0.4,1.4
2017,,,,,,,,,,,,,,1.4,0.9
2018,,,,,1.8,,1.3,,1.2,,0.5,,,1.3,0.8
2019,-0.8,,0.5,,1.7,,2.9,,1,,0.3,,,0.7,1.2
2020,0.8,,1,,0.6,,0.9,,2.2,,2.6,,,1,1.9
2021,2.4,,2.6,,3.6,,4,,3.4,,4.3,,,3.1,3.9
2022,5.3,,6.5,,6.8,,5.6,,3.7,,2.6,,,6.4,3.6
2023,3.1,,3.9,,4.6,,2.7,,2.7,,0.6,,,4,2
2024,1.2,,1,,1.2,,1.2,,0.2,,0.3,,,1.2,0.5
2025,1,,1.9,,2.3,,,,,,,,,,
