Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,9,,,
1915,,,,,,,,,,,,9,8.9,,
1916,,,,,,,,,,,,10.4,9.7,,
1917,,,,,,,,,,,,12.9,11.9,,
1918,,,,,,,,,,,,15.7,14.3,,
1919,,,,,,15.9,,,,,,17.3,16.3,,
1920,,,,,,19.2,,,,,,17.5,18.3,,
1921,,,,,16.1,,,,16.1,,,15.7,16.2,,
1922,,,15.4,,,15.4,,,15.2,,,15.5,15.4,,
1923,,,15.5,,,15.8,,,16,,,15.9,15.7,,
1924,,,15.7,,,15.8,,,15.7,,,15.8,15.7,,
1925,,,,,,16.2,,,,,,16.6,16.2,,
1926,,,,,,16.4,,,,,,16.3,16.4,,
1927,,,,,,16.2,,,,,,15.9,16,,
1928,,,,,,15.9,,,,,,15.7,15.9,,
1929,,,,,,15.8,,,,,,15.9,15.9,,
1930,,,,,,15.8,,,,,,15.2,15.6,,
1931,,,,,,14.3,,,,,,13.9,14.4,,
1932,,,,,,13,,,,,,12.6,13.1,,
1933,,,,,,12.2,,,,,,12.8,12.5,,
1934,,,,,,12.9,,,,,13.1,,13,,
1935,,,13.2,,,,13.3,,,13.3,,,13.3,,
1936,13.5,,,13.4,,,13.4,,13.6,,,13.4,13.4,,
1937,,,13.7,,,13.7,,,13.9,,,13.8,13.8,,
1938,,,13.5,,,13.5,,,13.5,,,13.5,13.5,,
1939,,,13.4,,,13.4,,,13.6,,,13.3,13.4,,
1940,,,13.4,,,13.6,,,13.5,13.5,13.5,13.6,13.5,,
1941,13.6,13.6,13.7,13.8,14,14.3,14.4,14.5,14.8,14.9,15,15.2,14.3,,
1942,15.4,15.5,15.7,15.8,15.9,16.1,16,16.1,16.2,16.3,16.3,16.5,16,,
1943,16.6,16.6,16.9,17.1,17.4,17.4,17.1,17,17.1,17.2,17,17.1,17,,
1944,17.1,17,17.1,17.1,17.2,17.3,17.4,17.4,17.3,17.4,17.5,17.5,17.3,,
1945,17.6,17.6,17.6,17.6,17.8,18,18,18,18,17.9,17.9,18,17.8,,
1946,18,17.8,17.9,18.1,18.1,18.4,19.4,19.9,20.1,20.5,21,21.1,19.2,,
1947,21.2,21.1,21.7,21.7,21.6,21.8,,,22.8,,,23.3,22.1,,
1948,,,23.2,,,23.9,,,24.4,,,23.7,23.8,,
1949,,,23.7,,,23.8,,,23.8,,,23.4,23.7,,
1950,,,23.4,,,23.6,,,24.4,,,24.7,23.9,,
1951,,,25.4,,,25.6,,,25.7,,,26.1,25.6,,
1952,,,26.1,,,26.2,,,26.7,,,26.5,26.3,,
1953,,,26.5,,,26.7,,,26.7,,,26.6,26.6,,
1954,,,26.6,,,26.8,,,26.7,,,26.6,26.7,,
1955,,,26.7,,,26.7,,,26.8,,,26.9,26.7,,
1956,,,26.7,,,27.1,,,27.3,,,27.7,27.1,,
1957,,,27.8,,,28.2,,,28.3,,,28.4,28.1,,
1958,,,28.8,,,29,,,29,,,29.1,28.9,,
1959,,,29.4,,,29.4,,,29.6,,,29.5,29.4,,
1960,,,29.6,,,29.8,,,29.9,,,30,29.8,,
1961,,,30.1,,,30.1,,,30.1,,,30.1,30.1,,
1962,,,30.1,,,30.2,,,30.5,,,30.4,30.3,,
1963,,,30.6,,,30.8,,,30.8,,,31,30.8,,
1964,,,31,,,31.1,,,31.1,,,31.3,31.1,,
1965,,,31.2,,,31.7,,,31.7,,,31.9,31.6,,
1966,,,32.4,,,32.7,,,32.9,,,33,32.7,,
1967,,,33.1,,,33.3,,,33.9,,,33.8,33.4,,
1968,,,34.2,,,34.7,,,35.2,,,35.7,34.8,,
1969,,,36.2,,,36.8,,,37.5,,,38,36.9,,
1970,,,38.4,,,39,,,39.5,,,40.4,39.1,,
1971,,,40.8,,,41.3,,,41.6,,,41.8,41.3,,
1972,,,41.8,,,42,,,42.7,,,42.8,42.2,,
1973,,,44.1,,,44.7,,,46,,,47,45.1,,
