Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,10,,,
1915,,,,,,,,,,,,10.2,10.1,,
1916,,,,,,,,,,,,11.6,10.9,,
1917,,,,,,,,,,,,13.5,12.9,,
1918,,,,,,,,,,,,16.3,14.9,,
1919,,,,,,16.6,,,,,,18.9,17.3,,
1920,,,,,,20.8,,,,,,18.9,19.8,,
1921,,,,,17.9,,,,17.8,,,17.5,18,,
1922,,,,,16.9,17,,,17,,,17.1,17,,
1923,,,17.2,,,17.3,,,17.7,,,17.7,17.4,,
1924,,,17.6,,,17.7,,,17.8,,,17.9,17.7,,
1925,,,,,,18.2,,,,,,18.6,18.2,,
1926,,,,,,18.3,,,,,,18.3,18.3,,
1927,,,,,,18.3,,,,,,17.8,17.9,,
1928,,,,,,17.6,,,,,,17.7,17.7,,
1929,,,,,,17.6,,,,,,17.7,17.6,,
1930,,,,,,17.4,,,,,,16.6,17.2,,
1931,,,,,,15.6,,,,,,14.9,15.6,,
1932,,,,,,13.6,,,,,,12.9,13.7,,
1933,,,,,,12.4,,,,,,12.7,12.6,,
1934,,,,,,12.7,,,,,12.8,,12.8,,
1935,,,13.3,,,,13.4,,,13.4,,,13.4,,
1936,13.4,,,13.3,,,13.6,,13.8,,,13.7,13.5,,
1937,,,13.9,,,14.2,,,14.4,,,14.2,14.2,,
1938,,,13.9,,,14,,,14,,,13.8,13.9,,
1939,,,13.7,,,13.6,,,13.8,,,13.7,13.7,,
1940,,,13.7,,,13.9,,,13.8,13.8,13.8,13.9,13.8,,
1941,13.9,13.9,13.9,14.1,14.2,14.4,14.6,14.7,15,15.1,15.2,15.2,14.5,,
1942,15.4,15.4,15.6,15.8,16,16,16,16.1,16.1,16.3,16.4,16.4,16,,
1943,16.4,16.5,16.8,16.9,17.1,17,16.8,16.9,17,17,16.9,16.9,16.9,,
1944,16.8,16.8,16.8,17,17,17.1,17.3,17.3,17.3,17.3,17.3,17.3,17.1,,
1945,17.3,17.3,17.3,17.3,17.6,17.6,17.6,17.6,17.5,17.5,17.5,17.6,17.5,,
1946,17.6,17.6,17.6,17.8,17.9,18,19.4,19.8,20,20.6,21,21.1,19,,
1947,21.1,21,21.5,21.4,21.5,21.8,22,22.4,23.1,23,23.1,23.4,22.1,,
1948,23.5,23.2,23.2,23.7,24,24.2,24.5,24.6,24.7,24.5,24.2,24.1,24,,
1949,24,23.8,24,24.1,24,24.2,23.9,24,24.2,24,24.1,23.8,24,,
1950,23.7,23.7,23.8,23.7,24,24,24.3,24.5,24.6,24.7,24.8,25.2,24.2,,
1951,25.5,25.9,25.9,26,26,26.1,26.2,26.2,26.3,26.5,26.7,26.6,26.1,,
1952,26.6,26.3,26.4,26.5,26.7,26.8,26.9,27,26.9,26.9,26.9,26.8,26.7,,
1953,26.7,26.6,26.6,26.7,26.8,26.9,27,27.2,27.2,27.4,27.2,27.2,26.9,,
1954,27.2,27.2,27.2,27.2,27.4,27.4,27.6,27.5,27.4,27.4,27.5,27.3,27.4,,
1955,27.3,27.4,27.3,27.3,27.4,27.4,27.6,27.7,27.8,27.8,27.8,27.7,27.5,,
1956,27.6,27.6,27.5,27.6,27.7,27.9,28.2,28,28.1,28.3,28.3,28.3,27.9,,
