Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1963,,,,,,,,,,,29.5,,,,
1964,,29.4,,,29.6,,,29.5,,,29.7,,29.5,,
1965,,29.5,,,29.8,,,30,,,30.3,,29.9,,
1966,,30.5,,,30.9,,,31.1,,,31.4,,31,,
1967,,31.6,,,31.7,,,32.1,,,32.2,,31.9,,
1968,,32.5,,,33.2,,,33.5,,,34,,33.3,,
1969,,34.4,,,35.2,,,35.7,,,36.5,,35.5,,
1970,,37,,,37.5,,,37.8,,,37.9,,37.6,,
1971,,38.2,,,38.4,,,39.1,,,39,,38.7,,
1972,,39.4,,,39.7,,,40,,,40.1,,39.8,,
1973,,40.7,,,41.6,,,42.6,,,43.2,,42.1,,
1974,,44.5,,,45.6,,,47,,,48.2,,46.3,,
1975,,49.1,,,49.7,,,51.2,,,51.8,,50.4,,
1976,,52.2,,,53,,,53.9,,,54.7,,53.5,,
1977,,55.9,,,57.2,,,58.1,,,58.6,,57.4,,
1978,,59.5,,60.3,,61.7,,62.9,,63.7,,64.3,61.8,,
1979,,65.6,,67.3,,69.3,,71.1,,72.7,,74.6,69.7,,
1980,,77,,80.1,,81.7,,82.4,,84.4,,85.9,81.5,,
1981,,87.5,,89.1,,91.2,,91.9,,93.2,,94.1,90.8,,
1982,,93.6,,94.7,,97.2,,97,,97.8,,96.7,96,,
1983,,97.1,,98.4,,100.1,,100.7,,101.5,,101.2,99.7,,
1984,,102.9,,103.3,,103.8,,105.1,,106.4,,105.4,104.3,103.1,105.5
1985,,106.2,,107,,108.3,,109.5,,109.6,,109.8,108.2,106.9,109.5
1986,,110.6,,108.8,,109.9,,110.4,,110.3,,109.3,109.9,109.8,110
1987,,110.9,,112.2,,112.9,,113.5,,114.9,,113.9,112.9,111.7,114
1988,,114,,115.4,,115.6,,117.2,,117.9,,117.2,116.1,114.9,117.3
1989,,117.5,,118.7,,120,,120,,121.4,,120.5,119.5,118.5,120.6
1990,,122.2,,122.9,,123.8,,126,,129.5,,128.4,125.1,122.7,127.6
1991,,129.4,,129.5,,130.1,,131.1,,133.6,,132,130.8,129.5,132.1
1992,,132.4,,132.5,,134.2,,134.4,,136.1,,134.6,133.9,132.8,135
1993,,135.4,,137,,136.2,,138.1,,139.6,,138.8,137.3,136.1,138.6
1994,,139.2,,140.3,,141.4,,142.2,,142.8,,141.9,141.2,140.1,142.3
1995,,143.3,,145,,144.4,,145.1,,146.8,,145.5,144.9,144,145.7
1996,,146.2,,148.5,,149.4,,149.5,,150.7,,150,148.8,147.7,150
1997,,150.7,,150.6,,151.4,,151.2,,152.8,,152.5,151.4,150.8,152.1
1998,152.1,,153,,153,,154.2,,154.5,,154,,153.6,152.9,154.3
1999,155,,156.4,,157.2,,158.3,,159.8,,160.1,,158,156.5,159.6
2000,160.4,,163.1,,163.2,,166.2,,166.9,,166.8,,164.7,162.7,166.7
2001,167.3,,168.9,,169.4,,171.5,,172.8,,171.5,,170.4,168.9,171.8
2002,170.6,,172.1,,172.9,,172.9,,173.2,,173.6,,172.7,172.1,173.3
2003,174,,176.8,,176.9,,176.5,,177,,175.9,,176.2,176.1,176.4
2004,175.7,,177.7,,179.1,,179.1,,179.7,,179.9,,178.7,177.8,179.6
2005,180,,181.3,,183.5,,184.3,,188.9,,187.8,,184.7,182,187.4
2006,188.6,,188.4,,191.2,,191.7,,192,,188.4,,190.1,189.7,190.5
2007,188.89,,190.156,,192.779,,194.286,,194.847,,196.465,,193.245,191.057,195.433
2008,197.079,,198.596,,202.357,,206.413,,205.883,,200.051,,201.791,200.118,203.463
2009,198.623,,200.039,,199.311,,200.663,,201.802,,201.958,,200.544,199.494,201.595
2010,202.106,,201.982,,202.108,,200.227,,201.882,,201.168,,201.624,201.908,201.339
2011,203.199,,206.967,,208.794,,208.602,,209.255,,209.283,,207.933,206.768,209.097
2012,209.203,,212.618,,212.226,,211.267,,214.033,,212.901,,212.227,211.52,212.935
2013,213.696,,216.465,,215.67,,216.979,,217.068,,215.45,,215.995,215.55,216.441
2014,216.291,,218.715,,219.59,,219.543,,219.38,,217.188,,218.392,218.469,218.316
2015,214.899,,217.487,,218.484,,218.676,,217.507,,217.104,,217.5,217.375,217.625
2016,217.164,,218.877,,220.717,,221.507,,221.923,,222.259,,220.677,219.223,222.132
2017,223.082,,223.782,,225.264,,225.613,,229.056,,229.352,,226.103,224.203,228.003
2018,229.132,,230.272,,234.034,,233.57,,234.563,,234.487,,232.788,231.57,234.007
2019,233.915,,236.495,,237.485,,238.891,,239.815,,238.768,,237.732,236.42,239.045
2020,238.935,,238.865,,236.317,,239.888,,240.658,,239.544,,239.081,237.91,240.253
2021,242.513,,246.995,,251.228,,253.319,,254.95,,257.394,,251.62,247.42,255.82
2022,261.499,,269.347,,274.196,,277.005,,278.297,,279,,273.855,269.525,278.184
2023,281.117,,284.862,,287.133,,288.006,,291.001,,293.591,,287.974,284.846,291.103
2024,296.121,,298.719,,301.567,,299.767,,298.653,,299.096,,299.324,299.273,299.376
2025,304.32,,303.017,,303.355,,,,,,,,,,
