Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,9.7,,,
1915,,,,,,,,,,,,10.1,9.8,,
1916,,,,,,,,,,,,11.7,10.8,,
1917,,,,,,,,,,,,14.3,13.3,,
1918,,,,,,,,,,,,17,15.7,,
1919,,,,,,17.8,,,,,,19.9,18.2,,
1920,,,,,,22.9,,,,,,21.2,21.8,,
1921,,,,,19,,,,18.5,,,17.9,19,,
1922,,,17.3,,,17.4,,,17.3,,,17.5,17.4,,
1923,,,17.7,,,18,,,18.4,,,18.2,18,,
1924,,,18.1,,,18.1,,,17.9,,,17.9,18,,
1925,,,,,,18.3,,,,,,18.6,18.2,,
1926,,,,,,18.4,,,,,,18.2,18.3,,
1927,,,,,,18.2,,,,,,17.7,17.9,,
1928,,,,,,17.4,,,,,,17.4,17.5,,
1929,,,,,,17.6,,,,,,17.5,17.6,,
1930,,,,,,17.2,,,,,,15.9,16.9,,
1931,,,,,,14.8,,,,,,13.9,14.8,,
1932,,,,,,12.9,,,,,,12.1,12.8,,
1933,,,,,,11.7,,,,,,12.3,12.1,,
1934,,,,,,12.8,,,,,12.8,,12.8,,
1935,,,13.3,,,,13.4,,,13.4,,,13.4,,
1936,13.6,,,13.6,,,14,,14.1,,,14,13.8,,
1937,,,14.4,,,14.8,,,14.9,,,15,14.7,,
1938,,,14.6,,,14.5,,,14.3,,,14.2,14.4,,
1939,,,14,,,13.9,,,14.1,,,14,14,,
1940,,,14.1,,,14.2,,,14.1,14.1,14.1,14.2,14.1,,
1941,14.2,14.3,14.4,14.6,14.6,15,15,15.1,15.4,15.7,15.8,15.9,15,,
1942,16.1,16.2,16.5,16.7,16.7,16.7,16.7,16.6,16.7,16.9,17,17.1,16.7,,
1943,17.1,17.2,17.5,17.6,17.9,17.9,17.8,17.5,17.5,17.6,17.5,17.7,17.5,,
1944,17.6,17.5,17.5,17.7,17.7,17.8,18,18,18,17.9,17.9,18,17.8,,
1945,18,18,18,18,18.2,18.4,18.4,18.5,18.4,18.4,18.5,18.5,18.3,,
1946,18.6,18.6,18.6,18.8,19,19.2,20.4,20.5,20.7,21,21.4,21.6,19.9,,
