Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,10.2,,,
1915,,,,,,,,,,,,10.3,10.1,,
1916,,,,,,,,,,,,11.6,10.8,,
1917,,,,,,,,,,,,14.1,13.1,,
1918,,,,,,,,,,,,17,15.5,,
1919,,,,,,17.5,,,,,,19.2,17.9,,
1920,,,,,,21.3,,,,,,19.9,20.5,,
1921,,,,,18.1,,,,17.9,,,17.7,18.2,,
1922,,,17.3,,,17.3,,,16.9,,,17.3,17.2,,
1923,,,17.3,,,17.6,,,17.8,,,17.8,17.6,,
1924,,,17.6,,,17.7,,,17.6,,,18,17.7,,
1925,,,,,,18.4,,,,,,18.9,18.4,,
1926,,,,,,18.8,,,,,,18.7,18.7,,
1927,,,,,,18.5,,,,,,18.3,18.3,,
1928,,,,,,18.1,,,,,,17.8,18,,
1929,,,,,,17.8,,,,,,17.9,17.8,,
1930,,,,,,17.5,,,,,,16.8,17.4,,
1931,,,,,,15.9,,,,,,15.3,15.9,,
1932,,,,,,14.2,,,,,,13.5,14.2,,
1933,,,,,,13.2,,,,,,13.8,13.5,,
1934,,,,,,14.2,,,,,14.1,,14.2,,
1935,,,14.2,,,,14.2,,,14.4,,,14.3,,
1936,14.5,,,14.4,,,14.5,,14.6,,,14.6,14.5,,
1937,,,14.8,,,14.9,,,15.1,,,14.7,14.9,,
1938,,,14.5,,,14.6,,,14.5,,,14.4,14.5,,
1939,,,14.2,,,14.2,,,14.5,,,14.3,14.3,,
1940,,,14.3,,,14.4,,,14.3,14.3,14.3,14.4,14.3,,
1941,14.4,14.4,14.5,14.6,14.7,15,15,15.2,15.5,15.7,15.7,15.8,15,,
1942,16.1,16.1,16.3,16.5,16.6,16.7,16.9,16.9,17,17.1,17.2,17.4,16.7,,
1943,17.4,17.4,17.6,18,18.1,18,17.8,17.8,17.8,17.9,17.9,17.9,17.8,,
1944,17.9,17.9,17.8,17.9,18,18.1,18.1,18.2,18.2,18.1,18.1,18.2,18,,
1945,18.3,18.4,18.3,18.3,18.5,18.6,18.7,18.7,18.6,18.6,18.6,18.7,18.5,,
1946,18.7,18.7,18.8,18.9,19,19.2,20.3,20.9,21.2,21.5,21.9,22.2,20.1,,
1947,22.1,22,22.7,22.5,22.5,22.8,23,23.2,23.7,23.6,23.8,24.2,23,,
1948,24.4,24.2,24,24.6,24.8,25,25.1,25.4,25.4,25.3,25,24.8,24.8,,
1949,24.6,24.5,24.6,24.6,24.7,24.6,24.4,24.5,24.6,24.6,24.5,24.3,24.5,,
1950,24.1,24.1,24.2,24.2,24.3,24.5,24.7,24.9,25.1,25.2,25.2,25.8,24.7,,
1951,26.3,26.9,26.9,27,27,26.9,26.9,26.9,27,27.1,27.4,27.4,27,,
1952,27.4,27.1,27.2,27.3,27.3,27.4,27.7,27.7,27.7,27.7,27.7,27.7,27.5,,
1953,27.6,27.4,27.5,27.4,27.5,27.7,27.7,27.7,27.8,27.8,27.7,27.7,27.6,,
1954,27.8,27.8,27.7,27.8,27.8,28,28.1,28,28,28,28,27.9,27.9,,
1955,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.8,27.8,27.7,27.7,27.9,,
1956,27.7,27.7,27.9,28,28,28.2,28.5,28.5,28.6,28.6,28.5,28.6,28.2,,
1957,28.7,28.9,28.9,28.9,28.9,29,29.2,29.4,29.4,29.4,29.5,29.5,29.1,,
1958,29.5,29.5,29.7,29.7,29.7,29.7,29.8,29.8,29.8,29.8,29.8,29.8,29.7,,
