Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,9.2,,,
1915,,,,,,,,,,,,9.2,9.2,,
1916,,,,,,,,,,,,10,9.5,,
1917,,,,,,,,,,,,11.6,10.9,,
1918,,,,,,,,,,,,14.1,12.9,,
1919,,,,,,14.7,,,,,,16.3,15,,
1920,,,,,,17.5,,,,,,16.5,17,,
1921,,,,,15.2,,,,15,,,15,15.3,,
1922,,,14.7,,,14.6,,,14.5,,,14.6,14.6,,
1923,,,14.4,,,14.6,,,14.8,,,15,14.7,,
1924,,,14.6,,,14.6,,,14.7,,,14.8,14.7,,
1925,,,,,,15.1,,,,,,15.3,15.1,,
1926,,,,,,15,,,,,,15,15,,
1927,,,,,,15,,,,,,14.9,14.9,,
1928,,,,,,14.8,,,,,,15,14.8,,
1929,,,,,,14.8,,,,,,14.9,14.9,,
1930,,,,,,14.6,,,,,,14.1,14.5,,
1931,,,,,,13.3,,,,,,12.9,13.3,,
1932,,,,,,12.2,,,,,,12,12.3,,
1933,,,,,,11.7,,,,,,12.1,11.8,,
1934,,,,,,12.2,,,,,12.5,,12.1,,
1935,,,12.6,,,,12.3,,,12.3,,,12.4,,
1936,12.4,,,12.2,,,12.4,,12.4,,,12.4,12.4,,
1937,,,12.8,,,12.8,,,12.9,,,13,12.8,,
1938,,,12.8,,,12.8,,,12.8,,,12.8,12.8,,
1939,,,12.7,,,12.5,,,12.8,,,12.6,12.6,,
1940,,,12.6,,,12.6,,,12.7,12.8,12.8,12.8,12.7,,
1941,12.8,12.9,12.9,13.1,13.1,13.3,13.3,13.4,13.6,13.8,14,14,13.4,,
1942,14.3,14.4,14.6,14.8,14.8,14.9,14.9,15.1,15.2,15.3,15.6,15.6,15,,
1943,15.7,15.7,15.9,16.2,16.2,16.2,15.8,15.7,15.8,16,16.1,16.1,16,,
1944,16.1,16,16.1,16.2,16.4,16.3,16.4,16.4,16.4,16.6,16.6,16.8,16.4,,
1945,16.7,16.6,16.7,16.8,16.7,16.8,16.9,16.8,16.8,16.8,17,17.2,16.8,,
1946,17,16.8,16.9,16.9,17,17.4,18.2,18.7,19.1,19.4,20.1,20.3,18.2,,
1947,20.1,20,20.3,20.4,20.3,20.1,,,21,,,21.4,20.6,,
1948,,,21.7,,,22,,,22.4,,,22.4,22,,
1949,,,22.1,,,22,,,21.9,,,21.7,22,,
1950,,,21.8,,,21.7,,,22.1,,,22.9,22,,
1951,,,23.8,,,23.7,,,23.7,,,24.3,23.8,,
1952,,,24.3,,,24.8,,,24.7,,,24.9,24.6,,
1953,,,24.9,,,25,,,25.2,,,25.2,25,,
1954,,,25.1,,,25.1,,,25,,,24.9,25.1,,
1955,,,24.9,,,24.9,,,24.9,,,24.9,24.9,,
1956,,,25.1,,,25.4,,,25.6,,,26.2,25.5,,
1957,,,26.3,,,26.4,,,26.6,,,26.9,26.5,,
1958,,,27.3,,,27.6,,,27.6,,,27.6,27.5,,
1959,,,27.8,,,27.9,,,28.2,,,28.4,28,,
1960,,,28.3,,,28.5,,,28.7,,,28.9,28.6,,
1961,,,28.8,,,28.8,,,29,,,29.1,28.9,,
1962,,,29.3,,,29.4,,,29.4,,,29.5,29.4,,
1963,,,29.6,,,29.8,,,29.9,,,30.1,29.8,,
1964,,,30.1,,,30.2,,,30.3,,,30.5,30.2,,
1965,,,30.7,,,30.9,,,30.8,,,31.1,30.8,,
1966,,,31.4,,,31.5,,,31.8,,,32,31.6,,
1967,,,32,,,32.4,,,32.9,,,33.1,32.5,,
1968,,,33.5,,,34,,,34.3,,,34.6,34,,
1969,,,35.2,,,35.7,,,36.3,,,36.8,35.8,,
1970,,,37.2,,,37.6,,,38,,,38.5,37.7,,
1971,,,38.7,,,39,,,39.3,,,39.6,39.1,,
1972,,,39.9,,,40.4,,,40.9,,,41.1,40.4,,
1973,,,41.9,,,42.5,,,43.8,,,44,42.8,,
1974,,,45.3,,,46.8,,,48.2,,,49.5,47,,
1975,,,50.7,,,51.6,,,52.5,,,53.4,51.8,,
1976,,,53.8,,,54.3,,,55.3,,,56,54.6,,
1977,,,57.2,,,58.8,,,59.9,,,60.9,58.8,,
1978,,61.5,,62.7,,64.8,,66.6,,66.1,,65.3,64.3,,
1979,,66.3,,67.9,,69.1,,71,,72,,74.9,69.8,,
1980,,78.3,,79.2,,80.7,,81.6,,81.9,,82.9,80.4,,
1981,,84.7,,87.9,,89.1,,93.6,,96.6,,95.6,90.8,,
1982,,96.2,,97.2,,99.1,,99,,98.4,,95.6,97.6,,
1983,,96.7,,97.4,,98.6,,99.5,,99.4,,100,98.4,,
1984,,101.4,,102.9,,103.7,,105.2,,106.5,,106,104,102.3,105.7
1985,,106.9,,107.5,,108.4,,109.2,,109.5,,109.4,108.4,107.4,109.3
1986,,111,,110.4,,111.9,,112.4,,113.1,,111.8,111.6,110.9,112.4
1987,112.5,113.4,113.7,114.8,115,115,115.8,116.1,116.6,117.1,117.3,117.4,115.4,114.1,116.7
1988,118.4,117.9,119.1,118.7,119.7,120.1,120.9,122,122.1,122.3,122.2,122.6,120.5,119,122
1989,124,124,125.9,125.4,126.3,126.2,127.4,128.1,126.8,127.5,127.2,127.4,126.4,125.3,127.4
1990,128.5,129.2,130,130.7,130.8,131.6,132.3,133.1,134,134.6,134.7,135.1,132.1,130.1,134
1991,136.7,136.1,136.3,135.8,136.2,137.6,138.2,139.1,139.7,139.6,139.8,139.8,137.9,136.5,139.4
1992,140.3,141,141.9,141.6,141.9,141.9,142.2,142.7,143.7,144.3,144.2,144.3,142.5,141.4,143.6
1993,145.1,145.5,145.7,146.8,146.9,146.1,146.1,146.2,146.5,147,147.2,147,146.3,146,146.7
1994,147.5,147.4,148.2,148,148.3,148.1,148.9,149.4,149.4,149.4,149.8,149.4,148.7,147.9,149.4
1995,150.3,150.5,151.1,151.5,151.3,151.7,151.5,151.5,152.3,152.6,152.4,152.1,151.6,151.1,152.1
