Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1987,,,,,,,,,,,,,100,,
1988,,,,,,,,,,,,,103.7,,
1989,,,,,,,,,,,,,107.2,,
1990,,,,,,,,,,,,,111.7,,
1991,,,,,,,,,,,,,116.4,,
1992,,,,,,,,,,,,,119.2,,
1993,,,,,,,,,,,,,124,,
1994,,,,,,,,,,,,,126.5,,
1995,,,,,,,,,,,,,129.7,,
1996,,,,,,,,,,,,,131.6,,
1997,,,,,,,,,,,,,134,,134.6
1998,,,,,,,,,,,,,137.5,137.1,137.9
1999,,,,,,,,,,,,,140.6,139.4,141.8
2000,,,,,,,,,,,,,145.7,145.1,146.2
2001,,,,,,,,,,,,,148.8,148,149.6
2002,,,,,,,,,,,,,153.9,152.2,155.6
2003,,,,,,,,,,,,,158.1,157.6,158.6
2004,,,,,,,,,,,,,162,160.9,163.1
2005,,,,,,,,,,,,,168.5,166.4,170.6
2006,,,,,,,,,,,,,175.2,173.9,176.6
2007,,,,,,,,,,,,,184.288,182.886,185.689
2008,,,,,,,,,,,,,190.136,189.884,190.388
2009,,,,,,,,,,,,,189.905,188.604,191.206
2010,,,,,,,,,,,,,193.504,193.292,193.716
2011,,,,,,,,,,,,,198.938,197.908,199.968
2012,,,,,,,,,,,,,203.637,202.716,204.558
2013,,,,,,,,,,,,,206.786,206.436,207.136
2014,,,,,,,,,,,,,210.815,210.736,210.895
2015,,,,,,,,,,,,,211.557,211.414,211.699
2016,,,,,,,,,,,,,214.037,212.502,215.572
2017,,,,,,,,,,,220.102,,219.461,218.529,220.394
2018,221.794,,223.157,,224.027,,224.608,,225.874,,225.247,,224.263,223.318,225.207
2019,222.774,,226.927,,229.018,,229.334,,229.219,,229.74,,228.134,226.791,229.478
2020,231.258,,231.619,,231.032,,233.447,,236.804,,236.989,,233.844,231.698,235.989
2021,239.135,,242.91,,245.419,,248.811,,251.221,,255.851,,247.951,243.219,252.682
2022,262.052,,267.59,,273.245,,276.75,,277.49,,280.395,,273.597,268.823,278.371
2023,285.267,,288.319,,293.269,,292.974,,296.146,,295.029,,292.258,289.408,295.108
2024,296.477,,299.03,,298.673,,300.062,,299.722,,299.638,,299.315,298.617,300.012
2025,303.197,,305.407,,306.585,,,,,,,,,,
