Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,10.7,,,
1915,,,,,,,,,,,,10.8,10.6,,
1916,,,,,,,,,,,,12,11.4,,
1917,,,,,,,,,,,,15.1,13.8,,
1918,,,,,,,,,,,,17.6,16.3,,
1919,,,,,,17.3,,,,,,18.8,17.8,,
1920,,,,,,20.9,,,,,,19.1,20,,
1921,,,,,17.4,,,,17.5,,,17.1,17.6,,
1922,,,16.6,,,16.7,,,16.5,,,16.7,16.7,,
1923,,,16.6,,,17,,,17.2,,,17,16.9,,
1924,,,16.8,,,16.8,,,16.8,,,17,16.9,,
1925,,,,,,17.3,,,,,,17.6,17.3,,
1926,,,,,,17.5,,,,,,17.4,17.5,,
1927,,,,,,17.1,,,,,,16.9,17,,
1928,,,,,,16.9,,,,,,16.8,16.9,,
1929,,,,,,16.9,,,,,,16.8,16.8,,
1930,,,,,,16.6,,,,,,16.2,16.5,,
1931,,,,,,15.4,,,,,,15.1,15.5,,
1932,,,,,,14.3,,,,,,13.9,14.3,,
1933,,,,,,13.7,,,,,,14.2,13.9,,
1934,,,,,,14.3,,,,,14.5,,14.3,,
1935,,,14.5,,,,14.5,,,14.6,,,14.6,,
1936,14.7,,,14.5,,,14.7,,14.8,,,14.7,14.7,,
1937,,,15,,,15.1,,,15.2,,,15,15,,
1938,,,14.7,,,14.7,,,14.7,,,14.7,14.7,,
1939,,,14.5,,,14.5,,,14.7,,,14.5,14.6,,
1940,,,14.7,,,14.7,,,14.7,,,14.7,14.7,,
1941,,,14.8,,,15.2,,,15.7,16,16,16.2,15.3,,
1942,16.3,16.5,16.7,16.7,16.9,17,17.1,17.2,17.3,17.3,17.4,17.5,17,,
1943,17.6,17.6,17.9,18.1,18.3,18.3,18.2,18.2,18.2,18.3,18.2,18.2,18.1,,
1944,18.3,18.2,18.1,18.2,18.3,18.4,18.4,18.5,18.5,18.5,18.6,18.6,18.4,,
1945,18.6,18.6,18.6,18.7,18.9,19,19,19,19.1,19,19.1,19.2,18.9,,
1946,19.3,19.2,19.4,19.4,19.4,19.8,20.8,21.1,21.4,21.8,22.2,22.5,20.6,,
1947,22.5,22.4,22.9,22.9,22.9,23.1,,23.5,,,23.9,,23.2,,
1948,,24.1,,,24.7,,,25,,,24.7,,24.6,,
1949,,24.4,,,24.6,,,24.7,,,24.8,,24.6,,
1950,,24.4,,,24.5,,,25.1,,,25.5,,24.9,,
1951,,26.4,,,26.5,,,26.6,,,27.2,,26.6,,
1952,,27,,,27.2,,,27.6,,,27.5,,27.3,,
1953,,27.3,,,27.4,,,27.6,,,27.6,,27.5,,
1954,,27.6,,,27.4,,,27.6,,,27.4,,27.5,,
1955,,27.3,,,27.4,,,27.5,,,27.4,,27.4,,
1956,,27.4,,,27.6,,,27.9,,,28,,27.7,,
1957,,28.4,,,28.3,,,28.8,,,28.9,,28.6,,
1958,,29.1,,,29.3,,,29.3,,,29.3,,29.3,,
1959,,29.3,,,29.4,,,29.5,,,29.4,,29.4,,
1960,,29.4,,,29.7,,,29.7,,,29.9,,29.7,,
1961,,30.1,,,30,,,30.2,,,30.3,,30.1,,
1962,,30.2,,,30.3,,,30.5,,,30.6,,30.4,,
1963,,30.7,,,30.9,,,31.1,,,31.1,,30.9,,
1964,,31.2,,,31.3,,,31.6,,,31.7,,31.4,,
1965,,31.6,,,31.8,,,31.9,,,32.1,,31.9,,
1966,,32.6,,,32.8,,,33.2,,,33.3,,33,,
1967,,33.5,,,33.6,,,34.1,,,34.2,,33.9,,
1968,,34.6,,,35.2,,,35.8,,,36.3,,35.5,,
1969,,36.7,,,37.5,,,38,,,38.4,,37.7,,
1970,,39.1,,,39.7,,,40.1,,,40.4,,39.8,,
1971,,41,,,41.4,,,41.8,,,42.1,,41.6,,
1972,,42.2,,,42.5,,,43.3,,,43.9,,43,,
1973,,44.3,,,45.2,,,46.2,,,47.2,,45.7,,
1974,,48.8,,,50,,,51.7,,,52.9,,50.8,,
1975,,53.5,,,54.2,,,55.3,,,56,,54.7,,
1976,,56.6,,,57.6,,,58.6,,,59,,58,,
1977,,60.3,,,61.5,,,62.6,,,63.5,,62,,
1978,64.3,,64.7,,65.8,,67,,68,,69.1,,66.7,,
1979,70.7,,72,,73.2,,74.7,,75.5,,76.3,,74,,
1980,78.5,,80.9,,81.7,,83.7,,84.4,,85.9,,82.9,,
1981,87.1,,88.8,,89.7,,90.5,,92.1,,93.3,,90.5,,
1982,94.2,,94.4,,94.3,,95.3,,97,,97,,95.5,,
1983,98,,98,,99.2,,100.6,,100.7,,101.2,,99.8,,
1984,102.9,,103.3,,103.5,,104.4,,106,,106.7,,104.6,103.4,105.9
1985,106.6,,108.1,,108.3,,109.5,,109.6,,110.7,,109,107.9,110.2
1986,112.2,,111.5,,111.6,,111.5,,112.6,,113.1,,112.2,111.7,112.6
1987,113.7,,114.5,,115.3,,116.2,,117.8,,118.5,,116.2,114.7,117.7
1988,118.3,,119.2,,120.1,,120.7,,122.8,,123.2,,121,119.4,122.5
1989,124.3,,126.1,,127.1,,127.8,,130.1,,130.5,,128,126.1,129.8
1990,132,,133.8,,134,,135.7,,138,,138.4,,135.6,133.6,137.6
1991,139.1,,139.3,,140.9,,140.9,,143.3,,142.6,,141.2,139.9,142.4
1992,142.9,,143,,143.2,,144.8,,146,,146.9,,144.7,143.2,146.1
1993,147.8,,148.5,,149.2,,149.2,,149.7,,150.9,,149.3,148.6,150.1
1994,150.9,,151.5,,151.4,,151.8,,153.7,,153,,152.2,151.3,153
1995,153.8,,155.1,,154.7,,156.1,,156.2,,155.2,,155.3,154.7,155.9
1996,156.8,,158.4,,159,,160.1,,160.8,,161.2,,159.6,158.3,160.8
1997,161.6,,161.9,,162.1,,162.9,,163.6,,161.8,,162.4,162,162.8
1998,162.5,,163.5,,163.6,,164.9,,165.2,,164.5,,,,
1999,165.4,,165.9,,167,,168.3,,169.8,,169.1,,,,
2000,169.8,,173.2,,172.5,,174.8,,175,,175.3,,,,
2001,175.9,,177.2,,178,,179.2,,180.9,,179.5,,,,
2002,180,,181.9,,183.6,,184.2,,185.8,,185.4,,,,
2003,186.3,,188.8,,188.7,,190.2,,190.8,,190.4,,,,
2004,190.7,,192.8,,194.1,,195.4,,196.5,,197.2,,,,
2005,198.2,,200.4,,201.8,,202.8,,205.6,,204.3,,,,
2006,205.6,,206.4,,209.1,,211.4,,211.2,,210.1,,,,
2007,211.101,,214.455,,216.097,,217.198,,218.457,,218.331,,,,
2008,220.587,,222.554,,224.525,,228.918,,228.871,,223.569,,,,
2009,221.83,,222.63,,223.583,,226.084,,227.181,,226.533,,,,
2010,227.44,,228.48,,228.628,,228.432,,230.612,,230.531,,,,
2011,232.77,,235.182,,237.348,,238.191,,238.725,,238.175,,,,
2012,238.994,,242.235,,242.446,,241.744,,244.72,,243.199,,,,
2013,243.473,,245.477,,245.499,,246.178,,247.838,,247.264,,,,
2014,247.679,,249.591,,250.443,,250.326,,250.634,,249.972,,,,
