Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1960,,,,,34.2,,,,,34.4,,,,,
1961,,,,,34.4,,,,,34.8,,,34.5,,
1962,,,,,34.6,,,,,34.7,,,34.7,,
1963,,,,34.8,,,,,,34.9,,,34.8,,
1964,,,,34.8,,,,,,35.2,,,35,,
1965,,,,35.3,,,,,,35.3,,,35.3,,
1966,,,,,,,,,,36.7,,,36.3,,
1967,,,,,,,,,,37.5,,,37.2,,
1968,,,,,,,,,,38.4,,,38.1,,
1969,38.9,,,39.5,,,39.6,,,40.2,,,39.6,,
1970,40.4,,,40.5,,,41.1,,,41.8,,,41.1,,
1971,41.8,,,41.8,,,42.3,,,42.8,,,42.3,,
1972,42.8,,,43.4,,,43.4,,,43.8,,,43.4,,
1973,43.6,,,44.7,,,45.1,,,46.4,,,45.3,,
1974,47.1,,,48.7,,,50.3,,,52.5,,,50.2,,
1975,53.5,,,56.2,,,57.6,,,59,,,57.1,,
1976,59.5,,,60.6,,,61.8,,,62.8,,,61.5,,
1977,63.5,,,64.7,,,66.5,,,66.4,,,65.6,,
1978,67.1,,67.7,,69,,70.6,,72.4,,72.9,,70.2,,
1979,74.2,,75.3,,76.2,,77.7,,79.9,,80.1,,77.6,,
1980,81.7,,83.7,,84.9,,85.6,,86.5,,88.6,,85.5,,
1981,90,,90.3,,91.6,,92.2,,93.9,,95,,92.4,,
1982,94.8,,97.4,,98.8,,98.8,,98.7,,96.4,,97.4,,
1983,96.5,,97.8,,98.3,,99.6,,100.4,,101.3,,99.2,,
1984,101.7,,102.8,,103.1,,103.2,,104.1,,104,,103.3,102.7,103.9
1985,104.3,,104.9,,104.5,,106.1,,106.6,,107.5,,105.8,104.7,106.9
1986,107.6,,109.1,,108.2,,107.3,,107.2,,107.8,107.4,107.8,108.3,107.4
1987,,,,,,,,,,,,,108.2,108.3,108.1
1988,,,,,,,,,,,,,108.6,108.4,108.9
1989,,,,,,,,,,,,,111.7,110.9,112.5
1990,,,,,,,,,,,,,118.6,116.9,120.4
1991,,,,,,,,,,,,,124,123.3,124.7
1992,,,,,,,,,,,,,128.2,127.3,129.1
1993,,,,,,,,,,,,,132.2,131.5,132.8
1994,,,,,,,,,,,,,135,134.3,135.8
1995,,,,,,,,,,,,,138.9,138.2,139.5
1996,,,,,,,,,,,,,142.7,141.8,143.7
1997,,,,,,,,,,,,,144.8,144.1,145.4
1998,,,,,,,,,,,,,146.9,146.7,147
1999,,,,,,,,,,,,,148.4,148.6,148.3
2000,,,,,,,,,,,,,150.9,150,151.9
2001,,,,,,,,,,,,,155.2,154.4,156
2002,,,,,,,,,,,,,158.2,157.5,159
2003,,,,,,,,,,,,,162.5,161.1,163.9
2004,,,,,,,,,,,,,166.7,165.6,167.8
2005,,,,,,,,,,,,,171.8,169.6,174.1
2006,,,,,,,,,,,,,177.3,176.7,177.9
2007,,,,,,,,,,,,,181.237,179.394,183.08
2008,,,,,,,,,,,,,189.497,187.659,191.335
2009,,,,,,,,,,,,,191.744,190.032,193.456
2010,,,,,,,,,,,,,195.144,194.834,195.455
2011,,,,,,,,,,,,,201.427,200.278,202.576
2012,,,,,,,,,,,,,205.916,205.215,206.617
2013,,,,,,,,,,,,,212.381,210.853,213.91
2014,,,,,,,,,,,,,215.805,214.777,216.833
2015,,,,,,,,,,,,,216.909,217.111,216.706
2016,,,,,,,,,,,,,217.83,216.999,218.66
2017,,,,,,,,,,,,220.374,218.873,218.616,219.131
2018,,221.679,,222.485,,228.555,,228.716,,228.17,,226.537,225.545,223.099,227.992
2019,,227.183,,228.553,,234.179,,230.406,,227.552,,226.527,228.676,228.858,228.495
2020,,226.51,,222.909,,225.245,,226.984,,228.343,,227.259,226.153,225.049,227.258
2021,,229.478,,233.519,,239.296,,239.899,,242.708,,243.568,237.188,232.679,241.698
2022,,246.369,,251.041,,268.916,,258.149,,261.093,,256.634,256.423,252.271,260.576
2023,,256.856,,258.866,,259.93,,263.407,,263.984,,261.178,260.372,257.938,262.806
2024,,261.34,,267.046,,267.559,,267.313,,269.404,,267.312,266.208,264.376,268.039
2025,,269.022,,271.358,,,,,,,,,,,
