Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1917,,,,,,,,,,,,15.2,,,
1918,,,,,,,,,,,,18.2,16.6,,
1919,,,,,,18.9,,,,,,20.8,19.3,,
1920,,,,,,23,,,,,,20.8,21.9,,
1921,,,,,19,,,,18.5,,,18,19,,
1922,,,17.4,,,17.5,,,17.4,,,17.3,17.5,,
1923,,,17.4,,,17.6,,,17.8,,,17.5,17.6,,
1924,,,17.3,,,17.3,,,17.3,,,17.3,17.3,,
1925,,,,,,17.9,,,,,,18.3,17.9,,
1926,,,,,,18,,,,,,17.8,18.1,,
1927,,,,,,18.1,,,,,,17.2,17.5,,
1928,,,,,,17.4,,,,,,17.3,17.3,,
1929,,,,,,17.1,,,,,,17.1,17.2,,
1930,,,,,,16.5,,,,,,15.8,16.5,,
1931,,,,,,14.8,,,,,,14,14.9,,
1932,,,,,,13.4,,,,,,12.6,13.3,,
1933,,,,,,12.5,,,,,,12.9,12.6,,
1934,,,,,,13.1,,,,,13.4,,13.2,,
1935,,,13.4,,,,13.4,,,13.7,,,13.5,,
1936,13.8,,,13.5,,,13.7,,13.9,,,13.9,13.7,,
1937,,,14,,,14.1,,,14.3,,,14.1,14.1,,
1938,,,13.8,,,13.6,,,13.8,,,13.8,13.7,,
1939,,,13.6,,,13.5,,,13.8,,,13.6,13.6,,
1940,,,13.7,,,13.5,,,13.6,,,13.8,13.6,,
1941,,,13.8,,,14.2,,,14.8,,,15.2,14.4,,
1942,,,15.7,,,15.9,,,16.1,,,16.4,15.9,,
1943,,,16.9,,,17.2,,,17.1,,,17.1,17,,
1944,,,17,,,17.3,,,17.5,,,17.7,17.3,,
1945,,,17.7,,,17.9,,,18.1,,,18.1,17.9,,
1946,,,18.1,,,18.4,,,20.2,,,21.4,19.3,,
1947,,,22.2,,,21.9,,22.3,,,23.1,,22.3,,
1948,,23.3,,,23.6,,,24.4,,,24,,23.8,,
1949,,23.6,,,23.7,,,24,,,23.8,,23.8,,
1950,,23.4,,,23.6,,,24.4,,,24.8,,24.1,,
1951,,25.8,,,26.5,,,26.5,,,26.9,,26.4,,
1952,,26.8,,,26.7,,,27.3,,,27.3,27.2,27,,
1953,,,27.2,,,27.3,,,27.4,,,27.3,27.3,,
1954,,,27.3,,,27.4,,,27.1,,,27,27.2,,
1955,,,26.9,,,27,,,27.3,,,27.3,27.1,,
1956,,,27.2,,,27.5,,,27.7,,,27.8,27.5,,
1957,,,28.1,,,28.2,,,28.5,,,28.5,28.3,,
1958,,,29.1,,,29.1,,,29,,,29,29,,
1959,,,28.9,,,29.2,,,29.3,,,29.4,29.2,,
1960,,,29.5,,,29.6,,,29.8,,,29.7,29.6,,
1961,,,29.7,,,29.7,,,29.9,,,29.8,29.7,,
1962,,,29.9,,,30,,,30.2,,,30.1,30,,
1963,,,30.2,,,30.2,,,30.3,,,30.5,30.3,,
1964,,,30.7,,,30.6,,,30.9,,,31,30.8,,
1965,,,31,,,31.1,,,31.2,,,31.5,31.2,,
1966,,,31.8,,,32,,,32.5,,,32.7,32.2,,
1967,,,32.9,,,33.1,,,33.3,,,33.7,33.2,,
1968,,,34,,,34.3,,,35,,,35.2,34.5,,
1969,,,36,,,36.4,,,37.1,,,37.5,36.5,,
1970,,,38,,,38.6,,,39,,,39.6,38.6,,
1971,,,39.9,,,40.6,,,40.5,,,41,40.4,,
