Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,10.5,,,
1915,,,,,,,,,,,,10.7,10.5,,
1916,,,,,,,,,,,,12.1,11.3,,
1917,,,,,,,,,,,,14.2,13.3,,
1918,,,,,,,,,,,,17.3,15.7,,
1919,,,,,,17.4,,,,,,19.5,18,,
1920,,,,,,21.5,,,,,,20.2,20.6,,
1921,,,,,18,,,,18,,,17.8,18.3,,
1922,,,16.9,,,16.8,,,16.9,,,17.3,17,,
1923,,,17.1,,,17.1,,,17.6,,,17.8,17.4,,
1924,,,17.3,,,17.2,,,17.5,,,17.6,17.4,,
1925,,,,,,17.5,,,,,,18.5,17.9,,
1926,,,,,,18.1,,,,,,18.2,18.2,,
1927,,,,,,18,,,,,,18,17.9,,
1928,,,,,,17.5,,,,,,17.8,17.7,,
1929,,,,,,17.5,,,,,,17.8,17.8,,
1930,,,,,,17.4,,,,,,16.9,17.3,,
1931,,,,,,15.7,,,,,,15.3,15.8,,
1932,,,,,,14.1,,,,,,13.8,14.2,,
1933,,,,,,13.4,,,,,,13.9,13.6,,
1934,,,,,,14.1,,,,,14.2,,14.1,,
1935,,,14.5,,,,14.2,,,14.3,,,14.3,,
1936,14.4,,,14.3,,,14.5,,14.5,,,14.3,14.3,,
1937,,,14.6,,,14.8,,,15.1,,,14.7,14.8,,
1938,,,14.3,,,14.3,,,14.3,,,14.2,14.3,,
1939,,,14.1,,,14,,,14.3,,,14.1,14.1,,
1940,,,14.3,,,14.4,,,14.3,14.2,14.2,14.3,14.3,,
1941,14.3,14.3,14.3,14.5,14.6,14.8,15,15.1,15.3,15.4,15.7,15.6,14.9,,
1942,15.8,16,16.1,16.1,16.3,16.4,16.7,16.6,16.8,17,17.1,17.1,16.5,,
1943,17.1,17.1,17.4,17.5,17.6,17.5,17.3,17.3,17.3,17.5,17.4,17.4,17.4,,
1944,17.4,17.3,17.3,17.5,17.5,17.5,17.6,17.7,17.8,17.6,17.7,17.8,17.6,,
1945,17.8,17.8,17.7,17.7,17.8,18.1,18.1,18.1,18,17.9,18,18,17.9,,
1946,18.1,18,18.1,18.2,18.2,18.4,19.8,20.2,20.4,20.8,21.1,21.3,19.4,,
1947,21.4,21.3,21.7,21.5,21.4,21.7,21.9,22.3,22.9,22.7,22.8,23.2,22.1,,
1948,23.5,23.3,23.2,23.6,23.7,24,24.3,24.4,24.4,24.3,24.1,23.8,23.9,,
1949,23.7,23.3,23.5,23.5,23.5,23.6,23.5,23.7,23.9,23.7,23.7,23.5,23.6,,
1950,23.4,23.3,23.5,23.5,23.5,23.8,24,24.2,24.2,24.4,24.4,24.6,23.9,,
1951,25,25.3,25.3,25.3,25.4,25.4,25.5,25.5,25.6,25.8,25.9,26,25.5,,
1952,25.9,25.8,25.8,25.8,25.9,26,26.4,26.4,26.3,26.3,26.1,26,26,,
1953,26,,,25.9,,,26.2,,,26.4,,,26.1,,
1954,26.1,,,26.1,,,26.4,,,26.3,,,26.3,,
1955,26.2,,,26.3,,,26.4,,,26.5,,,26.4,,
1956,26.6,,,26.7,,,27.3,,,27.7,,,27.1,,
1957,27.6,,,27.9,,,28.3,,,28.3,,,28.1,,
1958,28.6,,,28.9,,,29.1,,,29.1,,,28.9,,
1959,29.1,,,29,,,29.1,,,29.4,,,29.1,,
1960,29.3,,,29.8,,,29.8,,,29.9,,,29.8,,
1961,30,,,30.1,,,30.2,,,30.3,,,30.2,,
1962,30.5,,,30.8,,,30.8,,,31.1,,,30.8,,
1963,31.2,,,31.4,,,31.5,,,31.6,,,31.4,,
1964,31.6,,,31.8,,,31.9,,,32.1,,,31.9,,
1965,32.2,,,32.4,,,32.6,,,32.6,,,32.5,,
1966,32.7,,,33.5,,,33.6,,,34,,,33.6,,
