Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,9.5,,,
1915,,,,,,,,,,,,9.5,9.4,,
1916,,,,,,,,,,,,10.9,10.1,,
1917,,,,,,,,,,,,13.2,12.4,,
1918,,,,,,,,,,,,15.9,14.5,,
1919,,,,,,16.4,,,,,,18.5,16.9,,
1920,,,,,,19.7,,,,,,18.9,19.2,,
1921,,,,,16.9,,,,16.6,,,16.4,17,,
1922,,,15.9,,,15.8,,,15.7,,,15.9,15.9,,
1923,,,15.7,,,15.9,,,16,,,16.1,15.9,,
1924,,,15.9,,,15.6,,,15.8,,,16,15.8,,
1925,,,,,,16.1,,,,,,16.4,16.2,,
1926,,,,,,16,,,,,,16,16,,
1927,,,,,,15.7,,,,,,15.8,15.7,,
1928,,,,,,15.5,,,,,,15.6,15.6,,
1929,,,,,,15.6,,,,,,15.8,15.7,,
1930,,,,,,15.4,,,,,,14.7,15.3,,
1931,,,,,,13.8,,,,,,13.4,13.9,,
1932,,,,,,12.3,,,,,,11.7,12.3,,
1933,,,,,,11.6,,,,,,12.1,11.8,,
1934,,,,,,12.2,,,,,12.6,,12.3,,
1935,,,12.8,,,,12.6,,,12.7,,,12.7,,
1936,12.8,,,12.6,,,12.9,,13,,,13,12.8,,
1937,,,13.3,,,13.3,,,13.5,,,13.5,13.3,,
1938,,,13.3,,,13.2,,,13.3,,,13.3,13.3,,
1939,,,13.1,,,13.1,,,13.3,,,13.2,13.2,,
1940,,,13.2,,,13.2,,,13.2,13.3,13.3,13.3,13.2,,
1941,13.3,13.3,13.3,13.5,13.5,13.6,13.7,13.8,14.1,14.4,14.5,14.6,13.8,,
1942,14.7,14.9,15.1,15.1,15.2,15.1,15.3,15.4,15.5,15.5,15.5,15.6,15.2,,
1943,15.7,15.8,16.2,16.2,16.3,16.1,16,15.9,16.1,16.1,16.1,16.1,16,,
1944,16.1,16.1,16,16.1,16.2,16.2,16.3,16.3,16.3,16.3,16.2,16.3,16.2,,
1945,16.4,16.3,16.3,16.4,16.5,16.6,16.7,16.7,16.7,16.6,16.6,16.7,16.6,,
1946,16.6,16.6,16.7,16.8,16.8,17.1,17.9,18.4,18.7,18.9,19.7,20,17.9,,
1947,20.2,20.2,20.6,20.8,20.7,20.7,20.8,21,21.3,21.5,21.8,22.2,21,,
1948,22.4,22.4,22.4,22.5,22.5,22.7,22.9,23.1,23.1,23,22.9,22.9,22.7,,
1949,22.8,22.5,22.5,22.6,22.5,22.5,22.5,22.6,22.7,22.8,23,23,22.7,,
1950,22.9,22.9,23,22.9,22.9,23,23.2,23.6,23.8,23.8,23.9,24.3,23.4,,
1951,24.8,25,25.1,25.2,25.2,25.1,25.2,25.2,25.3,25.4,25.5,25.6,25.2,,
1952,25.5,25.4,25.4,25.4,25.4,25.4,25.5,25.6,25.5,25.7,25.7,25.8,25.5,,
1953,,25.7,,,25.8,,,25.8,,,25.9,,25.8,,
