Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,10.2,,,
1915,,,,,,,,,,,,10.1,10,,
1916,,,,,,,,,,,,11,10.5,,
1917,,,,,,,,,,,,13,12.1,,
1918,,,,,,,,,,,,15.8,14.4,,
1919,,,,,,16.4,,,,,,18.6,17,,
1920,,,,,,20.4,,,,,,19.9,19.9,,
1921,,,,,18.5,,,,18.3,,,18.4,18.6,,
1922,,,18.2,,,18.1,,,18,,,18.1,18.1,,
1923,,,18,,,18.3,,,18.5,,,18.6,18.3,,
1924,,,18.5,,,18.3,,,18.4,,,18.2,18.4,,
1925,,,,,,18.5,,,,,,18.5,18.4,,
1926,,,,,,17.8,,,,,,17.8,17.9,,
1927,,,,,,17.8,,,,,,17.5,17.6,,
1928,,,,,,17.2,,,,,,17.4,17.3,,
1929,,,,,,17.2,,,,,,17.2,17.3,,
1930,,,,,,16.7,,,,,,16,16.7,,
1931,,,,,,14.9,,,,,,14.6,15.1,,
1932,,,,,,13.6,,,,,,13.1,13.6,,
1933,,,,,,12.5,,,,,,13,12.8,,
1934,,,,,,12.9,,,,,13.3,,12.9,,
1935,,,13.6,,,,13.2,,,13.1,,,13.3,,
1936,13.4,,,13.2,,,13.4,,13.7,,,13.7,13.5,,
1937,,,14.3,,,14.2,,,14.4,,,14.3,14.2,,
1938,,,14,,,14,,,14,,,14.1,14,,
1939,,,14,,,13.8,,,14.1,,,13.9,13.9,,
1940,,,13.9,,,13.9,,,14,14,14.1,14.1,13.9,,
1941,14.2,14,14.1,14.3,14.4,14.6,14.6,14.7,15,15.2,15.3,15.5,14.7,,
1942,15.7,15.8,16.1,16.2,16.3,16.4,16.6,16.8,16.8,17,17.1,17.1,16.5,,
1943,17.1,17,17.2,17.4,17.4,17.4,17.3,17.2,17.3,17.4,17.5,17.5,17.3,,
1944,17.4,17.4,17.4,17.4,17.6,17.5,17.5,17.6,17.7,17.8,17.8,17.9,17.6,,
1945,17.9,17.8,17.9,18,18,18,18.1,18.1,18.3,18.3,18.4,18.5,18.1,,
1946,18.4,18.4,18.4,18.5,18.6,18.8,19.7,20,20.1,20.5,21.4,21.4,19.5,,
1947,21.5,21.6,21.7,21.8,21.8,21.7,21.8,21.9,22.4,22.4,22.8,23,22,,
1948,23.3,23.4,23.3,23.5,23.5,23.5,23.7,23.8,23.8,23.9,24,24.1,23.6,,
1949,24.1,23.9,23.9,23.9,23.7,23.6,23.4,23.4,23.4,23.3,23.4,23.2,23.6,,
1950,23.4,23.3,23.4,23.4,23.4,23.4,23.5,23.8,23.9,24.1,24.3,24.6,23.7,,
1951,25,25.5,25.7,25.7,25.7,25.7,25.8,25.8,25.9,25.9,26.2,26.3,25.7,,
1952,26.3,26.3,26.4,26.4,26.4,26.5,26.5,26.5,26.5,26.5,26.6,26.6,26.5,,
1953,26.6,26.5,26.6,26.7,26.6,26.6,26.7,26.7,26.8,26.8,26.8,26.7,26.7,,
1954,27,26.9,26.8,26.7,26.7,26.7,26.5,26.6,26.6,26.5,26.5,26.6,26.7,,
1955,26.6,26.5,26.6,26.4,26.6,26.6,26.7,26.6,26.8,26.8,26.8,26.8,26.7,,
1956,26.8,26.7,26.8,26.8,27,27.1,27.2,27.1,27.2,27.3,27.5,27.6,27.1,,
1957,27.6,27.8,27.8,27.8,27.9,27.9,28,28,28.2,28.2,28.4,28.4,28,,
1958,28.6,28.6,28.8,29,28.9,28.9,29,28.9,29.1,29.1,29.2,29.2,28.9,,
1959,29.2,29.2,29.2,29.2,29.3,29.3,29.4,29.4,29.5,29.7,29.7,29.8,29.4,,
1960,29.8,29.7,29.9,30,30,29.9,29.9,29.8,30,30.1,30.1,30.3,30,,
1961,30.3,30.3,30.2,30.3,30.3,30.3,30.3,30.3,30.3,30.4,30.5,30.5,30.3,,
