Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1917,,,,,,,,,,,,13.1,,,
1918,,,,,,,,,,,,15.2,14.1,,
1919,,,,,,15.6,,,,,,17.5,16,,
1920,,,,,,19.4,,,,,,18.1,18.6,,
1921,,,,,16.6,,,,16.5,,,16.3,16.7,,
1922,,,15.8,,,15.9,,,15.5,,,15.8,15.8,,
1923,,,15.8,,,15.8,,,15.9,,,16,15.9,,
1924,,,15.9,,,15.7,,,15.5,,,15.7,15.8,,
1925,,,,,,15.8,,,,,,16.3,15.9,,
1926,,,,,,16.3,,,,,,16,16.1,,
1927,,,,,,16,,,,,,15.6,15.7,,
1928,,,,,,15.6,,,,,,15.5,15.5,,
1929,,,,,,15.5,,,,,,15.7,15.6,,
1930,,,,,,15.5,,,,,,14.9,15.3,,
1931,,,,,,14.2,,,,,,13.7,14.2,,
1932,,,,,,12.9,,,,,,12.4,12.9,,
1933,,,,,,11.9,,,,,,12.4,12.2,,
1934,,,,,,12.6,,,,,12.6,,12.6,,
1935,,,12.9,,,,12.9,,,13,,,13,,
1936,13.1,,,13,,,13.1,,13.4,,,13.4,13.2,,
1937,,,13.6,,,13.7,,,13.9,,,13.8,13.8,,
1938,,,13.6,,,13.7,,,13.6,,,13.5,13.6,,
1939,,,13.4,,,13.4,,,13.6,,,13.6,13.5,,
1940,,,13.5,,,13.5,,,13.5,13.5,13.6,13.7,13.5,,
1941,13.6,13.7,13.7,13.7,13.9,14.2,14.3,14.4,14.6,14.8,14.8,14.8,14.2,,
1942,15,15.1,15.3,15.4,15.5,15.5,15.6,15.6,15.7,15.8,15.9,16,15.5,,
1943,15.9,16,16.2,16.2,16.3,16.3,16.2,16.2,16.2,16.3,16.3,16.4,16.2,,
1944,16.2,16.2,16.3,16.3,16.4,16.4,16.5,16.5,16.5,16.5,16.5,16.5,16.4,,
1945,16.5,16.5,16.5,16.5,16.6,16.7,16.7,16.7,16.8,16.8,16.9,16.9,16.7,,
1946,16.9,16.9,16.9,17,17.1,17.3,18.5,18.7,19.1,19.6,20,20.1,18.2,,
1947,19.9,20,20.3,20.3,20.3,20.5,,,21.8,,,22.3,21,,
1948,,,22.5,,,23,,,23.3,,,22.9,22.9,,
1949,,,22.8,,,22.7,,,22.7,,,22.5,22.7,,
1950,,,22.4,,,22.7,,,23.1,,,23.8,22.9,,
1951,,,24.5,,,24.6,,,24.5,,,25.1,24.6,,
1952,,,25.2,,,25.5,,,25.5,,,25.4,25.4,,
1953,25.4,,,25.5,,,25.7,,,25.9,,,25.7,,
1954,25.9,,,25.8,,,26,,,25.9,,,25.9,,
1955,25.9,,,26,,,26.1,,,25.8,,,25.9,,
1956,25.8,,,25.7,,,26.1,,,26.1,,,26,,
1957,26.5,,,26.6,,,27,,,27.1,,,26.9,,
1958,27.3,,,27.5,,,27.7,,,27.6,,,27.6,,
1959,27.8,,,27.7,,,27.8,,,28.1,,,27.9,,
1960,28,,,28.2,,,28.3,,,28.5,,,28.3,,
1961,28.4,,,28.6,,,28.7,,,28.7,,,28.6,,
1962,28.6,,,29,,,29,,,29.1,,,29,,
1963,29.1,,,29.2,,,29.6,,,29.5,,,29.4,,
1964,29.5,,,29.5,,,29.7,,,29.8,,,29.7,,
1965,29.8,,,29.9,,,30.1,,,30.2,,,30.1,,
1966,30.3,,,30.7,,,30.7,,,31.1,,,30.8,,
1967,31.1,,,31.3,,,31.7,,,32.5,,,31.8,,
1968,32.7,,,33.1,,,33.4,,,33.5,,,33.3,,
1969,33.7,,,34.3,,,35.1,,,35.8,,,35,,
1970,36.5,,,37.1,,,37.5,,,37.9,,,37.4,,
1971,38.2,,,38.3,,,38.8,,,39.3,,,38.7,,
1972,39.4,,,39.5,,,39.9,,,40.5,,,39.9,,
1973,40.7,,,41.6,,,42.4,,,43.4,,,42.3,,
1974,44.6,,,46.2,,,47.3,,,49,,,47.2,,
1975,49.7,,,49.9,,,51.5,,,52.5,,,51.2,,
1976,53.2,,,53.7,,,54.6,,,55.2,,,54.4,,
1977,56,,,57.2,,,58.7,,,59.5,,,58.2,,
1978,60.7,,,62,,63.2,,64.5,,65.6,,66.4,63.5,,
1979,,67.4,,68.7,,70.7,,72.2,,73.6,,74.5,70.8,,
1980,,75.7,,77.7,,78.4,,79.6,,81.3,,82.4,78.9,,
1981,,82.9,,84.8,,87.9,,91.2,,92.8,,95.1,88.6,,
1982,,97.4,,96,,96.8,,99.9,,97.9,,97.4,97.4,,
1983,,97.3,,98.5,,99.5,,100.6,,100.8,,101,99.5,,
1984,,101.7,,102.5,,103.1,,103.4,,104.4,,104.3,103.1,102.2,103.9
1985,,105.1,,106.2,,107.1,,107.8,,108.4,,108.3,107,105.9,108.1
1986,,108.2,,107.7,,108.9,,108.3,,108.5,108.4,109,108.4,108.2,108.5
1987,,,,,,,,,,,,,111.6,109.9,113.2
1988,,,,,,,,,,,,,117.2,115.7,118.6
1989,,,,,,,,,,,,,122,120.3,123.8
1990,,,,,,,,,,,,,127,125.5,128.5
1991,,,,,,,,,,,,,130.4,129.4,131.4
1992,,,,,,,,,,,,,135,133.6,136.4
1993,,,,,,,,,,,,,139.2,138.5,139.9
1994,,,,,,,,,,,,,143.6,142.5,144.7
1995,,,,,,,,,,,,,147,146,148
1996,,,,,,,,,,,,,151.9,150.8,153
1997,,,,,,,,,,,,,155.4,154.9,155.9
1998,,,,,,,,,,,,,158.3,157.3,159.4
1999,,,,,,,,,,,,,163.3,161.4,165.1
