Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,9.9,,,
1915,,,,,,,,,,,,10.1,9.9,,
1916,,,,,,,,,,,,11.3,10.6,,
1917,,,,,,,,,,,,13.8,12.8,,
1918,,,,,,,,,,,,16.8,15.1,,
1919,,,,,,17.1,,,,,,19.3,17.7,,
1920,,,,,,20.9,,,,,,19.5,20.2,,
1921,,,,,17.9,,,,17.8,,,17.9,18.1,,
1922,,,17.1,,,17.2,,,17.1,,,17.4,17.2,,
1923,,,17.3,,,17.4,,,17.6,,,17.8,17.5,,
1924,,,17.4,,,17.4,,,17.4,,,17.7,17.5,,
1925,,,,,,17.7,,,,,,18.5,17.9,,
1926,,,,,,18.1,,,,,,18.1,18.1,,
1927,,,,,,18,,,,,,18.1,17.9,,
1928,,,,,,17.7,,,,,,17.8,17.8,,
1929,,,,,,17.8,,,,,,17.9,17.9,,
1930,,,,,,17.4,,,,,,17,17.4,,
1931,,,,,,16,,,,,,15.4,16.1,,
1932,,,,,,14.7,,,,,,14.2,14.7,,
1933,,,,,,13.7,,,,,,14,13.9,,
1934,,,,,,14.3,,,,,14.4,,14.3,,
1935,,,14.4,,,,14.3,,,14.4,,,14.5,,
1936,14.6,,,14.4,,,14.5,,14.7,,,14.5,14.5,,
1937,,,14.8,,,14.8,,,15.2,,,15,14.8,,
1938,,,14.5,,,14.5,,,14.6,,,14.6,14.6,,
1939,,,14.5,,,14.3,,,14.8,,,14.6,14.5,,
1940,,,14.7,,,14.8,,,14.7,14.6,14.7,14.7,14.7,,
1941,14.7,14.8,14.8,14.9,15,15.2,15.3,15.4,15.6,15.7,15.8,15.8,15.3,,
1942,16.1,16.2,16.3,16.4,16.5,16.7,16.8,16.9,16.9,17.1,17.3,17.4,16.7,,
1943,17.5,17.5,17.8,17.9,18.1,18.1,18.1,17.9,18.1,18.2,18.2,18.2,17.9,,
1944,18.2,18.1,18.2,18.3,18.4,18.4,18.5,18.5,18.5,18.5,18.6,18.6,18.4,,
1945,18.6,18.6,18.5,18.6,18.7,18.9,19.1,19,18.9,18.9,19,19.1,18.9,,
1946,19.2,19.2,19.3,19.5,19.6,19.8,21,21.3,21.8,22.3,22.5,22.7,20.7,,
1947,22.6,22.5,23,22.9,22.7,22.9,23,23.2,23.6,23.6,23.9,24.1,23.2,,
1948,24.4,24.3,24,24.4,24.5,24.7,25.2,25.3,25.3,25.1,25,24.7,24.7,,
1949,24.7,24.4,24.5,24.6,24.5,24.5,24.5,24.5,24.6,24.3,24.3,24.2,24.5,,
1950,24,24.1,24.1,24.2,24.2,24.3,24.7,24.7,25,25.1,25.3,25.6,24.6,,
1951,25.9,26.3,26.3,26.3,26.5,26.3,26.4,26.4,26.6,26.7,26.8,26.8,26.5,,
1952,26.8,26.7,26.6,26.7,26.7,26.7,27.1,27.1,27.1,27.1,27.2,27,26.9,,
1953,26.9,26.8,26.8,26.8,26.8,27,27.1,27.2,27.3,27.3,27.2,27.3,27.1,,
1954,27.3,27.2,27.1,27.2,27.2,27.2,27.3,27.3,27.2,27.2,27.2,27.1,27.2,,
1955,27.1,27.2,27.1,27.1,27,27,27,27,27.2,27.1,27.2,27,27.1,,
