Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2002,,,,,,,,,,,,,101.2,101.3,101.1
2003,,,,,,,,,,,,,103.3,103.1,103.5
2004,,,,,,,,,,,,,105.2,105.2,105.2
2005,,,,,,,,,,,,,108.3,107.3,109.2
2006,,,,,,,,,,,,,111.5,110.6,112.3
2007,,,,,,,,,,,,,115.284,114.531,116.038
2008,,,,,,,,,,,,,119.264,118.912,119.616
2009,,,,,,,,,,,,,117.568,117.335,117.802
2010,,,,,,,,,,,,,118.227,118.176,118.278
2011,,,,,,,,,,,,,121.483,120.762,122.203
2012,,,,,,,,,,,,,124.197,124.128,124.267
2013,,,,,,,,,,,,,125.782,125.642,125.922
2014,,,,,,,,,,,,,127.823,127.49,128.157
2015,,,,,,,,,,,,,128.019,127.288,128.749
2016,,,,,,,,,,,,,130.107,129.103,131.112
2017,,,,,,,,,,,,134.361,133.324,132.653,133.995
2018,,136.774,,138.406,,139.861,,139.554,,140.517,,140.083,138.875,137.828,139.922
2019,,139.66,,141.642,,142.997,,143.76,,145.833,,144.91,142.92,141.214,144.626
2020,,145.746,,143.734,,145.849,,146.395,,146.83,,145.66,145.724,145.122,146.326
2021,,147.186,,150.787,,153.672,,153.931,,157.254,,159.85,153.032,149.75,156.315
2022,,163.261,,167.396,,172.643,,173.952,,176.337,,175.019,170.652,166.584,174.72
2023,,177.118,,179.824,,180.251,,180.387,,181.391,,179.733,179.497,178.778,180.216
2024,,181.01,,184.462,,185.108,,184.474,,184.214,,182.653,183.481,182.936,184.027
2025,,184.264,,185.077,,,,,,,,,,,
