Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1914,,,,,,,,,,,,9.2,,,
1915,,,,,,,,,,,,9.1,9,,
1916,,,,,,,,,,,,9.7,9.4,,
1917,,,,,,,,,,,,11.8,11,,
1918,,,,,,,,,,,,15.4,13.7,,
1919,,,,,,16,,,,,,18.2,16.5,,
1920,,,,,,19.6,,,,,,17.9,18.8,,
1921,,,,,16.8,,,,16.3,,,16,16.7,,
1922,,,15.7,,,15.6,,,15.5,,,15.5,15.6,,
1923,,,15.1,,,15.5,,,15.6,,,15.6,15.5,,
1924,,,15.5,,,15.6,,,15.5,,,15.6,15.5,,
1925,,,,,,16,,,,,,16,15.8,,
1926,,,,,,15.8,,,,,,15.7,15.8,,
1927,,,,,,15.8,,,,,,15.4,15.5,,
1928,,,,,,15.3,,,,,,15.4,15.4,,
1929,,,,,,15.5,,,,,,15.5,15.5,,
1930,,,,,,15.5,,,,,,14.4,15.2,,
1931,,,,,,13.9,,,,,,13.4,13.8,,
1932,,,,,,12.6,,,,,,12.1,12.6,,
1933,,,,,,12,,,,,,12.1,12,,
1934,,,,,,12.2,,,,,12.4,,12.3,,
1935,,,12.7,,,,12.5,,,12.5,,,12.6,,
1936,12.7,,,12.5,,,12.7,,12.9,,,12.9,12.7,,
1937,,,13.3,,,13.3,,,13.5,,,13.4,13.4,,
1938,,,13.3,,,13.2,,,13.2,,,13.2,13.2,,
1939,,,13.1,,,13.1,,,13.3,,,13.1,13.2,,
1940,,,13.2,,,13.2,,,13.2,13.2,13.2,13.3,13.2,,
1941,13.3,13.3,13.4,13.5,13.8,13.9,14,14.1,14.5,14.7,14.7,14.9,14,,
1942,15.2,15.3,15.5,15.6,15.8,15.5,15.6,15.8,16,16.1,16.2,16.4,15.8,,
1943,16.4,16.4,16.6,16.7,16.9,16.8,16.5,16.4,16.7,16.8,16.8,16.8,16.7,,
1944,16.8,16.7,16.8,16.8,16.9,16.9,17,17,17,17.1,17.1,17.2,16.9,,
1945,17.2,17.1,17.2,17.2,17.3,17.3,17.4,17.4,17.4,17.3,17.4,17.6,17.3,,
1946,17.5,17.5,17.6,17.6,17.7,17.9,18.7,19,19.4,19.9,20.3,20.6,18.6,,
1947,20.4,20.3,20.7,20.8,20.8,20.7,,21.2,,,21.8,,21.1,,
