Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1917,,,,,,,,,,,,13.7,,,
1918,,,,,,,,,,,,16,14.8,,
1919,,,,,,16.2,,,,,,18.4,16.8,,
1920,,,,,,21.1,,,,,,18.8,19.9,,
1921,,,,,17.2,,,,17.2,,,16.7,17.4,,
1922,,,16.3,,,16.5,,,16.2,,,16.4,16.3,,
1923,,,16.5,,,16.6,,,16.9,,,16.8,16.7,,
1924,,,16.7,,,16.7,,,16.7,,,16.9,16.8,,
1925,,,,,,17.3,,,,,,17.7,17.3,,
1926,,,,,,17.6,,,,,,17.6,17.6,,
1927,,,,,,17.6,,,,,,17.1,17.3,,
1928,,,,,,16.9,,,,,,16.9,16.9,,
1929,,,,,,17.1,,,,,,17.2,17.1,,
1930,,,,,,16.8,,,,,,16,16.7,,
1931,,,,,,14.9,,,,,,14.2,15,,
1932,,,,,,13.4,,,,,,12.9,13.4,,
1933,,,,,,12.6,,,,,,12.9,12.8,,
1934,,,,,,13.2,,,,,13.3,,13.3,,
1935,,,13.6,,,,13.7,,,13.7,,,13.7,,
1936,13.8,,,13.7,,,13.9,,14.1,,,13.9,13.8,,
1937,,,14.2,,,14.3,,,14.5,,,14.3,14.3,,
1938,,,14,,,14,,,14,,,13.8,13.9,,
1939,,,13.8,,,13.6,,,14,,,13.8,13.8,,
1940,,,13.8,,,13.8,,,13.9,13.9,13.9,14.1,13.9,,
1941,14.1,14,14.1,14.2,14.2,14.5,14.5,14.6,15,15.1,15.3,15.4,14.6,,
1942,15.6,15.7,16,16.1,16.1,16.2,16.2,16.3,16.2,16.4,16.5,16.7,16.2,,
1943,16.6,16.7,16.9,17.1,17.3,17.2,17.1,17.1,17.1,17.1,17.1,17.1,17,,
1944,17.1,17,17.1,17.2,17.3,17.3,17.5,17.4,17.4,17.3,17.4,17.4,17.3,,
1945,17.5,17.4,17.4,17.4,17.6,17.7,17.7,17.7,17.6,17.7,17.6,17.9,17.6,,
1946,17.9,17.8,17.9,18,18,18.3,19.5,19.9,19.9,20.4,21,21.1,19.1,,
1947,21.1,21.1,21.7,21.6,21.5,21.7,,,23.1,,,23.4,22.2,,
1948,,,23.4,,,24,,,24.4,,,23.9,23.9,,
1949,,,23.6,,,23.7,,,23.6,,,23.4,23.6,,
1950,,,23.4,,,23.5,,,24.2,,,24.9,23.9,,
1951,,,25.8,,,25.8,,,25.9,,,26.5,25.9,,
1952,,,26.5,,,26.8,,,26.8,,,26.7,26.7,,
1953,,,26.6,,,26.9,,,27.2,,,27.2,27,,
1954,,,27.2,,,27.3,,,26.9,,,26.8,27.1,,
1955,,,26.9,,,26.9,,,27.1,,,27,27,,
1956,,,26.9,,,27.2,,,27.4,,,27.7,27.2,,
1957,,,27.9,,,28.1,,,28.3,,,28.4,28.1,,
1958,,,28.9,,,28.9,,,29.1,,,29.2,29,,
1959,,,29.3,,,29.4,,,29.4,,,29.4,29.4,,
1960,,,29.4,,,29.6,,,29.6,,,29.7,29.5,,
1961,,,30,,,30,,,30,,,30.1,30,,
1962,,,30.2,,,30.1,,,30.4,,,30.6,30.3,,
1963,,,30.5,,,30.4,,,30.7,,,30.9,30.6,,
1964,,,31,,,31,,,31.3,,,31.4,31.2,,
1965,,,31.4,,,31.7,,,31.7,,,32.2,31.7,,
1966,,,32.3,,,32.8,,,33.1,,,33.1,32.7,,
1967,,,33.3,,,33.6,,,33.9,,,34.3,33.7,,
1968,,,34.6,,,35,,,35.4,,,35.6,35,,
1969,,,36.2,,,36.6,,,37.2,,,37.7,36.8,,
1970,,,38.2,,,38.7,,,39.3,,,39.6,38.8,,
1971,,,39.8,,,40.4,,,40.6,,,40.7,40.3,,
1972,,,40.7,,,41,,,41.6,,,41.6,41.2,,
1973,,,42.5,,,43.1,,,44.5,,,45,43.5,,
1974,,,46.5,,,47.5,,,49.1,,,50,47.9,,
1975,,,51.3,,,52.8,,,53.5,,,54,52.6,,
1976,,,54.8,,,55.6,,,56.3,,,56.6,55.6,,
1977,,,58.3,,,59.7,,,60.4,,,60.8,59.5,,
1978,,,61.9,,63.8,,65,,66,,67.1,,64.5,,
1979,68.5,,70.2,,71.1,,73,,74.8,,76,,72.7,,
1980,78.3,,80.2,,81.4,,82.5,,85,,85.4,,82.5,,
1981,86.1,,87.3,,90.2,,90.7,,92,,92.2,,90.1,,
1982,93.7,,94.5,,96.2,,97.7,,99,,97.6,,96.6,,
